frameno;frametime;recarea;cir_pos;color
0;0.102290153503;"2073600";"[(747, 263), (1212, 513), (503, 247), (949, 404)]";"[0, 0, 0, 0]"
1;0.0390179157257;"480194";"[(750, 262), (1203, 514)]";"[0, 0]"
2;0.0204169750214;"480194";"[(749, 263)]";"[0]"
3;0.0282580852509;"480194";"[(748, 262), (505, 247)]";"[0, 0]"
4;0.0359380245209;"480194";"[(748, 261)]";"[0]"
5;0.0362949371338;"480194";"[(748, 261)]";"[0]"
6;0.131539821625;"1672920";"[(1148, 513)]";"[0]"
7;0.110301971436;"1890000";"[(504, 245)]";"[0]"
8;0.0108380317688;"169200";"[(507, 245), (752, 261)]";"[0, 0]"
9;0.0140011310577;"169200";"[(752, 262), (508, 247)]";"[0, 0]"
10;0.0150651931763;"169200";"[(509, 247)]";"[0]"
11;0.0152320861816;"169200";"[(512, 246)]";"[0]"
12;0.044842004776;"414720";"[(759, 262)]";"[0]"
13;0.0141470432281;"177600";"[(760, 261), (517, 246)]";"[0, 0]"
14;0.0146491527557;"177600";"[(763, 261)]";"[0]"
15;0.0147008895874;"177600";"[(765, 261), (523, 247)]";"[0, 0]"
16;0.0153090953827;"177600";"[(769, 261)]";"[0]"
17;0.0105040073395;"177600";"[(773, 261)]";"[0]"
18;0.0145130157471;"177600";"[(777, 262)]";"[0]"
19;0.0160880088806;"177600";"[(779, 262)]";"[0]"
20;0.0156769752502;"177600";"[(782, 262)]";"[0]"
21;0.015606880188;"177600";"[(783, 261)]";"[0]"
22;0.0162060260773;"177600";"[(787, 259), (544, 246)]";"[0, 0]"
23;0.0157709121704;"177600";"[(789, 260)]";"[0]"
24;0.0159380435944;"177600";"[(792, 261)]";"[0]"
25;0.0161418914795;"177600";"[(793, 261)]";"[0]"
26;0.0157539844513;"177600";"[(793, 261)]";"[0]"
27;0.0107197761536;"177600";"[(795, 260), (554, 246)]";"[0, 0]"
28;0.00891304016113;"177600";"[(795, 260), (550, 246)]";"[0, 0]"
29;0.00840401649475;"177600";"[(791, 266), (550, 253)]";"[0, 0]"
30;0.00803112983704;"177600";"[(790, 269)]";"[0]"
31;0.0119669437408;"177600";"[(793, 271)]";"[0]"
32;0.0163638591766;"177600";"[(793, 271), (553, 257)]";"[0, 0]"
33;0.0159080028534;"177600";"[(796, 275)]";"[0]"
34;0.015823841095;"177600";"[(798, 279)]";"[0]"
35;0.0160660743713;"177600";"[(796, 283)]";"[0]"
36;0.0162920951843;"177600";"[(795, 277)]";"[0]"
37;0.0154230594635;"177600";"[(795, 275)]";"[0]"
38;0.0104601383209;"177600";"[(795, 274)]";"[0]"
39;0.0141561031342;"177600";"[(794, 272)]";"[0]"
40;0.013258934021;"177600";"[(798, 274)]";"[0]"
41;0.01460313797;"177600";"[(800, 273)]";"[0]"
42;0.0159440040588;"177600";"[(803, 271)]";"[0]"
43;0.0161981582642;"177600";"[(802, 267)]";"[0]"
44;0.0162670612335;"177600";"[(805, 267)]";"[0]"
45;0.00777816772461;"177600";"[(804, 265)]";"[0]"
46;0.011157989502;"177600";"[(803, 263)]";"[0]"
47;0.00909495353699;"177600";"[(800, 261)]";"[0]"
48;0.00817489624023;"177600";"[(799, 261)]";"[0]"
49;0.0123229026794;"177600";"[(797, 259)]";"[0]"
50;0.0160069465637;"177600";"[(795, 259)]";"[0]"
51;0.0496518611908;"451200";"[(792, 259)]";"[0]"
52;0.108346939087;"1207440";"[(791, 261)]";"[0]"
53;0.0160541534424;"177600";"[(789, 261), (544, 247)]";"[0, 0]"
54;0.0100958347321;"177600";"[(787, 261), (544, 248)]";"[0, 0]"
55;0.107577085495;"1856520";"[(552, 513)]";"[0]"
56;0.115067958832;"1593000";"[(783, 262)]";"[0]"
57;0.0127019882202;"177600";"[(782, 263), (541, 251)]";"[0, 0]"
58;0.0161778926849;"177600";"[(781, 263)]";"[0]"
59;0.0155758857727;"177600";"[(779, 265)]";"[0]"
60;0.0156209468842;"177600";"[(780, 265)]";"[0]"
61;0.010547876358;"177600";"[(775, 266), (533, 255)]";"[0, 0]"
62;0.0151100158691;"177600";"[(771, 268)]";"[0]"
63;0.0157949924469;"177600";"[(767, 269), (522, 258)]";"[0, 0]"
64;0.0105969905853;"177600";"[(763, 271), (519, 259)]";"[0, 0]"
65;0.0134840011597;"177600";"[(759, 271)]";"[0]"
66;0.0163979530334;"177600";"[(759, 268), (514, 257)]";"[0, 0]"
67;0.015310049057;"177600";"[(757, 264), (513, 252)]";"[0, 0]"
68;0.0105180740356;"177600";"[(758, 259)]";"[0]"
69;0.015750169754;"177600";"[(761, 256)]";"[0]"
70;0.015487909317;"177600";"[(767, 251)]";"[0]"
71;0.0103328227997;"177600";"[(773, 249)]";"[0]"
72;0.144842863083;"1908360";"[(279, 508)]";"[0]"
73;0.110409975052;"1404000";"[(778, 252), (534, 240)]";"[0, 0]"
74;0.0112199783325;"121968";"[(782, 253)]";"[0]"
75;0.0095739364624;"121968";"[(786, 251)]";"[0]"
76;0.00701713562012;"121968";"[(788, 247)]";"[0]"
77;0.010586977005;"121968";"[(789, 243), (547, 231)]";"[0, 0]"
78;0.0113170146942;"121968";"[(789, 237)]";"[0]"
79;0.0115900039673;"121968";"[(790, 232)]";"[0]"
80;0.0075900554657;"121968";"[(791, 231)]";"[0]"
81;0.0114839076996;"121968";"[(793, 230)]";"[0]"
82;0.0111529827118;"121968";"[(792, 229)]";"[0]"
83;0.0113480091095;"121968";"[(790, 231)]";"[0]"
84;0.0114409923553;"121968";"[(783, 233), (539, 226)]";"[0, 0]"
85;0.0110540390015;"121968";"[(776, 233), (530, 226)]";"[0, 0]"
86;0.0105381011963;"121968";"[(769, 234), (521, 226)]";"[0, 0]"
87;0.0377371311188;"336528";"[(970, 369)]";"[0]"
88;0.0494410991669;"451200";"[(759, 229), (513, 220)]";"[0, 0]"
89;0.0110499858856;"121014";"[(508, 219), (755, 227)]";"[0, 0]"
90;0.0108320713043;"121014";"[(755, 231)]";"[0]"
91;0.00732803344727;"121014";"[(755, 237), (509, 229)]";"[0, 0]"
92;0.0285148620605;"253134";"[(756, 246)]";"[0]"
93;0.0158979892731;"177600";"[(762, 257)]";"[0]"
94;0.0158729553223;"177600";"[(771, 266), (527, 257)]";"[0, 0]"
95;0.0157749652863;"177600";"[(780, 270)]";"[0]"
96;0.0154600143433;"177600";"[(787, 270), (542, 260)]";"[0, 0]"
97;0.0154898166656;"177600";"[(787, 266)]";"[0]"
98;0.0154860019684;"177600";"[(785, 261), (541, 247)]";"[0, 0]"
99;0.0103769302368;"177600";"[(784, 254)]";"[0]"
100;0.0142328739166;"177600";"[(783, 251)]";"[0]"
101;0.0100231170654;"177600";"[(540, 236)]";"[0]"
