frameno;frametime;recarea;cir_pos;color
0;0.106312036514;"2073600";"[(820, 314)]";"[0]"
1;0.00816607475281;"177600";"[(819, 313)]";"[0]"
2;0.0078010559082;"177600";"[(818, 313), (577, 298)]";"[0, 0]"
3;0.0113189220428;"177600";"[(817, 311)]";"[0]"
4;0.0148410797119;"177600";"[(816, 308), (577, 295)]";"[0, 0]"
5;0.00883984565735;"177600";"[(817, 307)]";"[0]"
6;0.0126960277557;"177600";"[(819, 308)]";"[0]"
7;0.0143659114838;"177600";"[(819, 311), (576, 300)]";"[0, 0]"
8;0.0103712081909;"177600";"[(819, 313)]";"[0]"
9;0.014673948288;"177600";"[(820, 315)]";"[0]"
10;0.0106890201569;"177600";"[(820, 312), (580, 299)]";"[0, 0]"
11;0.0113208293915;"177600";"[(823, 309), (583, 297)]";"[0, 0]"
12;0.0158421993256;"177600";"[(825, 307)]";"[0]"
13;0.0159120559692;"177600";"[(823, 307)]";"[0]"
14;0.0163059234619;"177600";"[(822, 304)]";"[0]"
15;0.120088815689;"2279889";"[]";"[]"
16;0.00763511657715;"177600";"[(824, 305)]";"[0]"
17;0.0998229980469;"2279889";"[]";"[]"
18;0.0121011734009;"177600";"[(591, 296), (831, 308)]";"[0, 0]"
19;0.0175290107727;"177600";"[(830, 310), (591, 298)]";"[0, 0]"
20;0.14638710022;"2279889";"[]";"[]"
21;0.013200044632;"177600";"[(831, 313)]";"[0]"
22;0.0157170295715;"177600";"[(835, 311), (596, 300)]";"[0, 0]"
23;0.0160608291626;"177600";"[(832, 312)]";"[0]"
24;0.0157239437103;"177600";"[(830, 309)]";"[0]"
25;0.0157461166382;"177600";"[(828, 307)]";"[0]"
26;0.0158658027649;"177600";"[(828, 304), (585, 290)]";"[0, 0]"
27;0.015645980835;"177600";"[(829, 301)]";"[0]"
28;0.0159690380096;"177600";"[(830, 300)]";"[0]"
29;0.0159611701965;"177600";"[(833, 299), (593, 286)]";"[0, 0]"
30;0.0162179470062;"177600";"[(833, 297), (593, 284)]";"[0, 0]"
31;0.0158751010895;"177600";"[(832, 293)]";"[0]"
32;0.0161309242249;"177600";"[(831, 293)]";"[0]"
33;0.0161530971527;"177600";"[(831, 291), (591, 279)]";"[0, 0]"
34;0.0149970054626;"177600";"[(830, 289), (590, 278)]";"[0, 0]"
35;0.115415096283;"2255384";"[]";"[]"
36;0.0119390487671;"177600";"[(829, 291)]";"[0]"
37;0.0164489746094;"177600";"[(827, 287)]";"[0]"
38;0.0105259418488;"177600";"[(829, 285)]";"[0]"
39;0.0155899524689;"177600";"[(834, 282)]";"[0]"
