frameno;frametime;recarea;cir_pos;color
0;0.0963089466095;"2073600";"[(820, 314)]";"[0]"
1;0.00812792778015;"177600";"[(819, 313)]";"[0]"
2;0.00785088539124;"177600";"[(818, 313), (577, 298)]";"[0, 0]"
3;0.0108208656311;"177600";"[(817, 311)]";"[0]"
4;0.00895690917969;"177600";"[(816, 308), (577, 295)]";"[0, 0]"
5;0.0105729103088;"177600";"[(817, 307)]";"[0]"
6;0.0085289478302;"177600";"[(819, 308)]";"[0]"
7;0.0117099285126;"177600";"[(819, 311), (576, 300)]";"[0, 0]"
8;0.0142910480499;"177600";"[(819, 313)]";"[0]"
9;0.0146601200104;"177600";"[(820, 315)]";"[0]"
10;0.0104899406433;"177600";"[(820, 312), (580, 299)]";"[0, 0]"
11;0.0134739875793;"177600";"[(823, 309), (583, 297)]";"[0, 0]"
12;0.0144259929657;"177600";"[(825, 307)]";"[0]"
13;0.0147960186005;"177600";"[(823, 307)]";"[0]"
14;0.0141649246216;"177600";"[(822, 304)]";"[0]"
15;0.144510030746;"3004396";"[]";"[]"
16;0.0119121074677;"177600";"[(824, 305)]";"[0]"
17;0.161473989487;"3004396";"[]";"[]"
18;0.00964403152466;"177600";"[(591, 296), (831, 308)]";"[0, 0]"
19;0.00836086273193;"177600";"[(830, 310), (591, 298)]";"[0, 0]"
20;0.13297700882;"3004396";"[]";"[]"
21;0.00888705253601;"177600";"[(831, 313)]";"[0]"
22;0.011470079422;"177600";"[(835, 311), (596, 300)]";"[0, 0]"
23;0.00907301902771;"177600";"[(832, 312)]";"[0]"
24;0.012501001358;"177600";"[(830, 309)]";"[0]"
25;0.0140781402588;"177600";"[(828, 307)]";"[0]"
26;0.0140678882599;"177600";"[(828, 304), (585, 290)]";"[0, 0]"
27;0.0101838111877;"177600";"[(829, 301)]";"[0]"
28;0.011962890625;"177600";"[(830, 300)]";"[0]"
29;0.012845993042;"177600";"[(833, 299), (593, 286)]";"[0, 0]"
30;0.0101029872894;"177600";"[(833, 297), (593, 284)]";"[0, 0]"
31;0.00852799415588;"177600";"[(832, 293)]";"[0]"
32;0.0114650726318;"177600";"[(831, 293)]";"[0]"
33;0.00911211967468;"177600";"[(831, 291), (591, 279)]";"[0, 0]"
34;0.0082950592041;"177600";"[(830, 289), (590, 278)]";"[0, 0]"
35;0.132964134216;"2988896";"[]";"[]"
36;0.0127050876617;"177600";"[(829, 291)]";"[0]"
37;0.0117478370667;"177600";"[(827, 287)]";"[0]"
38;0.00937104225159;"177600";"[(829, 285)]";"[0]"
39;0.0120809078217;"177600";"[(834, 282)]";"[0]"
40;0.0110399723053;"177600";"[(841, 281)]";"[0]"
41;0.00942587852478;"177600";"[(607, 272)]";"[0]"
42;0.0123789310455;"177600";"[(847, 283), (608, 273)]";"[0, 0]"
43;0.140035152435;"2996135";"[]";"[]"
44;0.00912308692932;"177600";"[(599, 272)]";"[0]"
45;0.00854206085205;"177600";"[(832, 284), (592, 270)]";"[0, 0]"
46;0.00869512557983;"177600";"[(585, 270), (826, 282)]";"[0, 0]"
47;0.00875496864319;"177600";"[(824, 282), (583, 270)]";"[0, 0]"
48;0.141279935837;"2977529";"[]";"[]"
49;0.00938200950623;"177600";"[(826, 278)]";"[0]"
50;0.0122480392456;"177600";"[(827, 275)]";"[0]"
51;0.0136661529541;"177600";"[(584, 259), (825, 271)]";"[0, 0]"
52;0.0152020454407;"177600";"[(823, 269)]";"[0]"
53;0.0103850364685;"177600";"[(822, 268)]";"[0]"
54;0.128814935684;"2962024";"[]";"[]"
55;0.0090799331665;"177600";"[(825, 265), (583, 256)]";"[0, 0]"
56;0.00809788703918;"177600";"[(827, 263)]";"[0]"
57;0.0114989280701;"177600";"[(829, 263)]";"[0]"
58;0.0142180919647;"177600";"[(831, 263)]";"[0]"
59;0.0101420879364;"177600";"[(831, 260)]";"[0]"
60;0.00968384742737;"177600";"[(832, 261)]";"[0]"
61;0.00829911231995;"177600";"[(832, 259)]";"[0]"
62;0.0083339214325;"177600";"[(591, 248)]";"[0]"
63;0.127023935318;"2950644";"[]";"[]"
64;0.0134391784668;"177600";"[(829, 255), (1032, 395)]";"[0, 0]"
65;0.142088890076;"2949620";"[]";"[]"
66;0.125003099442;"2949620";"[]";"[]"
67;0.0126700401306;"177600";"[(584, 242), (1031, 391)]";"[0, 0]"
68;0.00922107696533;"177600";"[(585, 242)]";"[0]"
69;0.00830483436584;"177600";"[(825, 253)]";"[0]"
70;0.0125110149384;"177600";"[(824, 253)]";"[0]"
71;0.00906300544739;"177600";"[(822, 253)]";"[0]"
72;0.0120859146118;"177600";"[(821, 250)]";"[0]"
73;0.0146811008453;"177600";"[(818, 252), (577, 240)]";"[0, 0]"
74;0.0102369785309;"177600";"[(816, 252), (575, 240)]";"[0, 0]"
75;0.00879883766174;"177600";"[(816, 252)]";"[0]"
76;0.0644509792328;"1138680";"[(1018, 394)]";"[0]"
77;0.045914888382;"929640";"[(572, 242), (1016, 395)]";"[0, 0]"
78;0.0133988857269;"268812";"[(810, 257), (568, 242)]";"[0, 0]"
79;0.0142002105713;"268812";"[(563, 241)]";"[0]"
80;0.0134670734406;"268812";"[(803, 253)]";"[0]"
81;0.0129199028015;"268812";"[(801, 256)]";"[0]"
82;0.0127670764923;"268812";"[(557, 239), (800, 255)]";"[0, 0]"
83;0.0131070613861;"268812";"[(793, 251)]";"[0]"
84;0.0129020214081;"268812";"[(793, 251)]";"[0]"
85;0.01265001297;"268812";"[(790, 250)]";"[0]"
86;0.0127329826355;"268812";"[(788, 250)]";"[0]"
87;0.013219833374;"268812";"[(543, 236), (785, 251)]";"[0, 0]"
88;0.0128560066223;"268812";"[(784, 252)]";"[0]"
89;0.0146749019623;"268812";"[(781, 255), (537, 239)]";"[0, 0]"
90;0.120939016342;"2723496";"[]";"[]"
91;0.0124862194061;"268812";"[(778, 253)]";"[0]"
92;0.0132160186768;"268812";"[(777, 250)]";"[0]"
93;0.0120611190796;"268812";"[(775, 252), (532, 235)]";"[0, 0]"
94;0.0124390125275;"268812";"[(775, 250), (530, 235)]";"[0, 0]"
95;0.012521982193;"268812";"[(772, 251)]";"[0]"
96;0.0130341053009;"268812";"[(527, 233), (772, 251)]";"[0, 0]"
97;0.0126168727875;"268812";"[(771, 249)]";"[0]"
98;0.0124800205231;"268812";"[(771, 249)]";"[0]"
99;0.0124928951263;"268812";"[(774, 249), (526, 232)]";"[0, 0]"
100;0.0126659870148;"268812";"[(776, 248)]";"[0]"
101;0.0117259025574;"268812";"[(774, 249)]";"[0]"
102;0.0162019729614;"268812";"[(775, 249), (528, 232)]";"[0, 0]"
103;0.0146489143372;"268812";"[(777, 249), (532, 233)]";"[0, 0]"
104;0.12378692627;"2697666";"[]";"[]"
105;0.0123708248138;"268812";"[(778, 248)]";"[0]"
106;0.0177400112152;"268812";"[(777, 250), (531, 232)]";"[0, 0]"
107;0.014643907547;"268812";"[(775, 249)]";"[0]"
108;0.0190980434418;"268812";"[(532, 233), (778, 249)]";"[0, 0]"
109;0.0159549713135;"268812";"[(531, 235), (777, 251)]";"[0, 0]"
110;0.0140330791473;"268812";"[(774, 255), (530, 238)]";"[0, 0]"
111;0.0118100643158;"268812";"[(773, 256), (528, 240)]";"[0, 0]"
112;0.0145518779755;"268812";"[(772, 258)]";"[0]"
113;0.0150828361511;"268812";"[(524, 241)]";"[0]"
114;0.0124549865723;"268812";"[(769, 257)]";"[0]"
115;0.0135059356689;"268812";"[(769, 257)]";"[0]"
116;0.0138349533081;"268812";"[(769, 257), (524, 238)]";"[0, 0]"
117;0.0128870010376;"268812";"[(524, 238)]";"[0]"
118;0.0133938789368;"268812";"[(769, 255)]";"[0]"
119;0.0134031772614;"268812";"[(524, 239), (768, 257)]";"[0, 0]"
120;0.0131080150604;"268812";"[(769, 261), (523, 243)]";"[0, 0]"
121;0.0180099010468;"268812";"[(522, 244), (767, 260)]";"[0, 0]"
122;0.0126769542694;"268812";"[(764, 260)]";"[0]"
123;0.0183579921722;"268812";"[(766, 260)]";"[0]"
124;0.0145671367645;"268812";"[(518, 243), (766, 261)]";"[0, 0]"
125;0.012610912323;"268812";"[(766, 258), (522, 240)]";"[0, 0]"
126;0.119422912598;"2683890";"[]";"[]"
127;0.0131220817566;"268812";"[(522, 234)]";"[0]"
128;0.0125360488892;"268812";"[(518, 234)]";"[0]"
129;0.0128390789032;"268812";"[(520, 236), (766, 255)]";"[0, 0]"
130;0.0125949382782;"268812";"[(762, 256), (517, 237)]";"[0, 0]"
131;0.0127520561218;"268812";"[(764, 254), (515, 236)]";"[0, 0]"
132;0.012521982193;"268812";"[(765, 255)]";"[0]"
133;0.0144290924072;"268812";"[(771, 254)]";"[0]"
134;0.0190579891205;"268812";"[(772, 258)]";"[0]"
135;0.0145518779755;"268812";"[(775, 261)]";"[0]"
136;0.0197968482971;"268812";"[(775, 265)]";"[0]"
137;0.0145859718323;"268812";"[(776, 266)]";"[0]"
138;0.0132141113281;"268812";"[(777, 269)]";"[0]"
139;0.01247215271;"268812";"[(776, 269)]";"[0]"
140;0.0631120204926;"1136196";"[(978, 410)]";"[0]"
141;0.0434801578522;"929640";"[(774, 263)]";"[0]"
142;0.0385699272156;"871608";"[(775, 260)]";"[0]"
143;0.054239988327;"929640";"[(779, 259)]";"[0]"
144;0.0450789928436;"929640";"[(781, 258), (536, 241)]";"[0, 0]"
145;0.0347929000854;"753146";"[(781, 256)]";"[0]"
146;0.0419139862061;"901182";"[(778, 255), (536, 239)]";"[0, 0]"
147;0.00685596466064;"123392";"[(535, 241)]";"[0]"
148;0.00583410263062;"123392";"[(538, 242)]";"[0]"
149;0.0471379756927;"749068";"[(782, 257)]";"[0]"
150;0.0422780513763;"899508";"[(539, 243), (783, 254)]";"[0, 0]"
151;0.0336759090424;"742798";"[(785, 259), (987, 399)]";"[0, 0]"
152;0.0102179050446;"167960";"[(783, 260)]";"[0]"
153;0.0128519535065;"167960";"[(783, 261)]";"[0]"
154;0.0104701519012;"167960";"[(780, 263)]";"[0]"
155;0.00973105430603;"167960";"[(778, 259)]";"[0]"
156;0.00878500938416;"167960";"[(778, 257)]";"[0]"
157;0.109240055084;"2501176";"[]";"[]"
158;0.0113360881805;"167960";"[(777, 252)]";"[0]"
159;0.0142698287964;"167960";"[(775, 253)]";"[0]"
160;0.0439469814301;"580138";"[(530, 238)]";"[0]"
161;0.00844812393188;"156720";"[(529, 237)]";"[0]"
162;0.0191340446472;"357132";"[(775, 251)]";"[0]"
163;0.0434589385986;"571784";"[(773, 251)]";"[0]"
164;0.0600898265839;"929640";"[(771, 251)]";"[0]"
165;0.0443110466003;"928524";"[(769, 249)]";"[0]"
166;0.0413269996643;"929640";"[(769, 251)]";"[0]"
167;0.0536708831787;"929640";"[(767, 249)]";"[0]"
168;0.0595579147339;"929640";"[(766, 245)]";"[0]"
169;0.0557911396027;"929082";"[(764, 245)]";"[0]"
170;0.0439438819885;"929640";"[(763, 247)]";"[0]"
171;0.0414080619812;"929082";"[(763, 249)]";"[0]"
172;0.0449819564819;"929640";"[(763, 249), (966, 392)]";"[0, 0]"
173;0.00820398330688;"169669";"[(762, 252)]";"[0]"
174;0.0281660556793;"585419";"[(516, 238)]";"[0]"
175;0.0259828567505;"335216";"[(760, 254)]";"[0]"
176;0.0492749214172;"613236";"[(762, 257)]";"[0]"
177;0.0641438961029;"929640";"[(762, 257), (965, 399), (518, 243)]";"[0, 0, 0]"
178;0.0131809711456;"272052";"[(761, 257), (518, 243)]";"[0, 0]"
179;0.0169599056244;"272052";"[(761, 257)]";"[0]"
180;0.0189809799194;"272052";"[(760, 255), (513, 241)]";"[0, 0]"
181;0.0143809318542;"272052";"[(761, 253), (514, 239)]";"[0, 0]"
182;0.0173408985138;"272052";"[(516, 238), (761, 255)]";"[0, 0]"
183;0.0209829807281;"272052";"[(517, 236)]";"[0]"
184;0.0195939540863;"272052";"[(761, 250)]";"[0]"
185;0.0200228691101;"272052";"[(759, 249), (513, 233)]";"[0, 0]"
186;0.0136499404907;"272052";"[(513, 233), (760, 251)]";"[0, 0]"
187;0.0195279121399;"272052";"[(759, 249), (513, 234)]";"[0, 0]"
188;0.0211381912231;"272052";"[(758, 253)]";"[0]"
189;0.0218279361725;"272052";"[(759, 257), (513, 241)]";"[0, 0]"
190;0.0219390392303;"272052";"[(759, 261)]";"[0]"
191;0.0207169055939;"272052";"[(513, 245), (759, 261)]";"[0, 0]"
192;0.0214810371399;"272052";"[(761, 260)]";"[0]"
193;0.0183691978455;"272052";"[(760, 260)]";"[0]"
194;0.0139079093933;"272052";"[(759, 259), (513, 246)]";"[0, 0]"
195;0.0176031589508;"272052";"[(758, 259), (510, 245)]";"[0, 0]"
196;0.0137779712677;"272052";"[(759, 259)]";"[0]"
197;0.0171661376953;"272052";"[(761, 263), (515, 249)]";"[0, 0]"
198;0.0134508609772;"272052";"[(765, 269), (520, 253)]";"[0, 0]"
199;0.016832113266;"272052";"[(767, 270), (524, 256)]";"[0, 0]"
200;0.0203108787537;"272052";"[(771, 272)]";"[0]"
201;0.15446805954;"2869530";"[]";"[]"
202;0.140735864639;"2869530";"[]";"[]"
203;0.0116360187531;"272052";"[(773, 273)]";"[0]"
204;0.0168280601501;"272052";"[(528, 259)]";"[0]"
205;0.0200781822205;"272052";"[(526, 258), (771, 271)]";"[0, 0]"
206;0.0210092067719;"272052";"[(768, 268)]";"[0]"
207;0.0608088970184;"1198098";"[(974, 409)]";"[0]"
208;0.126708984375;"2523228";"[]";"[]"
209;0.0540161132812;"929640";"[(768, 264), (522, 249)]";"[0, 0]"
