frameno;frametime;recarea;cir_pos;color
0;0.165699958801;"2073600";"[(820, 314), (580, 300)]";"[0, 0]"
1;0.0100388526917;"121920";"[(819, 313), (576, 299)]";"[0, 0]"
2;0.00869202613831;"121920";"[(818, 313), (577, 298)]";"[0, 0]"
3;0.0137078762054;"121920";"[(817, 311), (577, 297)]";"[0, 0]"
4;0.0163600444794;"121920";"[(577, 295)]";"[0]"
5;0.140610218048;"1787280";"[]";"[]"
6;0.139362096786;"1787280";"[]";"[]"
7;0.0153000354767;"121920";"[(576, 300)]";"[0]"
8;0.0177989006042;"121920";"[(579, 302)]";"[0]"
9;0.0189859867096;"121920";"[(820, 315), (580, 300)]";"[0, 0]"
10;0.0183370113373;"121920";"[(580, 299)]";"[0]"
11;0.0170609951019;"121920";"[(583, 297)]";"[0]"
12;0.0178079605103;"121920";"[(825, 307), (584, 295)]";"[0, 0]"
13;0.0104930400848;"121920";"[(823, 307)]";"[0]"
14;0.134794950485;"1787280";"[]";"[]"
15;0.0164730548859;"121920";"[(821, 303), (584, 290)]";"[0, 0]"
16;0.13493514061;"1787280";"[]";"[]"
17;0.0140578746796;"121920";"[(588, 293)]";"[0]"
18;0.0176539421082;"121920";"[(591, 296)]";"[0]"
19;0.0184969902039;"121920";"[(591, 298)]";"[0]"
20;0.0455038547516;"121920";"[(1032, 450)]";"[0]"
21;0.0226559638977;"177600";"[(594, 300)]";"[0]"
22;0.0219180583954;"177600";"[(596, 300)]";"[0]"
23;0.0211350917816;"177600";"[(594, 298)]";"[0]"
24;0.0222330093384;"177600";"[(830, 309), (591, 296)]";"[0, 0]"
25;0.0227329730988;"177600";"[(828, 307), (585, 292)]";"[0, 0]"
26;0.0235190391541;"177600";"[(827, 303), (585, 290)]";"[0, 0]"
27;0.0143489837646;"177600";"[(829, 301), (588, 287)]";"[0, 0]"
28;0.0121908187866;"177600";"[(830, 300), (589, 287)]";"[0, 0]"
29;0.0107190608978;"177600";"[(833, 299), (593, 286)]";"[0, 0]"
30;0.014240026474;"177600";"[(833, 297)]";"[0]"
31;0.0193428993225;"177600";"[(832, 293)]";"[0]"
32;0.018513917923;"177600";"[(831, 293)]";"[0]"
33;0.0185940265656;"177600";"[(831, 291)]";"[0]"
34;0.0226490497589;"177600";"[(590, 278)]";"[0]"
35;0.0217700004578;"177600";"[(830, 293), (589, 279)]";"[0, 0]"
36;0.0188438892365;"177600";"[(829, 291)]";"[0]"
37;0.0586359500885;"177600";"[(588, 275)]";"[0]"
38;0.0435299873352;"177600";"[(590, 273)]";"[0]"
39;0.0217180252075;"177600";"[(594, 271)]";"[0]"
40;0.0188460350037;"177600";"[(841, 281)]";"[0]"
41;0.0223739147186;"177600";"[(607, 272), (846, 282)]";"[0, 0]"
42;0.0215950012207;"177600";"[(608, 273)]";"[0]"
43;0.0212848186493;"177600";"[(846, 286), (607, 273)]";"[0, 0]"
44;0.0118448734283;"177600";"[(599, 272)]";"[0]"
45;0.0214378833771;"177600";"[(592, 270)]";"[0]"
46;0.0213029384613;"177600";"[(585, 270)]";"[0]"
47;0.0221078395844;"177600";"[(824, 282), (583, 270)]";"[0, 0]"
48;0.0218601226807;"177600";"[(586, 269), (825, 282)]";"[0, 0]"
49;0.154311180115;"1790040";"[]";"[]"
50;0.0112709999084;"177600";"[(827, 275), (586, 262)]";"[0, 0]"
51;0.016077041626;"177600";"[(584, 259)]";"[0]"
52;0.019984960556;"177600";"[(823, 269), (582, 257)]";"[0, 0]"
53;0.0211999416351;"177600";"[(582, 257)]";"[0]"
54;0.0197761058807;"177600";"[(824, 268), (583, 256)]";"[0, 0]"
55;0.0202808380127;"177600";"[(583, 256)]";"[0]"
56;0.12963104248;"1790040";"[]";"[]"
57;0.0190980434418;"177600";"[(829, 263), (586, 252)]";"[0, 0]"
58;0.0187819004059;"177600";"[(831, 263)]";"[0]"
59;0.0226199626923;"177600";"[(587, 250)]";"[0]"
60;0.0222871303558;"177600";"[(832, 261), (589, 249)]";"[0, 0]"
61;0.0225009918213;"177600";"[(832, 259), (589, 250)]";"[0, 0]"
62;0.0188400745392;"177600";"[(591, 248)]";"[0]"
63;0.0215239524841;"177600";"[(587, 247)]";"[0]"
64;0.147400856018;"1790040";"[(1032, 395)]";"[0]"
65;0.0552661418915;"177600";"[(828, 254), (582, 243)]";"[0, 0]"
66;0.088623046875;"1176492";"[(585, 242), (826, 255)]";"[0, 0]"
67;0.0173709392548;"121693";"[(584, 242), (825, 253)]";"[0, 0]"
68;0.0167109966278;"121693";"[(585, 242)]";"[0]"
69;0.0158660411835;"121693";"[(825, 253)]";"[0]"
70;0.0195620059967;"121693";"[(823, 251), (579, 240)]";"[0, 0]"
71;0.0149838924408;"121693";"[(822, 253)]";"[0]"
72;0.145243883133;"1791373";"[]";"[]"
73;0.0168161392212;"121693";"[(818, 252), (577, 240)]";"[0, 0]"
74;0.0116860866547;"121693";"[(575, 240)]";"[0]"
75;0.0137331485748;"121693";"[(816, 252)]";"[0]"
76;0.01518201828;"121693";"[(816, 255)]";"[0]"
77;0.0186240673065;"121693";"[(572, 242), (814, 256)]";"[0, 0]"
78;0.0184090137482;"121693";"[(810, 257), (568, 242)]";"[0, 0]"
79;0.0196120738983;"121693";"[(805, 255), (563, 241)]";"[0, 0]"
80;0.0175740718842;"121693";"[(804, 256), (561, 240)]";"[0, 0]"
81;0.0185821056366;"121693";"[(801, 256), (559, 240)]";"[0, 0]"
82;0.0192699432373;"121693";"[(557, 239)]";"[0]"
83;0.0175058841705;"121693";"[(551, 236)]";"[0]"
84;0.0171980857849;"121693";"[(793, 251), (549, 235)]";"[0, 0]"
