frameno;frametime;radious;cir_pos;color
0;0.221966028214;"[5.7008772]";"[(820.5, 314.5)]";"[0]"
1;0.102194070816;"[5.7008772, 5.7008772]";"[(819.5, 313.5), (1020.5, 450.5)]";"[0, 0]"
2;0.0885879993439;"[5.7008772, 5.7008772]";"[(818.5, 313.5), (577.5, 298.5)]";"[0, 0]"
3;0.0899090766907;"[5.7008772]";"[(817.5, 311.5)]";"[0]"
4;0.092710018158;"[5.7008772, 5.7008772]";"[(816.5, 308.5), (577.5, 295.5)]";"[0, 0]"
5;0.0935180187225;"[6.3639612]";"[(817.5, 307.5)]";"[0]"
6;0.10102891922;"[5.7008772]";"[(819.5, 308.5)]";"[0]"
7;0.102357149124;"[5.7008772, 6.6708322]";"[(819.5, 311.5), (576.5, 300.5)]";"[0, 0]"
8;0.110517978668;"[5.7008772]";"[(819.5, 313.5)]";"[0]"
9;0.112129926682;"[5.7008772]";"[(820.5, 315.5)]";"[0]"
10;0.116529941559;"[6.6708322, 5.7008772]";"[(820.5, 312.5), (580.5, 299.5)]";"[0, 0]"
11;0.115337848663;"[5.7008772, 6.041523]";"[(823.5, 309.5), (583.5, 297.5)]";"[0, 0]"
12;0.111064910889;"[5.7008772]";"[(825.5, 307.5)]";"[0]"
13;0.114394903183;"[6.6708322]";"[(823.5, 307.5)]";"[0]"
14;0.112154006958;"[6.6708322]";"[(822.5, 304.5)]";"[0]"
15;0.0877480506897;"[7.905694]";"[(821.5, 303.5)]";"[0]"
16;0.0885660648346;"[7.905694, 5.7008772]";"[(823.5, 303.5), (1026.5, 442.5)]";"[0, 0]"
17;0.106925010681;"[6.041523]";"[(827.5, 305.5)]";"[0]"
18;0.112378835678;"[6.6708322, 5.7008772]";"[(591.5, 296.5), (831.5, 308.5)]";"[0, 0]"
19;0.105402946472;"[6.6708322, 5.7008772]";"[(830.5, 310.5), (591.5, 298.5)]";"[0, 0]"
20;0.113127946854;"[6.041523]";"[(832.5, 311.5)]";"[0]"
21;0.117757081985;"[5.7008772]";"[(831.5, 313.5)]";"[0]"
22;0.0893120765686;"[5.7008772, 6.6708322, 6.6708322]";"[(835.5, 311.5), (596.5, 300.5), (1034.5, 451.5)]";"[0, 0, 0]"
23;0.111170053482;"[5.7008772]";"[(832.5, 312.5)]";"[0]"
24;0.0932049751282;"[6.5192022]";"[(830.5, 309.5)]";"[0]"
25;0.0879588127136;"[5.7008772]";"[(828.5, 307.5)]";"[0]"
26;0.108227968216;"[7.7781744, 7.1063352]";"[(827.5, 303.5), (585.5, 290.5)]";"[0, 0]"
27;0.0876297950745;"[6.041523]";"[(829.5, 301.5)]";"[0]"
28;0.0875470638275;"[6.6708322]";"[(830.5, 300.5)]";"[0]"
29;0.096351146698;"[6.041523, 5.7008772]";"[(833.5, 299.5), (593.5, 286.5)]";"[0, 0]"
30;0.0869779586792;"[5.7008772, 5.7008772]";"[(833.5, 297.5), (593.5, 284.5)]";"[0, 0]"
31;0.112581014633;"[6.6708322]";"[(832.5, 293.5)]";"[0]"
32;0.107798099518;"[6.041523, 5.7008772]";"[(831.5, 293.5), (1032.5, 430.5)]";"[0, 0]"
33;0.0925459861755;"[6.3639612, 5.7008772]";"[(831.5, 291.5), (591.5, 279.5)]";"[0, 0]"
34;0.0966911315918;"[5.7008772, 6.5192022]";"[(830.5, 289.5), (590.5, 278.5)]";"[0, 0]"
35;0.11502790451;"[]";"[]";"[]"
36;0.111871004105;"[5.7008772]";"[(829.5, 291.5)]";"[0]"
37;0.10342001915;"[5.7008772, 5.7008772]";"[(827.5, 287.5), (1031.5, 425.5)]";"[0, 0]"
38;0.0968730449677;"[7.1063352]";"[(829.5, 285.5)]";"[0]"
39;0.109375;"[5.7008772]";"[(834.5, 282.5)]";"[0]"
40;0.114223003387;"[5.7008772]";"[(841.5, 281.5)]";"[0]"
41;0.0882441997528;"[5.7008772, 6.6708322]";"[(607.5, 272.5), (846.5, 282.5)]";"[0, 0]"
42;0.088317155838;"[5.7008772, 5.5226803]";"[(847.5, 283.5), (608.5, 273.5)]";"[0, 0]"
43;0.0879619121552;"[5.7008772]";"[(846.5, 286.5)]";"[0]"
44;0.10188293457;"[5.7008772, 5.7008772]";"[(599.5, 272.5), (1042.5, 422.5)]";"[0, 0]"
45;0.118000984192;"[5.7008772, 6.5192022, 5.7008772]";"[(832.5, 284.5), (592.5, 270.5), (1034.5, 422.5)]";"[0, 0, 0]"
46;0.11195898056;"[5.7008772, 6.041523]";"[(585.5, 270.5), (826.5, 282.5)]";"[0, 0]"
47;0.113881826401;"[6.6708322, 5.7008772]";"[(824.5, 282.5), (583.5, 270.5)]";"[0, 0]"
48;0.103942871094;"[]";"[]";"[]"
49;0.117833852768;"[6.6708322]";"[(826.5, 278.5)]";"[0]"
50;0.109625101089;"[5.7008772]";"[(827.5, 275.5)]";"[0]"
51;0.109606981277;"[5.7008772, 6.041523]";"[(584.5, 259.5), (825.5, 271.5)]";"[0, 0]"
52;0.112979888916;"[5.7008772]";"[(823.5, 269.5)]";"[0]"
53;0.120907068253;"[6.6708322]";"[(822.5, 268.5)]";"[0]"
54;0.111545085907;"[5.7008772]";"[(824.5, 268.5)]";"[0]"
55;0.0882210731506;"[5.7008772, 5.7008772, 5.7008772]";"[(825.5, 265.5), (583.5, 256.5), (1027.5, 404.5)]";"[0, 0, 0]"
56;0.0953769683838;"[5.7008772]";"[(827.5, 263.5)]";"[0]"
57;0.108501911163;"[6.6708322]";"[(829.5, 263.5)]";"[0]"
58;0.108157873154;"[5.7008772]";"[(831.5, 263.5)]";"[0]"
59;0.109772920609;"[6.6708322]";"[(831.5, 260.5)]";"[0]"
60;0.111271858215;"[5.7008772]";"[(832.5, 261.5)]";"[0]"
61;0.101613998413;"[6.6708322]";"[(832.5, 259.5)]";"[0]"
62;0.11013007164;"[6.3639612]";"[(591.5, 248.5)]";"[0]"
63;0.0965259075165;"[5.7008772]";"[(831.5, 256.5)]";"[0]"
64;0.106516838074;"[6.041523, 5.7008772]";"[(829.5, 255.5), (1032.5, 395.5)]";"[0, 0]"
65;0.108501195908;"[7.7781744]";"[(828.5, 254.5)]";"[0]"
66;0.0886552333832;"[]";"[]";"[]"
