frameno;frametime;radious;cir_pos;color
0;0.284420967102;"[5.7008772]";"[(820.5, 314.5)]";"[0]"
1;0.140840053558;"[5.7008772, 5.7008772]";"[(819.5, 313.5), (1020.5, 450.5)]";"[0, 0]"
2;0.12887096405;"[5.7008772, 5.7008772]";"[(818.5, 313.5), (577.5, 298.5)]";"[0, 0]"
3;0.111329078674;"[5.7008772]";"[(817.5, 311.5)]";"[0]"
4;0.104107141495;"[5.7008772, 5.7008772]";"[(816.5, 308.5), (577.5, 295.5)]";"[0, 0]"
5;0.101083993912;"[6.3639612]";"[(817.5, 307.5)]";"[0]"
6;0.123813152313;"[5.7008772]";"[(819.5, 308.5)]";"[0]"
7;0.10794711113;"[5.7008772, 6.6708322]";"[(819.5, 311.5), (576.5, 300.5)]";"[0, 0]"
8;0.124461889267;"[5.7008772]";"[(819.5, 313.5)]";"[0]"
9;0.135758876801;"[5.7008772]";"[(820.5, 315.5)]";"[0]"
10;0.151173114777;"[6.6708322, 5.7008772]";"[(820.5, 312.5), (580.5, 299.5)]";"[0, 0]"
11;0.119337081909;"[5.7008772, 6.041523]";"[(823.5, 309.5), (583.5, 297.5)]";"[0, 0]"
12;0.117797851562;"[5.7008772]";"[(825.5, 307.5)]";"[0]"
13;0.10711812973;"[6.6708322]";"[(823.5, 307.5)]";"[0]"
14;0.121010065079;"[6.6708322]";"[(822.5, 304.5)]";"[0]"
15;0.116489887238;"[7.905694]";"[(821.5, 303.5)]";"[0]"
16;0.149285078049;"[7.905694, 5.7008772]";"[(823.5, 303.5), (1026.5, 442.5)]";"[0, 0]"
17;0.136694908142;"[6.041523]";"[(827.5, 305.5)]";"[0]"
18;0.115607023239;"[6.6708322, 5.7008772]";"[(591.5, 296.5), (831.5, 308.5)]";"[0, 0]"
19;0.115793943405;"[6.6708322, 5.7008772]";"[(830.5, 310.5), (591.5, 298.5)]";"[0, 0]"
20;0.113846063614;"[6.041523]";"[(832.5, 311.5)]";"[0]"
21;0.130954027176;"[5.7008772]";"[(831.5, 313.5)]";"[0]"
22;0.107501983643;"[5.7008772, 6.6708322, 6.6708322]";"[(835.5, 311.5), (596.5, 300.5), (1034.5, 451.5)]";"[0, 0, 0]"
