frameno;frametime;radious;cir_pos;color
0;0.203069925308;"[5.7008772]";"[(820.5, 314.5)]";"[0]"
1;0.169851064682;"[5.7008772, 5.7008772]";"[(819.5, 313.5), (1020.5, 450.5)]";"[0, 0]"
2;0.119735956192;"[5.7008772, 5.7008772]";"[(818.5, 313.5), (577.5, 298.5)]";"[0, 0]"
3;0.138805866241;"[5.7008772]";"[(817.5, 311.5)]";"[0]"
4;0.141577959061;"[5.7008772, 5.7008772]";"[(816.5, 308.5), (577.5, 295.5)]";"[0, 0]"
5;0.123944044113;"[6.3639612]";"[(817.5, 307.5)]";"[0]"
6;0.0983471870422;"[5.7008772]";"[(819.5, 308.5)]";"[0]"
7;0.142580032349;"[5.7008772, 6.6708322]";"[(819.5, 311.5), (576.5, 300.5)]";"[0, 0]"
8;0.146192073822;"[5.7008772]";"[(819.5, 313.5)]";"[0]"
9;0.116441011429;"[5.7008772]";"[(820.5, 315.5)]";"[0]"
10;0.112348079681;"[6.6708322, 5.7008772]";"[(820.5, 312.5), (580.5, 299.5)]";"[0, 0]"
11;0.111903905869;"[5.7008772, 6.041523]";"[(823.5, 309.5), (583.5, 297.5)]";"[0, 0]"
12;0.113295793533;"[5.7008772]";"[(825.5, 307.5)]";"[0]"
13;0.114354848862;"[6.6708322]";"[(823.5, 307.5)]";"[0]"
14;0.14271402359;"[6.6708322]";"[(822.5, 304.5)]";"[0]"
15;0.146227836609;"[7.905694]";"[(821.5, 303.5)]";"[0]"
16;0.15038895607;"[7.905694, 5.7008772]";"[(823.5, 303.5), (1026.5, 442.5)]";"[0, 0]"
17;0.141273975372;"[6.041523]";"[(827.5, 305.5)]";"[0]"
18;0.140662908554;"[6.6708322, 5.7008772]";"[(591.5, 296.5), (831.5, 308.5)]";"[0, 0]"
19;0.132092952728;"[6.6708322, 5.7008772]";"[(830.5, 310.5), (591.5, 298.5)]";"[0, 0]"
20;0.1554479599;"[6.041523]";"[(832.5, 311.5)]";"[0]"
