frameno;frametime;radious;cir_pos;color
0;0.173568964005;"[5.7008772]";"[(820, 314)]";"[0]"
1;0.10009598732;"[5.7008772]";"[(819, 313)]";"[0]"
2;0.0957651138306;"[5.7008772, 5.7008772]";"[(818, 313), (577, 298)]";"[0, 0]"
3;0.098356962204;"[5.7008772]";"[(817, 311)]";"[0]"
4;0.0904760360718;"[5.7008772]";"[(577, 295)]";"[0]"
5;0.0891349315643;"[]";"[]";"[]"
6;0.106312990189;"[]";"[]";"[]"
7;0.113265037537;"[6.6708322]";"[(576, 300)]";"[0]"
8;0.0925960540771;"[]";"[]";"[]"
9;0.12033700943;"[5.7008772]";"[(820, 315)]";"[0]"
10;0.119032859802;"[5.7008772]";"[(580, 299)]";"[0]"
11;0.106107950211;"[6.041523]";"[(583, 297)]";"[0]"
12;0.105746984482;"[5.7008772]";"[(825, 307)]";"[0]"
13;0.116143941879;"[6.6708322]";"[(823, 307)]";"[0]"
14;0.0964879989624;"[]";"[]";"[]"
15;0.10438990593;"[]";"[]";"[]"
16;0.124161958694;"[5.7008772]";"[(824, 305)]";"[0]"
17;0.114619016647;"[]";"[]";"[]"
18;0.140705108643;"[6.6708322]";"[(591, 296)]";"[0]"
19;0.127430915833;"[5.7008772]";"[(591, 298)]";"[0]"
20;0.122611045837;"[]";"[]";"[]"
21;0.102046966553;"[]";"[]";"[]"
22;0.135365009308;"[6.6708322]";"[(596, 300)]";"[0]"
23;0.0934200286865;"[]";"[]";"[]"
24;0.122622966766;"[6.5192022]";"[(830, 309)]";"[0]"
25;0.116156101227;"[5.7008772]";"[(828, 307)]";"[0]"
26;0.121222019196;"[7.1063352, 7.1063352]";"[(828, 304), (585, 290)]";"[0, 0]"
27;0.112272024155;"[6.041523]";"[(829, 301)]";"[0]"
28;0.0969359874725;"[6.6708322]";"[(830, 300)]";"[0]"
29;0.093190908432;"[6.041523, 5.7008772]";"[(833, 299), (593, 286)]";"[0, 0]"
30;0.097011089325;"[5.7008772, 5.7008772]";"[(833, 297), (593, 284)]";"[0, 0]"
31;0.100277900696;"[6.6708322]";"[(832, 293)]";"[0]"
32;0.108584880829;"[6.041523]";"[(831, 293)]";"[0]"
33;0.110542058945;"[6.3639612, 5.7008772]";"[(831, 291), (591, 279)]";"[0, 0]"
34;0.119337081909;"[6.5192022]";"[(590, 278)]";"[0]"
