frameno;frametime;cir_pos;color
0;0.222348928452;"[(385, 279), (641, 297)]";"[0, 0]"
1;0.102327823639;"[(644, 297), (386, 279)]";"[0, 0]"
2;0.0909399986267;"[(645, 299), (388, 280)]";"[0, 0]"
3;0.107073068619;"[(645, 300), (388, 281), (852, 443)]";"[0, 0, 0]"
4;0.0976459980011;"[(385, 281), (643, 299)]";"[0, 0]"
5;0.115320920944;"[]";"[]"
6;0.111543893814;"[(385, 282)]";"[0]"
7;0.114595174789;"[(642, 302), (382, 284)]";"[0, 0]"
8;0.109592914581;"[(642, 302)]";"[0]"
9;0.102886915207;"[(642, 303), (384, 284), (850, 447)]";"[0, 0, 0]"
10;0.106400966644;"[(642, 301), (383, 283)]";"[0, 0]"
11;0.113633155823;"[(641, 302)]";"[0]"
12;0.0889360904694;"[(380, 283)]";"[0]"
13;0.114301919937;"[(379, 284), (640, 303)]";"[0, 0]"
14;0.11173415184;"[(638, 301)]";"[0]"
15;0.112306118011;"[(380, 282), (637, 303)]";"[0, 0]"
16;0.0961158275604;"[(638, 299)]";"[0]"
17;0.107696056366;"[(380, 280)]";"[0]"
18;0.093542098999;"[(638, 298), (845, 444)]";"[0, 0]"
19;0.10059595108;"[(639, 298), (378, 279)]";"[0, 0]"
20;0.0989360809326;"[(639, 299), (378, 278), (846, 443)]";"[0, 0, 0]"
21;0.0937509536743;"[(640, 297)]";"[0]"
22;0.0918719768524;"[(640, 297), (849, 443)]";"[0, 0]"
23;0.0890851020813;"[(640, 297)]";"[0]"
24;0.107647895813;"[(639, 299)]";"[0]"
25;0.102271795273;"[(640, 300)]";"[0]"
26;0.0909719467163;"[(640, 302), (381, 282)]";"[0, 0]"
27;0.100041151047;"[(641, 301)]";"[0]"
28;0.113732814789;"[(642, 301)]";"[0]"
29;0.0967628955841;"[(641, 300)]";"[0]"
30;0.0967848300934;"[(381, 282), (639, 303)]";"[0, 0]"
31;0.0969960689545;"[(639, 303)]";"[0]"
32;0.107022047043;"[(638, 303), (378, 284)]";"[0, 0]"
33;0.0873639583588;"[]";"[]"
34;0.090626001358;"[(639, 305), (381, 285)]";"[0, 0]"
35;0.104407072067;"[(639, 307), (380, 287)]";"[0, 0]"
36;0.0899288654327;"[(637, 307)]";"[0]"
37;0.103384971619;"[(635, 309)]";"[0]"
38;0.10506606102;"[(638, 310), (1625, 828)]";"[0, 0]"
39;0.116081953049;"[(637, 310), (845, 456)]";"[0, 0]"
40;0.10275387764;"[(637, 310), (379, 290)]";"[0, 0]"
41;0.111610889435;"[(636, 309)]";"[0]"
42;0.0949318408966;"[(842, 455), (376, 289), (635, 309)]";"[0, 0, 0]"
43;0.0918951034546;"[(633, 307)]";"[0]"
44;0.0917448997498;"[(631, 305), (369, 286), (839, 453)]";"[0, 0, 0]"
45;0.114235877991;"[(630, 304)]";"[0]"
46;0.0961170196533;"[(372, 283), (630, 304)]";"[0, 0]"
47;0.105652093887;"[(630, 302), (368, 282)]";"[0, 0]"
48;0.104032039642;"[(629, 301)]";"[0]"
49;0.101999998093;"[(627, 303), (365, 282)]";"[0, 0]"
50;0.112465143204;"[(625, 300)]";"[0]"
51;0.111228227615;"[(624, 302), (365, 281)]";"[0, 0]"
52;0.0990099906921;"[(365, 281)]";"[0]"
53;0.0934600830078;"[(625, 299), (364, 279)]";"[0, 0]"
54;0.112287998199;"[(362, 280), (625, 299)]";"[0, 0]"
55;0.0979590415955;"[(624, 299), (363, 281), (833, 445)]";"[0, 0, 0]"
56;0.0898261070251;"[(625, 300)]";"[0]"
57;0.111611843109;"[]";"[]"
58;0.0934460163116;"[(626, 299), (365, 281)]";"[0, 0]"
59;0.114434957504;"[(626, 300), (365, 282)]";"[0, 0]"
60;0.113770961761;"[(626, 300)]";"[0]"
61;0.0968859195709;"[(626, 301)]";"[0]"
62;0.11660695076;"[(365, 284), (626, 301), (835, 447)]";"[0, 0, 0]"
63;0.0975170135498;"[]";"[]"
64;0.0992221832275;"[(631, 299)]";"[0]"
65;0.096519947052;"[(631, 301), (1442, 579)]";"[0, 0]"
66;0.104774951935;"[(631, 301), (371, 282)]";"[0, 0]"
67;0.0962309837341;"[(372, 284), (631, 303)]";"[0, 0]"
68;0.0994951725006;"[(631, 301), (372, 284), (840, 446)]";"[0, 0, 0]"
69;0.0891940593719;"[(631, 301), (371, 284)]";"[0, 0]"
70;0.106583118439;"[(374, 284), (633, 303)]";"[0, 0]"
71;0.096095085144;"[(633, 301), (374, 284)]";"[0, 0]"
72;0.101716995239;"[(633, 301), (374, 284)]";"[0, 0]"
73;0.115661859512;"[(632, 302), (373, 284)]";"[0, 0]"
74;0.115307092667;"[(635, 301)]";"[0]"
75;0.0870521068573;"[]";"[]"
76;0.100764989853;"[(638, 302), (379, 285), (1399, 581)]";"[0, 0, 0]"
77;0.134521961212;"[(382, 284), (640, 302)]";"[0, 0]"
78;0.122938871384;"[(641, 302)]";"[0]"
79;0.113145828247;"[(643, 304), (384, 286)]";"[0, 0]"
80;0.11331987381;"[(643, 304), (385, 288)]";"[0, 0]"
81;0.124951124191;"[(644, 305), (385, 288)]";"[0, 0]"
82;0.116064071655;"[(389, 288), (855, 447)]";"[0, 0]"
83;0.105982065201;"[(648, 306), (389, 290)]";"[0, 0]"
84;0.118067026138;"[(649, 311), (391, 294)]";"[0, 0]"
85;0.0939128398895;"[(392, 297)]";"[0]"
86;0.0895450115204;"[(388, 302)]";"[0]"
87;0.106518983841;"[(642, 319), (382, 302)]";"[0, 0]"
88;0.092227935791;"[(382, 300), (643, 316)]";"[0, 0]"
89;0.116713047028;"[(643, 316)]";"[0]"
90;0.110846996307;"[(387, 300), (645, 317), (853, 462)]";"[0, 0, 0]"
91;0.115883827209;"[(646, 321)]";"[0]"
92;0.0948479175568;"[(646, 322)]";"[0]"
93;0.110518932343;"[(650, 321)]";"[0]"
94;0.104995012283;"[(652, 318), (395, 303), (860, 462)]";"[0, 0, 0]"
95;0.111450910568;"[(396, 302), (653, 319)]";"[0, 0]"
96;0.111940860748;"[(657, 318), (402, 301)]";"[0, 0]"
97;0.114572048187;"[(660, 317), (403, 302)]";"[0, 0]"
98;0.112683057785;"[(661, 321)]";"[0]"
99;0.114733219147;"[(406, 308)]";"[0]"
100;0.120709180832;"[(407, 310)]";"[0]"
101;0.134541034698;"[(407, 311), (870, 467)]";"[0, 0]"
102;0.129020929337;"[(664, 326)]";"[0]"
103;0.100603818893;"[(664, 328), (1316, 596), (407, 313)]";"[0, 0, 0]"
104;0.106433868408;"[(662, 328), (408, 313)]";"[0, 0]"
105;0.0905101299286;"[(663, 329), (408, 313)]";"[0, 0]"
106;0.120577096939;"[(663, 328), (407, 312)]";"[0, 0]"
107;0.100157976151;"[(663, 327)]";"[0]"
