frameno;frametime;red_count;green_count;red_pos;green_pos
0;0.0926058292389;2;0;"[(643.5, 295.5), (385.5, 279.5)]";"[]"
1;0.00628995895386;2;0;"[(123.5, 119.5), (381.5, 136.5)]";"[]"
2;0.00584197044373;1;0;"[(389.5, 137.5)]";"[]"
3;0.00908994674683;2;0;"[(396.5, 136.5), (139.5, 117.5)]";"[]"
4;0.00726580619812;2;0;"[(400.5, 133.5), (142.5, 115.5)]";"[]"
5;0.479137897491;2;0;"[(400.5, 133.5), (142.5, 115.5)]";"[]"
6;0.00985980033875;1;0;"[(138.5, 115.5)]";"[]"
7;0.00679111480713;1;0;"[(394.5, 135.5)]";"[]"
8;0.0102751255035;1;0;"[(394.5, 135.5)]";"[]"
9;0.0122599601746;2;0;"[(395.5, 136.5), (137.5, 117.5)]";"[]"
10;0.00829005241394;2;0;"[(394.5, 133.5), (136.5, 115.5)]";"[]"
11;0.0115580558777;1;0;"[(394.5, 134.5)]";"[]"
12;0.484762907028;1;0;"[(394.5, 134.5)]";"[]"
13;0.00837397575378;1;0;"[(392.5, 134.5)]";"[]"
14;0.00676989555359;1;0;"[(390.5, 131.5)]";"[]"
15;0.0102059841156;1;0;"[(388.5, 132.5)]";"[]"
16;0.0116829872131;1;0;"[(391.5, 128.5)]";"[]"
17;0.0120480060577;2;0;"[(392.5, 127.5), (134.5, 108.5)]";"[]"
18;0.00801682472229;1;0;"[(393.5, 125.5)]";"[]"
19;0.0123109817505;2;0;"[(394.5, 125.5), (133.5, 105.5)]";"[]"
20;0.00839686393738;2;0;"[(394.5, 125.5), (133.5, 104.5)]";"[]"
21;0.0122539997101;1;0;"[(395.5, 122.5)]";"[]"
22;0.00808000564575;1;0;"[(395.5, 121.5)]";"[]"
23;0.486438035965;1;0;"[(395.5, 121.5)]";"[]"
24;0.0103321075439;1;0;"[(393.5, 122.5)]";"[]"
25;0.0130000114441;1;0;"[(395.5, 122.5)]";"[]"
26;0.00648212432861;2;0;"[(137.5, 102.5), (396.5, 122.5)]";"[]"
27;0.00615906715393;1;0;"[(397.5, 120.5)]";"[]"
28;0.00860404968262;1;0;"[(399.5, 119.5)]";"[]"
29;0.0109488964081;1;0;"[(398.5, 118.5)]";"[]"
30;0.0130851268768;2;0;"[(138.5, 99.5), (396.5, 120.5)]";"[]"
31;0.00911903381348;1;0;"[(396.5, 122.5)]";"[]"
32;0.0134510993958;2;0;"[(397.5, 120.5), (137.5, 101.5)]";"[]"
33;0.48721909523;2;0;"[(397.5, 120.5), (137.5, 101.5)]";"[]"
34;0.0097439289093;2;0;"[(401.5, 122.5), (143.5, 104.5)]";"[]"
35;0.0076961517334;1;0;"[(402.5, 125.5)]";"[]"
36;0.0122170448303;1;0;"[(401.5, 125.5)]";"[]"
37;0.00868988037109;1;0;"[(399.5, 128.5)]";"[]"
38;0.0128829479218;1;0;"[(403.5, 129.5)]";"[]"
39;0.0127801895142;2;0;"[(401.5, 131.5), (142.5, 111.5)]";"[]"
40;0.0125839710236;2;0;"[(400.5, 131.5), (141.5, 111.5)]";"[]"
41;0.00865077972412;1;0;"[(398.5, 130.5)]";"[]"
42;0.0069751739502;2;0;"[(137.5, 110.5), (396.5, 130.5)]";"[]"
43;0.010421037674;1;0;"[(394.5, 127.5)]";"[]"
44;0.0127799510956;2;0;"[(391.5, 127.5), (130.5, 106.5)]";"[]"
45;0.00872302055359;2;0;"[(391.5, 123.5), (132.5, 103.5)]";"[]"
46;0.0129098892212;2;0;"[(132.5, 102.5), (390.5, 122.5)]";"[]"
47;0.00877809524536;2;0;"[(390.5, 121.5), (129.5, 101.5)]";"[]"
48;0.0129630565643;2;0;"[(388.5, 119.5), (129.5, 100.5)]";"[]"
49;0.013053894043;2;0;"[(387.5, 121.5), (125.5, 100.5)]";"[]"
50;0.0132179260254;1;0;"[(386.5, 118.5)]";"[]"
51;0.0125069618225;1;0;"[(387.5, 119.5)]";"[]"
52;0.0086030960083;1;0;"[(128.5, 96.5)]";"[]"
53;0.0130150318146;2;0;"[(388.5, 113.5), (127.5, 93.5)]";"[]"
54;0.0130579471588;2;0;"[(126.5, 93.5), (388.5, 112.5)]";"[]"
55;0.00880908966064;1;0;"[(387.5, 110.5)]";"[]"
56;0.0127198696136;1;0;"[(389.5, 110.5)]";"[]"
57;0.479360103607;1;0;"[(389.5, 110.5)]";"[]"
58;0.00951790809631;2;0;"[(391.5, 106.5), (130.5, 88.5)]";"[]"
59;0.0122411251068;2;0;"[(391.5, 106.5), (130.5, 88.5)]";"[]"
60;0.0125901699066;2;0;"[(132.5, 88.5), (392.5, 106.5)]";"[]"
61;0.0119268894196;1;0;"[(394.5, 108.5)]";"[]"
62;0.00822019577026;2;0;"[(135.5, 91.5), (396.5, 108.5)]";"[]"
63;0.491002082825;2;0;"[(135.5, 91.5), (396.5, 108.5)]";"[]"
