frameno;frametime;cir_pos;color
0;0.06272315979;"[(238.5, 338.5), (271.5, 497.5)]";"[0, 0]"
1;0.053966999054;"[(240.5, 335.5)]";"[0]"
2;0.0530729293823;"[(500.5, 488.5)]";"[0]"
3;0.0509829521179;"[(360.5, 395.5)]";"[0]"
4;0.0535650253296;"[(244.5, 328.5), (248.5, 496.5)]";"[0, 0]"
5;0.0504081249237;"[(243.5, 487.5), (246.5, 326.5)]";"[0, 0]"
6;0.0552258491516;"[]";"[]"
7;0.0505621433258;"[]";"[]"
8;0.0540940761566;"[]";"[]"
9;0.0513999462128;"[(368.5, 396.5), (212.5, 499.5)]";"[0, 0]"
10;0.0524728298187;"[(248.5, 328.5), (205.5, 499.5), (485.5, 501.5)]";"[0, 0, 0]"
11;0.050167798996;"[(369.5, 394.5)]";"[0]"
12;0.0536568164825;"[]";"[]"
13;0.0500729084015;"[(245.5, 324.5)]";"[0]"
14;0.053004026413;"[(244.5, 322.5)]";"[0]"
15;0.0506300926208;"[]";"[]"
16;0.0561211109161;"[(243.5, 319.5)]";"[0]"
17;0.0638899803162;"[(481.5, 481.5)]";"[0]"
18;0.0538151264191;"[]";"[]"
19;0.0531849861145;"[(236.5, 312.5), (456.5, 550.5)]";"[0, 0]"
20;0.0522289276123;"[(360.5, 382.5)]";"[0]"
21;0.0511770248413;"[(228.5, 310.5)]";"[0]"
22;0.0526700019836;"[(429.5, 558.5)]";"[0]"
23;0.0500750541687;"[(348.5, 381.5)]";"[0]"
24;0.0519979000092;"[(210.5, 308.5), (404.5, 564.5)]";"[0, 0]"
25;0.0502698421478;"[(390.5, 568.5)]";"[0]"
26;0.0568668842316;"[(196.5, 308.5)]";"[0]"
27;0.0503950119019;"[(322.5, 382.5)]";"[0]"
28;0.0556671619415;"[(316.5, 382.5), (344.5, 580.5)]";"[0, 0]"
29;0.0506341457367;"[(174.5, 306.5)]";"[0]"
30;0.05402302742;"[(302.5, 379.5)]";"[0]"
31;0.0507051944733;"[(159.5, 303.5), (290.5, 592.5)]";"[0, 0]"
32;0.0563271045685;"[(291.5, 377.5), (272.5, 596.5)]";"[0, 0]"
33;0.0514171123505;"[(147.5, 299.5), (253.5, 600.5)]";"[0, 0]"
34;0.054719209671;"[(236.5, 604.5)]";"[0]"
35;0.0500590801239;"[(139.5, 297.5), (280.5, 374.5)]";"[0, 0]"
36;0.0528450012207;"[(278.5, 373.5), (199.5, 617.5)]";"[0, 0]"
37;0.0515549182892;"[(276.5, 374.5), (154.5, 554.5)]";"[0, 0]"
38;0.0532190799713;"[(133.5, 297.5), (162.5, 632.5), (276.5, 374.5)]";"[0, 0, 0]"
39;0.0521259307861;"[(365.5, 482.5), (133.5, 296.5)]";"[0, 0]"
40;0.0544040203094;"[(276.5, 373.5)]";"[0]"
