frameno;frametime;cir_pos;color
0;0.028400182724;"[(616, 309), (782, 386)]";"[1, 1]"
1;0.0162420272827;"[(616, 308)]";"[1]"
2;0.0147321224213;"[(616, 310), (785, 390)]";"[1, 1]"
3;0.0136637687683;"[(787, 390)]";"[1]"
4;0.0138320922852;"[(788, 388), (616, 307)]";"[1, 1]"
5;0.0141999721527;"[(616, 306), (790, 388)]";"[1, 1]"
6;0.01522397995;"[(792, 386), (616, 303)]";"[1, 1]"
7;0.014016866684;"[(793, 385)]";"[1]"
8;0.014829158783;"[(795, 385), (616, 301)]";"[1, 1]"
9;0.0139980316162;"[(616, 300)]";"[1]"
10;0.014044046402;"[(615, 298), (798, 385)]";"[1, 1]"
11;0.0140280723572;"[(614, 298), (800, 384)]";"[1, 1]"
12;0.0146210193634;"[(614, 296)]";"[1]"
13;0.0145931243896;"[(802, 384)]";"[1]"
14;0.0146768093109;"[(612, 296)]";"[1]"
15;0.0147831439972;"[(805, 384)]";"[1]"
16;0.0151901245117;"[(611, 290)]";"[1]"
17;0.0149340629578;"[(611, 285)]";"[1]"
18;0.0149319171906;"[(610, 280), (810, 373)]";"[1, 1]"
19;0.0156598091125;"[(812, 373)]";"[1]"
20;0.016627073288;"[(609, 279), (814, 375)]";"[1, 1]"
21;0.0159530639648;"[(609, 281)]";"[1]"
22;0.0159819126129;"[(608, 279), (817, 376), (173, 388)]";"[1, 1, 1]"
23;0.0167739391327;"[(819, 374)]";"[1]"
24;0.0171630382538;"[(821, 372), (161, 386)]";"[1, 1]"
25;0.0161969661713;"[(605, 269), (823, 370)]";"[1, 1]"
26;0.0159389972687;"[(605, 267), (148, 382), (825, 368)]";"[1, 1, 1]"
27;0.016175031662;"[(604, 264)]";"[1]"
28;0.0164060592651;"[(604, 263), (829, 367), (135, 382)]";"[1, 1, 1]"
29;0.016478061676;"[(603, 261), (831, 366)]";"[1, 1]"
30;0.0165400505066;"[(833, 366), (121, 382)]";"[1, 1]"
31;0.0175240039825;"[(836, 365), (601, 257)]";"[1, 1]"
32;0.0174090862274;"[(600, 253), (106, 379)]";"[1, 1]"
33;0.0174491405487;"[(600, 249), (840, 361)]";"[1, 1]"
34;0.0167810916901;"[(90, 376), (843, 359), (598, 246)]";"[1, 1, 1]"
35;0.016242980957;"[(598, 244)]";"[1]"
36;0.0170969963074;"[(597, 243)]";"[1]"
37;0.0173060894012;"[(596, 242), (65, 378), (850, 359)]";"[1, 1, 1]"
38;0.0170679092407;"[(595, 240), (56, 377)]";"[1, 1]"
39;0.0168800354004;"[(594, 238), (855, 357)]";"[1, 1]"
40;0.01930809021;"[(594, 236)]";"[1]"
41;0.0171070098877;"[(861, 358)]";"[1]"
42;0.0171899795532;"[(864, 358), (592, 234)]";"[1, 1]"
43;0.0171279907227;"[(590, 234), (867, 360)]";"[1, 1]"
44;0.0176200866699;"[(869, 357)]";"[1]"
45;0.0211250782013;"[(874, 357)]";"[1]"
