frameno;frametime;cir_pos;color
0;0.056324005127;"[(661.5, 306.5)]";"[1]"
1;0.0543460845947;"[(816.5, 348.5), (662.5, 296.5)]";"[1, 1]"
2;0.0529081821442;"[(662.5, 287.5), (817.5, 339.5)]";"[1, 1]"
3;0.0596981048584;"[(818.5, 334.5), (663.5, 281.5)]";"[1, 1]"
4;0.076593875885;"[(662.5, 281.5)]";"[1]"
5;0.0861489772797;"[(723.5, 297.5)]";"[1]"
6;0.0884110927582;"[(661.5, 297.5), (458.5, 344.5)]";"[1, 1]"
7;0.0844969749451;"[(661.5, 299.5), (820.5, 353.5)]";"[1, 1]"
8;0.0589530467987;"[(661.5, 297.5), (822.5, 352.5)]";"[1, 1]"
9;0.0508618354797;"[(661.5, 295.5), (822.5, 350.5)]";"[1, 1]"
10;0.0528230667114;"[(661.5, 294.5), (824.5, 350.5)]";"[1, 1]"
11;0.0652179718018;"[(661.5, 294.5), (824.5, 350.5)]";"[1, 1]"
12;0.0529990196228;"[(661.5, 296.5), (826.5, 352.5)]";"[1, 1]"
13;0.0658030509949;"[(661.5, 299.5), (450.5, 346.5), (827.5, 357.5)]";"[1, 1, 1]"
14;0.0627279281616;"[(661.5, 301.5), (827.5, 358.5)]";"[1, 1]"
15;0.0723090171814;"[(447.5, 350.5), (661.5, 303.5), (828.5, 360.5)]";"[1, 1, 1]"
16;0.0572199821472;"[(661.5, 303.5)]";"[1]"
17;0.0676770210266;"[(444.5, 348.5), (696.5, 366.5)]";"[1, 1]"
18;0.0647549629211;"[(728.5, 303.5)]";"[1]"
19;0.0504291057587;"[(833.5, 358.5), (442.5, 345.5), (661.5, 300.5)]";"[1, 1, 1]"
20;0.0653250217438;"[(440.5, 342.5), (729.5, 299.5)]";"[1, 1]"
21;0.0508728027344;"[(662.5, 294.5), (835.5, 353.5), (438.5, 340.5), (239.5, 364.5)]";"[1, 1, 1, 1]"
22;0.0634169578552;"[(720.5, 361.5)]";"[1]"
23;0.0592801570892;"[(435.5, 339.5), (663.5, 293.5), (838.5, 354.5), (231.5, 363.5)]";"[1, 1, 1, 1]"
24;0.0528621673584;"[(838.5, 355.5), (663.5, 293.5), (434.5, 339.5)]";"[1, 1, 1]"
25;0.0592479705811;"[(432.5, 339.5), (663.5, 293.5), (840.5, 354.5)]";"[1, 1, 1]"
26;0.0660908222198;"[(663.5, 293.5), (841.5, 355.5)]";"[1, 1]"
27;0.0745849609375;"[(663.5, 292.5), (429.5, 339.5), (841.5, 355.5)]";"[1, 1, 1]"
28;0.0759780406952;"[(214.5, 360.5), (428.5, 335.5), (664.5, 288.5), (843.5, 351.5)]";"[0, 1, 1, 1]"
29;0.0684912204742;"[(208.5, 358.5), (734.5, 288.5), (426.5, 332.5)]";"[0, 1, 1]"
30;0.0654380321503;"[(663.5, 283.5), (845.5, 347.5), (425.5, 331.5)]";"[1, 1, 1]"
31;0.0501880645752;"[(423.5, 331.5), (846.5, 347.5), (662.5, 283.5)]";"[1, 1, 1]"
32;0.0695328712463;"[(735.5, 290.5), (422.5, 334.5), (5.5, 345.5)]";"[1, 1, 1]"
33;0.0715141296387;"[(734.5, 291.5), (181.5, 359.5)]";"[1, 1]"
34;0.0573070049286;"[(734.5, 292.5), (417.5, 337.5)]";"[1, 1]"
35;0.0689480304718;"[(661.5, 286.5), (415.5, 336.5), (850.5, 353.5)]";"[1, 1, 1]"
36;0.0873398780823;"[(661.5, 283.5), (413.5, 333.5), (851.5, 349.5)]";"[1, 1, 1]"
37;0.0552291870117;"[(735.5, 285.5), (411.5, 330.5)]";"[1, 1]"
38;0.0544149875641;"[(409.5, 329.5), (735.5, 282.5)]";"[1, 1]"
39;0.0492761135101;"[(735.5, 282.5)]";"[1]"
