frameno;frametime;cir_pos;color
0;0.0151488780975;"[(722, 309)]";"[1]"
1;0.0115370750427;"[(715, 354)]";"[1]"
2;0.0111799240112;"[(662, 287)]";"[1]"
3;0.0112369060516;"[(817, 333)]";"[1]"
4;0.0116879940033;"[(722, 284)]";"[1]"
5;0.0118579864502;"[(819, 347), (694, 354)]";"[1, 1]"
6;0.0122401714325;"[(715, 357)]";"[1]"
7;0.0116469860077;"[]";"[]"
8;0.0126419067383;"[]";"[]"
9;0.0122680664062;"[(454, 342), (695, 356)]";"[1, 1]"
10;0.0125651359558;"[]";"[]"
11;0.0120959281921;"[(695, 356)]";"[1]"
12;0.012932062149;"[(695, 359), (450, 344)]";"[1, 1]"
13;0.0127170085907;"[(661, 299), (717, 362)]";"[1, 1]"
14;0.0132699012756;"[(717, 364), (827, 358)]";"[1, 1]"
15;0.0128109455109;"[(660, 303), (446, 350), (827, 359)]";"[1, 1, 1]"
16;0.0134968757629;"[(727, 307)]";"[1]"
17;0.0132508277893;"[(830, 359), (660, 301)]";"[1, 1]"
18;0.0136618614197;"[(442, 346), (718, 366)]";"[1, 1]"
19;0.0133049488068;"[(661, 298), (441, 344)]";"[1, 1]"
20;0.0140368938446;"[(835, 355), (439, 341), (662, 296)]";"[1, 1, 1]"
21;0.0135419368744;"[(662, 294), (438, 340)]";"[1, 1]"
22;0.0140562057495;"[(663, 294), (436, 339)]";"[1, 1]"
23;0.0134909152985;"[(435, 339), (837, 356)]";"[1, 1]"
24;0.0148138999939;"[(838, 356), (663, 294), (434, 340)]";"[1, 1, 1]"
25;0.0136640071869;"[(433, 340)]";"[1]"
26;0.0146260261536;"[(698, 362), (841, 354)]";"[1, 1]"
27;0.014377117157;"[(721, 362), (429, 338)]";"[1, 1]"
28;0.0153968334198;"[(214, 360), (428, 335), (721, 359), (843, 350)]";"[0, 1, 1, 1]"
29;0.0147769451141;"[(208, 358), (426, 331), (844, 350)]";"[0, 1, 1]"
30;0.0151219367981;"[(425, 331)]";"[1]"
31;0.0147120952606;"[(733, 286)]";"[1]"
32;0.016284942627;"[(735, 290), (422, 334)]";"[1, 1]"
33;0.0148379802704;"[(419, 336)]";"[1]"
34;0.0162239074707;"[(734, 292), (847, 354)]";"[1, 1]"
35;0.0157990455627;"[(734, 290)]";"[1]"
36;0.0167589187622;"[(721, 358), (413, 333), (852, 350)]";"[1, 1, 1]"
37;0.0157010555267;"[(721, 356), (410, 330)]";"[1, 1]"
38;0.0165770053864;"[(409, 330), (659, 278), (770, 369), (852, 345)]";"[1, 1, 1, 1]"
39;0.0164120197296;"[(658, 278), (406, 329), (771, 370), (854, 344)]";"[1, 1, 1, 1]"
40;0.0174789428711;"[(659, 279), (404, 329), (855, 345)]";"[1, 1, 1]"
41;0.0165939331055;"[(771, 372), (404, 330)]";"[1, 1]"
42;0.0170681476593;"[(736, 284), (401, 331), (771, 374)]";"[1, 1, 1]"
43;0.0159599781036;"[(659, 279), (400, 331), (859, 348)]";"[1, 1, 1]"
44;0.0164618492126;"[(659, 276), (397, 327)]";"[1, 1]"
45;0.0159711837769;"[(861, 342), (394, 324), (771, 368)]";"[1, 1, 1]"
46;0.0162858963013;"[(392, 322), (737, 273)]";"[1, 1]"
47;0.0159339904785;"[(657, 268), (390, 322), (862, 341)]";"[1, 1, 1]"
48;0.0169188976288;"[(388, 322), (657, 268), (720, 352), (864, 340)]";"[1, 1, 1, 1]"
49;0.0174260139465;"[(384, 323), (656, 269), (864, 343), (696, 353)]";"[1, 1, 1, 1]"
50;0.0170111656189;"[(865, 345), (383, 325), (719, 355)]";"[1, 1, 1]"
51;0.0167400836945;"[(380, 325), (655, 269), (719, 355), (867, 343)]";"[1, 1, 1, 1]"
52;0.0217361450195;"[(378, 325), (868, 345), (654, 269), (737, 274)]";"[1, 1, 1, 1]"
53;0.0183889865875;"[(375, 326), (870, 344), (654, 270), (738, 275)]";"[1, 1, 1, 1]"
54;0.0191600322723;"[(653, 271), (738, 274), (371, 327), (870, 347), (695, 359)]";"[1, 1, 1, 1, 1]"
55;0.0186221599579;"[(737, 278), (370, 330), (695, 362), (653, 272)]";"[1, 1, 1, 1]"
56;0.0193309783936;"[(366, 333), (737, 279), (873, 351), (652, 275), (695, 364)]";"[1, 1, 1, 1, 1]"
