frameno;frametime;colorfiltertime;circledettime;radious;cir_pos;color
0;0.301414012909;0.129884004593;0.0789790153503;"[7.905694, 8.6313381]";"[(449.5, 299.5), (508.5, 576.5)]";"[0, 0]"
1;0.0947079658508;0.040638923645;0.0388178825378;"[8.7464275, 9.5131493, 7.6485291, 7.905694]";"[(450.5, 298.5), (702.5, 315.5), (342.5, 837.5), (973.5, 527.5)]";"[0, 0, 0, 1]"
2;0.0910940170288;0.0384769439697;0.0385460853577;"[8.7464275, 7.905694, 7.905694]";"[(449.5, 299.5), (704.5, 317.5), (973.5, 528.5)]";"[0, 0, 1]"
3;0.0966939926147;0.0409898757935;0.039736032486;"[8.7464275, 8.6313381, 5.7008772, 7.6485291, 8.276473]";"[(704.5, 316.5), (450.5, 299.5), (722.5, 563.5), (890.5, 915.5), (972.5, 527.5)]";"[0, 0, 0, 0, 1]"
4;0.110562086105;0.0488259792328;0.0422310829163;"[8.6313381, 8.5146933, 7.7781744, 5.7008772, 7.905694]";"[(452.5, 298.5), (704.5, 316.5), (1186.5, 543.5), (899.5, 488.5), (973.5, 526.5)]";"[0, 0, 0, 0, 1]"
5;0.112194061279;0.0496079921722;0.0437998771667;"[9.1923885, 8.7464275, 6.5192022]";"[(704.5, 314.5), (451.5, 298.5), (935.5, 522.5)]";"[0, 0, 1]"
6;0.121990919113;0.0539519786835;0.0447089672089;"[8.7464275, 7.905694]";"[(450.5, 296.5), (973.5, 525.5)]";"[0, 1]"
7;0.140882968903;0.0639109611511;0.0497381687164;"[8.8600225, 9.5131493, 7.905694, 5.7008772, 9.1923885]";"[(449.5, 296.5), (703.5, 313.5), (1185.5, 583.5), (1566.5, 863.5), (1768.5, 916.5)]";"[0, 0, 0, 0, 0]"
8;0.129544973373;0.0582778453827;0.0479121208191;"[8.8600225, 7.7781744, 7.7781744, 7.905694]";"[(703.5, 312.5), (449.5, 295.5), (564.5, 582.5), (973.5, 523.5)]";"[0, 0, 0, 1]"
9;0.126740932465;0.0574679374695;0.0464200973511;"[8.8600225, 9.1923885, 8.276473]";"[(451.5, 295.5), (704.5, 310.5), (973.5, 522.5)]";"[0, 0, 1]"
10;0.123115062714;0.054948091507;0.0453500747681;"[8.6313381, 9.1923885, 6.6708322]";"[(452.5, 294.5), (704.5, 310.5), (973.5, 521.5)]";"[0, 0, 1]"
11;0.117056846619;0.0518147945404;0.0446798801422;"[8.6313381, 8.7464275, 7.1063352]";"[(452.5, 294.5), (704.5, 311.5), (974.5, 521.5)]";"[0, 0, 1]"
12;0.112725973129;0.0502569675446;0.0425322055817;"[9.1923885, 8.8600225, 7.3824115]";"[(704.5, 310.5), (451.5, 293.5), (975.5, 521.5)]";"[0, 0, 1]"
13;0.116707086563;0.0520961284637;0.043888092041;"[7.905694, 9.5131493, 9.1923885]";"[(451.5, 293.5), (705.5, 309.5), (974.5, 523.5)]";"[0, 0, 1]"
14;0.113742113113;0.0505261421204;0.0420038700104;"[8.8600225, 9.617692, 7.905694]";"[(452.5, 292.5), (705.5, 309.5), (975.5, 520.5)]";"[0, 0, 1]"
15;0.0896818637848;0.0369310379028;0.0395159721375;"[8.6313381, 8.8600225, 8.8600225, 7.905694]";"[(455.5, 292.5), (706.5, 308.5), (584.5, 565.5), (976.5, 519.5)]";"[0, 0, 0, 1]"
16;0.0970189571381;0.0429389476776;0.038861989975;"[9.1923885, 8.6313381, 7.905694]";"[(706.5, 306.5), (453.5, 291.5), (976.5, 518.5)]";"[0, 0, 1]"
17;0.101849079132;0.0457339286804;0.0380828380585;"[8.7464275, 8.6313381, 8.276473]";"[(706.5, 306.5), (452.5, 290.5), (975.5, 516.5)]";"[0, 0, 1]"
18;0.109540939331;0.0481998920441;0.039379119873;"[8.8600225, 9.5131493, 6.6708322]";"[(451.5, 288.5), (705.5, 304.5), (976.5, 517.5)]";"[0, 0, 1]"
19;0.113547086716;0.0516438484192;0.0407769680023;"[9.617692, 7.6485291, 5.7008772]";"[(705.5, 304.5), (450.5, 288.5), (935.5, 514.5)]";"[0, 0, 1]"
20;0.117304801941;0.053004026413;0.0416429042816;"[9.1923885, 8.8600225, 5.7008772, 7.6485291]";"[(706.5, 304.5), (453.5, 289.5), (603.5, 558.5), (977.5, 517.5)]";"[0, 0, 0, 1]"
21;0.113795042038;0.052059173584;0.0404140949249;"[9.1923885, 8.6313381, 8.5146933]";"[(708.5, 305.5), (454.5, 289.5), (977.5, 517.5)]";"[0, 0, 1]"
22;0.112845897675;0.0515279769897;0.0411109924316;"[8.276473, 5.7008772, 7.905694]";"[(455.5, 288.5), (553.5, 563.5), (978.5, 516.5)]";"[0, 0, 1]"
23;0.118752002716;0.0537109375;0.0425779819489;"[8.5146933, 7.905694, 8.6313381, 7.6485291]";"[(709.5, 306.5), (613.5, 559.5), (456.5, 290.5), (977.5, 517.5)]";"[0, 0, 0, 1]"
24;0.0858159065247;0.0367381572723;0.0349349975586;"[7.5166483, 8.7464275, 9.3005381, 8.6313381]";"[(617.5, 559.5), (456.5, 290.5), (709.5, 305.5), (979.5, 517.5)]";"[0, 0, 0, 1]"
25;0.10555100441;0.0476150512695;0.0393600463867;"[8.6313381, 9.1923885, 7.905694]";"[(456.5, 289.5), (710.5, 304.5), (979.5, 516.5)]";"[0, 0, 1]"
26;0.0849640369415;0.0362889766693;0.0348298549652;"[9.1923885, 8.8600225, 7.905694]";"[(623.5, 560.5), (457.5, 288.5), (980.5, 516.5)]";"[0, 0, 1]"
27;0.116199016571;0.0520098209381;0.0436129570007;"[7.7781744, 9.5131493, 6.6708322, 5.7008772, 8.5146933]";"[(457.5, 289.5), (711.5, 306.5), (627.5, 561.5), (1234.5, 521.5), (981.5, 517.5)]";"[0, 0, 0, 0, 1]"
28;0.089900970459;0.037525177002;0.0376181602478;"[9.1923885, 7.905694, 5.7008772, 6.6708322]";"[(711.5, 305.5), (457.5, 289.5), (631.5, 557.5), (1005.5, 518.5)]";"[0, 0, 0, 1]"
29;0.104242801666;0.0453538894653;0.0404279232025;"[9.3005381, 8.8600225, 8.5146933]";"[(711.5, 305.5), (457.5, 289.5), (980.5, 517.5)]";"[0, 0, 1]"
30;0.112799167633;0.048985004425;0.0420978069305;"[8.6313381, 9.1923885, 6.3639612]";"[(459.5, 289.5), (712.5, 305.5), (583.5, 562.5)]";"[0, 0, 0]"
31;0.112328052521;0.0498869419098;0.0432591438293;"[9.5131493, 8.7464275, 8.276473]";"[(713.5, 304.5), (461.5, 290.5), (982.5, 516.5)]";"[0, 0, 1]"
32;0.116239070892;0.0512499809265;0.0433869361877;"[8.6313381, 9.1923885, 8.5146933]";"[(462.5, 289.5), (714.5, 305.5), (983.5, 517.5)]";"[0, 0, 1]"
33;0.110714912415;0.0497720241547;0.042417049408;"[9.3005381, 7.905694]";"[(461.5, 289.5), (984.5, 517.5)]";"[0, 1]"
34;0.0887360572815;0.0367500782013;0.0372409820557;"[9.3005381, 9.1923885, 5.7008772, 8.5146933]";"[(461.5, 290.5), (714.5, 306.5), (1229.5, 535.5), (984.5, 518.5)]";"[0, 0, 0, 1]"
35;0.0944199562073;0.0418570041656;0.0375709533691;"[7.6485291, 7.905694, 9.3005381, 7.905694]";"[(599.5, 559.5), (459.5, 291.5), (713.5, 307.5), (982.5, 518.5)]";"[0, 0, 0, 1]"
36;0.119423866272;0.053603887558;0.044312953949;"[8.6313381, 8.8600225, 8.6313381]";"[(462.5, 292.5), (713.5, 308.5), (982.5, 519.5)]";"[0, 0, 1]"
37;0.118868112564;0.0531549453735;0.0444569587708;"[7.7781744, 8.8600225, 7.1063352, 8.7464275]";"[(461.5, 292.5), (714.5, 309.5), (609.5, 560.5), (983.5, 521.5)]";"[0, 0, 0, 1]"
38;0.0963749885559;0.0418918132782;0.0380351543427;"[8.8600225, 9.1923885, 7.1063352]";"[(462.5, 294.5), (715.5, 309.5), (985.5, 520.5)]";"[0, 0, 1]"
39;0.108533859253;0.0483939647675;0.0415799617767;"[7.7781744, 9.1923885, 5.7008772, 7.905694]";"[(463.5, 295.5), (715.5, 309.5), (1251.5, 541.5), (984.5, 521.5)]";"[0, 0, 0, 1]"
40;0.12003493309;0.0541260242462;0.0442180633545;"[7.6485291, 9.1923885, 6.3639612, 5.7008772, 6.6708322]";"[(463.5, 293.5), (714.5, 310.5), (1285.5, 549.5), (683.5, 500.5), (983.5, 520.5)]";"[0, 0, 0, 0, 1]"
