frameno;frametime;recarea;cir_pos;color
0;0.110835075378;"2073600";"[(385, 279), (641, 297)]";"[0, 0]"
1;0.0106151103973;"127968";"[(644, 297), (386, 279)]";"[0, 0]"
2;0.00571608543396;"127968";"[(645, 299), (388, 280)]";"[0, 0]"
3;0.0083429813385;"127968";"[(645, 300), (388, 281)]";"[0, 0]"
4;0.0111429691315;"127968";"[(385, 281), (643, 299)]";"[0, 0]"
5;0.10741186142;"1843632";"[]";"[]"
6;0.0117239952087;"127968";"[(385, 282)]";"[0]"
7;0.0084331035614;"127968";"[(642, 302), (382, 284)]";"[0, 0]"
8;0.0127611160278;"127968";"[(642, 302)]";"[0]"
9;0.0125949382782;"127968";"[(642, 303), (384, 284)]";"[0, 0]"
10;0.0130310058594;"127968";"[(642, 301), (383, 283)]";"[0, 0]"
11;0.00796794891357;"127968";"[(641, 302)]";"[0]"
12;0.0123610496521;"127968";"[(380, 283)]";"[0]"
13;0.0129268169403;"127968";"[(379, 284), (640, 303)]";"[0, 0]"
14;0.0125439167023;"127968";"[(638, 301)]";"[0]"
15;0.0128059387207;"127968";"[(380, 282), (637, 303)]";"[0, 0]"
16;0.0151760578156;"127968";"[(638, 299)]";"[0]"
17;0.0118880271912;"127968";"[(380, 280)]";"[0]"
18;0.00906610488892;"127968";"[(638, 298)]";"[0]"
19;0.0114810466766;"127968";"[(639, 298), (378, 279)]";"[0, 0]"
20;0.0114398002625;"127968";"[(639, 299), (378, 278)]";"[0, 0]"
21;0.0116591453552;"127968";"[(640, 297)]";"[0]"
22;0.00833821296692;"127968";"[(640, 297)]";"[0]"
23;0.012265920639;"127968";"[(640, 297)]";"[0]"
24;0.0121819972992;"127968";"[(639, 299)]";"[0]"
25;0.012344121933;"127968";"[(640, 300)]";"[0]"
26;0.00848507881165;"127968";"[(640, 302), (381, 282)]";"[0, 0]"
27;0.0146701335907;"127968";"[(641, 301)]";"[0]"
28;0.0119898319244;"127968";"[(642, 301)]";"[0]"
29;0.00816488265991;"127968";"[(641, 300)]";"[0]"
30;0.0123519897461;"127968";"[(381, 282), (639, 303)]";"[0, 0]"
31;0.0121428966522;"127968";"[(639, 303)]";"[0]"
