frameno;frametime;recarea;cir_pos;color
0;0.15044093132;"2073600";"[(385, 279)]";"[0]"
1;0.0123472213745;"177600";"[(644, 297), (386, 279)]";"[0, 0]"
2;0.0136768817902;"177600";"[(645, 299), (388, 280)]";"[0, 0]"
3;0.017373085022;"177600";"[(645, 300), (388, 281)]";"[0, 0]"
4;0.0182321071625;"177600";"[(385, 281)]";"[0]"
5;0.0111470222473;"177600";"[(386, 280)]";"[0]"
6;0.0175499916077;"177600";"[(644, 300), (385, 282)]";"[0, 0]"
7;0.0188040733337;"177600";"[(641, 301), (382, 284)]";"[0, 0]"
8;0.0142850875854;"177600";"[(642, 302)]";"[0]"
9;0.0129961967468;"177600";"[(642, 303), (384, 284)]";"[0, 0]"
10;0.0104458332062;"177600";"[(383, 283)]";"[0]"
11;0.0121369361877;"177600";"[(384, 282)]";"[0]"
12;0.0186698436737;"177600";"[(639, 301), (380, 283)]";"[0, 0]"
13;0.022852897644;"177600";"[(379, 284), (640, 303)]";"[0, 0]"
14;0.0239000320435;"177600";"[(638, 301), (378, 283)]";"[0, 0]"
15;0.0221319198608;"177600";"[(380, 282), (637, 303)]";"[0, 0]"
16;0.0143578052521;"177600";"[(377, 281)]";"[0]"
17;0.0134289264679;"177600";"[(638, 299), (375, 279)]";"[0, 0]"
18;0.0116839408875;"177600";"[(638, 298), (376, 279)]";"[0, 0]"
19;0.0172760486603;"177600";"[(639, 298), (378, 279)]";"[0, 0]"
20;0.0225999355316;"177600";"[(639, 299), (378, 278)]";"[0, 0]"
21;0.0221540927887;"177600";"[(382, 279)]";"[0]"
22;0.0226988792419;"177600";"[(378, 278)]";"[0]"
23;0.0218598842621;"177600";"[(381, 278)]";"[0]"
24;0.0206828117371;"177600";"[(639, 299)]";"[0]"
25;0.0236158370972;"177600";"[(640, 300), (380, 280)]";"[0, 0]"
26;0.0230729579926;"177600";"[(642, 301), (381, 282)]";"[0, 0]"
27;0.0162029266357;"177600";"[(641, 301), (384, 282)]";"[0, 0]"
28;0.0222890377045;"177600";"[(642, 301), (384, 281)]";"[0, 0]"
29;0.0235531330109;"177600";"[(378, 280)]";"[0]"
30;0.0157330036163;"177600";"[(381, 282), (639, 303)]";"[0, 0]"
31;0.0231170654297;"177600";"[(637, 303), (380, 283)]";"[0, 0]"
32;0.0241930484772;"177600";"[(378, 284)]";"[0]"
33;0.0249509811401;"177600";"[(640, 305), (382, 285)]";"[0, 0]"
34;0.0238840579987;"177600";"[(639, 305)]";"[0]"
35;0.0217218399048;"177600";"[(639, 308), (380, 287)]";"[0, 0]"
36;0.0931100845337;"1234744";"[]";"[]"
37;0.016664981842;"177600";"[(376, 289)]";"[0]"
38;0.0231549739838;"177600";"[(638, 310), (380, 291)]";"[0, 0]"
39;0.0211579799652;"177600";"[(637, 310), (380, 291)]";"[0, 0]"
40;0.0131409168243;"177600";"[(637, 310), (379, 290)]";"[0, 0]"
41;0.0191950798035;"177600";"[(378, 290)]";"[0]"
42;0.021497964859;"177600";"[(633, 309), (376, 289)]";"[0, 0]"
43;0.0189759731293;"177600";"[(372, 289)]";"[0]"
44;0.0190720558167;"177600";"[(369, 286)]";"[0]"
45;0.0185618400574;"177600";"[(372, 284)]";"[0]"
46;0.0206999778748;"177600";"[(630, 304), (372, 283)]";"[0, 0]"
47;0.0226581096649;"177600";"[(630, 302), (368, 282)]";"[0, 0]"
48;0.0181839466095;"177600";"[(367, 283)]";"[0]"
49;0.0161979198456;"177600";"[(627, 303), (365, 282)]";"[0, 0]"
50;0.0171430110931;"177600";"[(366, 281)]";"[0]"
51;0.0139150619507;"177600";"[(624, 302), (365, 281)]";"[0, 0]"
52;0.0186541080475;"177600";"[(365, 281), (625, 300)]";"[0, 0]"
53;0.0230638980865;"177600";"[(625, 299), (364, 279)]";"[0, 0]"
54;0.023323059082;"177600";"[(362, 280)]";"[0]"
55;0.0187721252441;"177600";"[(363, 281)]";"[0]"
56;0.0216891765594;"177600";"[(625, 300), (365, 279)]";"[0, 0]"
57;0.0236859321594;"177600";"[(625, 300), (364, 281)]";"[0, 0]"
58;0.0237238407135;"177600";"[(626, 299), (365, 281)]";"[0, 0]"
59;0.0272099971771;"177600";"[(626, 300), (365, 282)]";"[0, 0]"
60;0.0870900154114;"1246980";"[]";"[]"
61;0.0158090591431;"177600";"[(365, 284)]";"[0]"
62;0.0176019668579;"177600";"[(627, 303), (363, 283)]";"[0, 0]"
63;0.0147459506989;"177600";"[(631, 301), (368, 283)]";"[0, 0]"
64;0.0172798633575;"177600";"[(370, 283)]";"[0]"
65;0.0189430713654;"177600";"[(631, 301), (372, 282)]";"[0, 0]"
66;0.0123000144958;"177600";"[(371, 282), (631, 303)]";"[0, 0]"
67;0.012659072876;"177600";"[(628, 301), (372, 284)]";"[0, 0]"
68;0.0189480781555;"177600";"[(372, 284)]";"[0]"
69;0.0205719470978;"177600";"[(631, 301), (371, 284)]";"[0, 0]"
70;0.0209820270538;"177600";"[(374, 284), (633, 303)]";"[0, 0]"
71;0.0224030017853;"177600";"[(374, 284)]";"[0]"
72;0.0221879482269;"177600";"[(374, 284)]";"[0]"
73;0.0249700546265;"177600";"[(632, 302), (373, 284)]";"[0, 0]"
74;0.02286195755;"177600";"[(376, 284)]";"[0]"
75;0.0143480300903;"177600";"[(635, 301)]";"[0]"
76;0.0130779743195;"177600";"[(638, 302), (379, 285)]";"[0, 0]"
77;0.0205490589142;"177600";"[(382, 284), (638, 300)]";"[0, 0]"
78;0.0193908214569;"177600";"[(384, 284)]";"[0]"
79;0.0179400444031;"177600";"[(643, 304), (384, 286)]";"[0, 0]"
80;0.0128819942474;"177600";"[(385, 288)]";"[0]"
81;0.0178360939026;"177600";"[(644, 305), (385, 288)]";"[0, 0]"
82;0.023316860199;"177600";"[(389, 288)]";"[0]"
83;0.0217230319977;"177600";"[(389, 290)]";"[0]"
84;0.0151278972626;"177600";"[(649, 311), (391, 294)]";"[0, 0]"
85;0.0194659233093;"177600";"[(392, 297)]";"[0]"
86;0.0146670341492;"177600";"[(388, 302), (645, 319)]";"[0, 0]"
87;0.0186748504639;"177600";"[(382, 302)]";"[0]"
88;0.022066116333;"177600";"[(382, 300)]";"[0]"
89;0.0150890350342;"177600";"[(381, 299)]";"[0]"
90;0.0124859809875;"177600";"[(387, 300)]";"[0]"
91;0.0113439559937;"177600";"[(646, 321), (387, 302)]";"[0, 0]"
92;0.0162179470062;"177600";"[(391, 305)]";"[0]"
93;0.0229279994965;"177600";"[(394, 305)]";"[0]"
94;0.0219910144806;"177600";"[(395, 303)]";"[0]"
95;0.0232410430908;"177600";"[(396, 302)]";"[0]"
96;0.016095161438;"177600";"[(657, 318), (402, 301)]";"[0, 0]"
97;0.0117690563202;"177600";"[(660, 319), (403, 302)]";"[0, 0]"
98;0.0180158615112;"177600";"[(661, 321), (401, 305)]";"[0, 0]"
99;0.0182108879089;"177600";"[(406, 308)]";"[0]"
100;0.0193159580231;"177600";"[(407, 310)]";"[0]"
101;0.0245451927185;"177600";"[(407, 311)]";"[0]"
102;0.0158388614655;"177600";"[(664, 326), (408, 312)]";"[0, 0]"
103;0.0188219547272;"177600";"[(664, 328), (407, 313)]";"[0, 0]"
104;0.01646900177;"177600";"[(662, 328), (408, 313)]";"[0, 0]"
105;0.0213398933411;"177600";"[(663, 329), (408, 313)]";"[0, 0]"
106;0.0212178230286;"177600";"[(661, 327), (407, 312)]";"[0, 0]"
107;0.0148320198059;"177600";"[(663, 327), (404, 310)]";"[0, 0]"
108;0.0187311172485;"177600";"[(405, 311)]";"[0]"
109;0.0138192176819;"177600";"[(660, 326), (403, 310)]";"[0, 0]"
110;0.0158090591431;"177600";"[(659, 327)]";"[0]"
111;0.0243699550629;"177600";"[(399, 309)]";"[0]"
112;0.0233118534088;"177600";"[(661, 326), (405, 310)]";"[0, 0]"
113;0.0242929458618;"177600";"[(659, 326), (405, 308)]";"[0, 0]"
114;0.0230388641357;"177600";"[(658, 322), (402, 306)]";"[0, 0]"
115;0.0220501422882;"177600";"[(657, 318), (399, 302)]";"[0, 0]"
116;0.0230560302734;"177600";"[(400, 300)]";"[0]"
117;0.0222780704498;"177600";"[(395, 298)]";"[0]"
118;0.0235369205475;"177600";"[(655, 315), (400, 297)]";"[0, 0]"
119;0.0231640338898;"177600";"[(656, 312), (397, 297)]";"[0, 0]"
120;0.0215721130371;"177600";"[(397, 294)]";"[0]"
121;0.0230569839478;"177600";"[(655, 309), (400, 292)]";"[0, 0]"
122;0.0193598270416;"177600";"[(656, 303)]";"[0]"
123;0.0174179077148;"177600";"[(658, 296), (397, 278)]";"[0, 0]"
124;0.021094083786;"177600";"[(401, 271)]";"[0]"
125;0.0217440128326;"177600";"[(657, 283), (400, 267)]";"[0, 0]"
