frameno;frametime;radious;cir_pos;color
0;0.148540973663;"[6.6708322, 5.7008772]";"[(385.5, 279.5), (641.5, 297.5)]";"[0, 0]"
1;0.0919330120087;"[6.5192022, 6.6708322]";"[(644.5, 297.5), (386.5, 279.5)]";"[0, 0]"
2;0.0913619995117;"[6.3639612, 7.1063352]";"[(645.5, 299.5), (388.5, 280.5)]";"[0, 0]"
3;0.137305021286;"[7.1063352, 6.6708322, 6.5192022]";"[(645.5, 300.5), (388.5, 281.5), (852.5, 443.5)]";"[0, 0, 0]"
4;0.0945560932159;"[5.7008772, 6.6708322]";"[(385.5, 281.5), (643.5, 299.5)]";"[0, 0]"
5;0.118853092194;"[]";"[]";"[]"
6;0.124085903168;"[6.5192022]";"[(385.5, 282.5)]";"[0]"
7;0.121644020081;"[6.5192022, 5.7008772]";"[(642.5, 302.5), (382.5, 284.5)]";"[0, 0]"
8;0.0891749858856;"[6.5192022]";"[(642.5, 302.5)]";"[0]"
9;0.124290943146;"[6.6708322, 6.6708322, 5.7008772]";"[(642.5, 303.5), (384.5, 284.5), (850.5, 447.5)]";"[0, 0, 0]"
10;0.12629199028;"[6.5192022, 5.7008772]";"[(642.5, 301.5), (383.5, 283.5)]";"[0, 0]"
11;0.129904985428;"[6.5192022]";"[(641.5, 302.5)]";"[0]"
12;0.0984551906586;"[5.7008772]";"[(380.5, 283.5)]";"[0]"
13;0.0895431041718;"[5.7008772, 6.6708322]";"[(379.5, 284.5), (640.5, 303.5)]";"[0, 0]"
14;0.108305215836;"[6.5192022]";"[(638.5, 301.5)]";"[0]"
15;0.115135908127;"[7.1063352, 5.7008772]";"[(380.5, 282.5), (637.5, 303.5)]";"[0, 0]"
16;0.123486995697;"[6.041523]";"[(638.5, 299.5)]";"[0]"
17;0.0978899002075;"[7.1063352]";"[(380.5, 280.5)]";"[0]"
18;0.115294933319;"[6.5192022, 5.7008772]";"[(638.5, 298.5), (845.5, 444.5)]";"[0, 0]"
19;0.122149944305;"[7.1063352, 5.7008772]";"[(639.5, 298.5), (378.5, 279.5)]";"[0, 0]"
20;0.110424041748;"[6.041523, 6.6708322, 5.7008772]";"[(639.5, 299.5), (378.5, 278.5), (846.5, 443.5)]";"[0, 0, 0]"
21;0.117484807968;"[6.041523]";"[(640.5, 297.5)]";"[0]"
22;0.0935859680176;"[6.041523, 6.041523]";"[(640.5, 297.5), (849.5, 443.5)]";"[0, 0]"
23;0.106096029282;"[6.041523]";"[(640.5, 297.5)]";"[0]"
24;0.122761011124;"[6.6708322]";"[(639.5, 299.5)]";"[0]"
25;0.117043018341;"[6.9641943]";"[(640.5, 300.5)]";"[0]"
26;0.117681980133;"[6.6708322, 5.7008772]";"[(640.5, 302.5), (381.5, 282.5)]";"[0, 0]"
27;0.110500097275;"[7.3824115]";"[(641.5, 301.5)]";"[0]"
28;0.111700057983;"[6.6708322]";"[(642.5, 301.5)]";"[0]"
29;0.117287158966;"[5.7008772]";"[(641.5, 300.5)]";"[0]"
30;0.129981040955;"[6.6708322, 6.041523]";"[(381.5, 282.5), (639.5, 303.5)]";"[0, 0]"
31;0.130936145782;"[7.3824115]";"[(639.5, 303.5)]";"[0]"
32;0.104546070099;"[6.6708322, 6.6708322]";"[(638.5, 303.5), (378.5, 284.5)]";"[0, 0]"
33;0.103750944138;"[]";"[]";"[]"
34;0.105282783508;"[6.9641943, 5.7008772]";"[(639.5, 305.5), (381.5, 285.5)]";"[0, 0]"
35;0.113676071167;"[6.041523, 5.7008772]";"[(639.5, 307.5), (380.5, 287.5)]";"[0, 0]"
36;0.110531806946;"[6.9641943]";"[(637.5, 307.5)]";"[0]"
37;0.113876104355;"[5.7008772]";"[(635.5, 309.5)]";"[0]"
38;0.123147010803;"[6.5192022, 5.7008772]";"[(638.5, 310.5), (1625.5, 828.5)]";"[0, 0]"
39;0.123044967651;"[6.9641943, 5.7008772]";"[(637.5, 310.5), (845.5, 456.5)]";"[0, 0]"
40;0.0929620265961;"[7.1063352, 6.6708322]";"[(637.5, 310.5), (379.5, 290.5)]";"[0, 0]"
41;0.0905411243439;"[7.3824115]";"[(636.5, 309.5)]";"[0]"
42;0.120784044266;"[5.7008772, 6.6708322, 7.3824115]";"[(842.5, 455.5), (376.5, 289.5), (635.5, 309.5)]";"[0, 0, 0]"
43;0.103924036026;"[5.7008772]";"[(633.5, 307.5)]";"[0]"
44;0.0927188396454;"[6.041523, 6.6708322, 5.7008772]";"[(631.5, 305.5), (369.5, 286.5), (839.5, 453.5)]";"[0, 0, 0]"
45;0.108772039413;"[7.1063352]";"[(630.5, 304.5)]";"[0]"
46;0.130208015442;"[6.6708322, 6.6708322]";"[(372.5, 283.5), (630.5, 304.5)]";"[0, 0]"
47;0.121304988861;"[6.5192022, 6.6708322]";"[(630.5, 302.5), (368.5, 282.5)]";"[0, 0]"
48;0.119565010071;"[6.041523]";"[(629.5, 301.5)]";"[0]"
