frameno;frametime;radious;cir_pos;color
0;0.203366994858;"[6.6708322]";"[(385, 279)]";"[0]"
1;0.103177785873;"[7.3824115, 6.6708322]";"[(644, 297), (386, 279)]";"[0, 0]"
2;0.0930440425873;"[6.3639612, 7.1063352]";"[(645, 299), (388, 280)]";"[0, 0]"
3;0.105436086655;"[7.1063352, 6.6708322]";"[(645, 300), (388, 281)]";"[0, 0]"
4;0.111588001251;"[5.7008772]";"[(385, 281)]";"[0]"
5;0.113866090775;"[]";"[]";"[]"
6;0.113018989563;"[6.5192022, 6.5192022]";"[(644, 300), (385, 282)]";"[0, 0]"
7;0.0995910167694;"[7.7781744, 5.7008772]";"[(641, 301), (382, 284)]";"[0, 0]"
8;0.109386920929;"[7.5166483]";"[(642, 302)]";"[0]"
9;0.111556053162;"[7.6485291, 6.6708322, 5.7008772]";"[(642, 303), (384, 284), (850, 447)]";"[0, 0, 0]"
10;0.0896048545837;"[5.7008772]";"[(383, 283)]";"[0]"
11;0.102530002594;"[]";"[]";"[]"
12;0.122360944748;"[7.6485291, 5.7008772]";"[(639, 301), (380, 283)]";"[0, 0]"
13;0.0920011997223;"[5.7008772, 6.6708322]";"[(379, 284), (640, 303)]";"[0, 0]"
14;0.108682155609;"[7.5166483]";"[(638, 301)]";"[0]"
15;0.115648031235;"[7.1063352, 5.7008772]";"[(380, 282), (637, 303)]";"[0, 0]"
16;0.114485025406;"[]";"[]";"[]"
17;0.120092153549;"[7.7781744, 7.6485291]";"[(638, 299), (375, 279)]";"[0, 0]"
18;0.0993399620056;"[7.5166483, 5.7008772]";"[(638, 298), (845, 444)]";"[0, 0]"
19;0.141239881516;"[7.1063352, 5.7008772]";"[(639, 298), (378, 279)]";"[0, 0]"
20;0.133426189423;"[6.041523, 6.6708322, 5.7008772]";"[(639, 299), (378, 278), (846, 443)]";"[0, 0, 0]"
21;0.123438119888;"[]";"[]";"[]"
22;0.0925669670105;"[]";"[]";"[]"
23;0.0926489830017;"[]";"[]";"[]"
24;0.109251022339;"[7.7781744]";"[(639, 299)]";"[0]"
25;0.119005918503;"[]";"[]";"[]"
26;0.126286029816;"[6.6708322, 5.7008772]";"[(642, 301), (381, 282)]";"[0, 0]"
27;0.124428033829;"[7.3824115]";"[(641, 301)]";"[0]"
28;0.127712965012;"[6.6708322]";"[(642, 301)]";"[0]"
29;0.117318868637;"[]";"[]";"[]"
30;0.119859933853;"[6.6708322, 6.041523]";"[(381, 282), (639, 303)]";"[0, 0]"
31;0.10822892189;"[7.7781744]";"[(637, 303)]";"[0]"
32;0.115920066833;"[6.6708322]";"[(378, 284)]";"[0]"
33;0.120083093643;"[7.6485291]";"[(640, 305)]";"[0]"
34;0.0955200195312;"[7.7781744]";"[(639, 305)]";"[0]"
35;0.0876681804657;"[5.7008772, 5.7008772]";"[(639, 308), (380, 287)]";"[0, 0]"
36;0.101772069931;"[]";"[]";"[]"
37;0.09539103508;"[6.6708322]";"[(376, 289)]";"[0]"
38;0.1169090271;"[7.3824115]";"[(638, 310)]";"[0]"
39;0.12961602211;"[6.9641943, 5.7008772]";"[(637, 310), (845, 456)]";"[0, 0]"
40;0.118731975555;"[7.1063352, 6.6708322]";"[(637, 310), (379, 290)]";"[0, 0]"
41;0.118844032288;"[]";"[]";"[]"
42;0.0983211994171;"[7.905694, 5.7008772, 6.6708322]";"[(633, 309), (842, 455), (376, 289)]";"[0, 0, 0]"
43;0.11345410347;"[]";"[]";"[]"
44;0.126247882843;"[6.6708322, 5.7008772]";"[(369, 286), (839, 453)]";"[0, 0]"
45;0.117905855179;"[]";"[]";"[]"
46;0.0951452255249;"[6.6708322, 6.6708322]";"[(630, 304), (372, 283)]";"[0, 0]"
47;0.0925009250641;"[6.5192022, 6.6708322]";"[(630, 302), (368, 282)]";"[0, 0]"
48;0.116406202316;"[]";"[]";"[]"
49;0.0925281047821;"[6.041523, 5.7008772]";"[(627, 303), (365, 282)]";"[0, 0]"
50;0.112076997757;"[]";"[]";"[]"
51;0.0913209915161;"[6.6708322, 5.7008772]";"[(624, 302), (365, 281)]";"[0, 0]"
52;0.0904848575592;"[5.7008772, 7.5166483]";"[(365, 281), (625, 300)]";"[0, 0]"
53;0.092465877533;"[7.3824115, 5.7008772]";"[(625, 299), (364, 279)]";"[0, 0]"
54;0.0894939899445;"[6.6708322]";"[(362, 280)]";"[0]"
55;0.0899858474731;"[5.7008772]";"[(363, 281)]";"[0]"
56;0.0898041725159;"[6.3639612]";"[(625, 300)]";"[0]"
57;0.0909140110016;"[7.6485291]";"[(625, 300)]";"[0]"
58;0.113220214844;"[7.5166483, 5.7008772]";"[(626, 299), (365, 281)]";"[0, 0]"
59;0.118310928345;"[6.6708322, 5.7008772]";"[(626, 300), (365, 282)]";"[0, 0]"
60;0.117904901505;"[]";"[]";"[]"
61;0.109318971634;"[]";"[]";"[]"
62;0.0936980247498;"[5.7008772, 5.7008772, 5.7008772]";"[(627, 303), (365, 284), (835, 447)]";"[0, 0, 0]"
63;0.116127967834;"[7.905694]";"[(631, 301)]";"[0]"
64;0.117856025696;"[]";"[]";"[]"
65;0.116991043091;"[6.041523]";"[(631, 301)]";"[0]"
66;0.10499382019;"[5.7008772, 6.041523]";"[(371, 282), (631, 303)]";"[0, 0]"
67;0.112272024155;"[8.7464275, 7.1063352]";"[(628, 301), (372, 284)]";"[0, 0]"
68;0.118089914322;"[6.6708322]";"[(372, 284)]";"[0]"
69;0.114941120148;"[7.6485291, 5.7008772]";"[(631, 301), (371, 284)]";"[0, 0]"
70;0.122271060944;"[6.6708322, 6.041523]";"[(374, 284), (633, 303)]";"[0, 0]"
71;0.093416929245;"[6.6708322]";"[(374, 284)]";"[0]"
72;0.108144044876;"[6.6708322]";"[(374, 284)]";"[0]"
73;0.118531942368;"[6.5192022, 5.7008772]";"[(632, 302), (373, 284)]";"[0, 0]"
74;0.116926908493;"[]";"[]";"[]"
75;0.121433973312;"[7.7781744, 7.905694]";"[(635, 301), (1698, 655)]";"[0, 0]"
76;0.115283966064;"[6.5192022, 5.7008772]";"[(638, 302), (379, 285)]";"[0, 0]"
77;0.108977079391;"[6.6708322, 7.905694]";"[(382, 284), (639, 301)]";"[0, 0]"
78;0.119018793106;"[5.7008772]";"[(642, 303)]";"[0]"
79;0.12589097023;"[6.041523, 5.7008772]";"[(643, 304), (384, 286)]";"[0, 0]"
80;0.123286008835;"[6.6708322]";"[(385, 288)]";"[0]"
81;0.118145942688;"[6.5192022, 5.7008772]";"[(644, 305), (385, 288)]";"[0, 0]"
82;0.0970168113708;"[6.5192022]";"[(389, 288)]";"[0]"
83;0.113689184189;"[5.7008772]";"[(389, 290)]";"[0]"
84;0.113379955292;"[6.041523, 5.7008772]";"[(649, 311), (391, 294)]";"[0, 0]"
85;0.119328975677;"[6.6708322]";"[(392, 297)]";"[0]"
86;0.119346141815;"[6.9641943]";"[(388, 302)]";"[0]"
87;0.116626024246;"[6.6708322]";"[(382, 302)]";"[0]"
88;0.113502979279;"[6.6708322]";"[(382, 300)]";"[0]"
89;0.0879189968109;"[]";"[]";"[]"
90;0.120498895645;"[6.6708322, 6.6708322, 5.7008772]";"[(387, 300), (645, 317), (853, 462)]";"[0, 0, 0]"
91;0.0975239276886;"[7.5166483]";"[(646, 321)]";"[0]"
92;0.108011007309;"[]";"[]";"[]"
93;0.114706039429;"[7.3824115]";"[(650, 321)]";"[0]"
94;0.123601913452;"[5.7008772, 5.7008772]";"[(395, 303), (860, 462)]";"[0, 0]"
95;0.120623111725;"[6.6708322]";"[(396, 302)]";"[0]"
96;0.0941450595856;"[7.5166483, 6.6708322]";"[(657, 318), (402, 301)]";"[0, 0]"
97;0.131090164185;"[5.7008772, 5.7008772]";"[(660, 319), (403, 302)]";"[0, 0]"
98;0.0906820297241;"[6.041523]";"[(661, 321)]";"[0]"
99;0.0879290103912;"[6.5192022]";"[(406, 308)]";"[0]"
100;0.100859165192;"[5.7008772]";"[(407, 310)]";"[0]"
101;0.0921361446381;"[5.7008772, 6.6708322, 5.7008772]";"[(407, 311), (870, 467), (663, 327)]";"[0, 0, 0]"
102;0.0915060043335;"[6.5192022]";"[(664, 326)]";"[0]"
103;0.120040893555;"[6.6708322, 5.7008772]";"[(664, 328), (407, 313)]";"[0, 0]"
104;0.122589111328;"[6.6708322, 6.6708322]";"[(662, 328), (408, 313)]";"[0, 0]"
105;0.0913870334625;"[6.041523, 6.6708322]";"[(663, 329), (408, 313)]";"[0, 0]"
106;0.0920279026031;"[7.905694, 5.7008772, 7.6485291]";"[(661, 327), (407, 312), (1299, 606)]";"[0, 0, 0]"
107;0.107487201691;"[6.041523]";"[(663, 327)]";"[0]"
108;0.119843006134;"[5.7008772]";"[(405, 311)]";"[0]"
109;0.121608972549;"[6.5192022, 5.7008772]";"[(660, 326), (403, 310)]";"[0, 0]"
110;0.118013858795;"[6.041523]";"[(659, 327)]";"[0]"
111;0.115866184235;"[7.6485291]";"[(399, 309)]";"[0]"
112;0.107756137848;"[5.7008772]";"[(661, 326)]";"[0]"
113;0.117540121078;"[6.6708322]";"[(659, 326)]";"[0]"
114;0.120650053024;"[6.6708322, 5.7008772]";"[(658, 322), (402, 306)]";"[0, 0]"
115;0.113068819046;"[7.1063352, 5.7008772]";"[(657, 318), (399, 302)]";"[0, 0]"
116;0.125803947449;"[6.6708322]";"[(400, 300)]";"[0]"
117;0.105412006378;"[]";"[]";"[]"
118;0.127551078796;"[6.041523]";"[(655, 315)]";"[0]"
119;0.0888378620148;"[6.6708322]";"[(656, 312)]";"[0]"
120;0.0900168418884;"[5.7008772]";"[(397, 294)]";"[0]"
121;0.113061904907;"[5.7008772]";"[(655, 309)]";"[0]"
122;0.122890949249;"[6.6708322]";"[(656, 303)]";"[0]"
123;0.123111963272;"[7.7781744, 7.7781744]";"[(658, 296), (397, 278)]";"[0, 0]"
124;0.1170129776;"[]";"[]";"[]"
125;0.121364116669;"[6.6708322, 6.6708322]";"[(657, 283), (400, 267)]";"[0, 0]"
126;0.0954501628876;"[5.7008772, 6.5192022]";"[(399, 265), (657, 282)]";"[0, 0]"
127;0.105595111847;"[]";"[]";"[]"
128;0.08735704422;"[6.041523]";"[(659, 281)]";"[0]"
129;0.0883140563965;"[]";"[]";"[]"
130;0.111873149872;"[6.6708322]";"[(406, 263)]";"[0]"
131;0.123160839081;"[7.7781744]";"[(661, 277)]";"[0]"
132;0.0934638977051;"[7.905694]";"[(661, 275)]";"[0]"
133;0.117543935776;"[6.5192022, 6.6708322]";"[(662, 272), (406, 257)]";"[0, 0]"
134;0.119997024536;"[6.6708322]";"[(408, 247)]";"[0]"
135;0.110105991364;"[]";"[]";"[]"
136;0.118677139282;"[6.6708322]";"[(408, 238)]";"[0]"
137;0.115737915039;"[6.041523]";"[(665, 251)]";"[0]"
138;0.115587949753;"[6.5192022]";"[(406, 232)]";"[0]"
139;0.117887020111;"[6.6708322, 6.6708322]";"[(406, 229), (664, 244)]";"[0, 0]"
140;0.103043079376;"[]";"[]";"[]"
141;0.115758180618;"[6.6708322]";"[(406, 223)]";"[0]"
142;0.0977399349213;"[6.041523, 5.7008772]";"[(665, 237), (405, 221)]";"[0, 0]"
143;0.112514019012;"[6.6708322, 7.7781744]";"[(406, 219), (663, 233)]";"[0, 0]"
144;0.121026992798;"[6.6708322, 7.7781744]";"[(406, 217), (662, 231)]";"[0, 0]"
145;0.123560190201;"[6.5192022]";"[(406, 216)]";"[0]"
146;0.0987441539764;"[6.6708322]";"[(408, 213)]";"[0]"
147;0.0905690193176;"[6.6708322]";"[(408, 211)]";"[0]"
148;0.0962080955505;"[5.7008772]";"[(407, 209)]";"[0]"
149;0.106834888458;"[6.6708322, 5.7008772]";"[(668, 220), (408, 205)]";"[0, 0]"
150;0.0904870033264;"[6.6708322, 6.6708322]";"[(410, 203), (667, 218)]";"[0, 0]"
151;0.11434006691;"[6.041523]";"[(671, 213)]";"[0]"
152;0.117823123932;"[7.7781744, 6.6708322]";"[(677, 207), (418, 193)]";"[0, 0]"
153;0.108987808228;"[]";"[]";"[]"
154;0.114982843399;"[7.7781744, 5.7008772]";"[(681, 198), (421, 184)]";"[0, 0]"
155;0.11418390274;"[6.6708322]";"[(420, 180)]";"[0]"
156;0.119832038879;"[6.6708322, 5.7008772]";"[(422, 178), (680, 193)]";"[0, 0]"
157;0.0906391143799;"[7.1063352]";"[(422, 174)]";"[0]"
158;0.0974340438843;"[6.041523, 5.7008772]";"[(679, 185), (419, 170)]";"[0, 0]"
159;0.117125034332;"[5.7008772]";"[(419, 167)]";"[0]"
160;0.117796897888;"[6.6708322]";"[(680, 178)]";"[0]"
161;0.120981931686;"[6.6708322, 6.6708322]";"[(678, 175), (420, 162)]";"[0, 0]"
162;0.129340171814;"[]";"[]";"[]"
163;0.0886471271515;"[5.7008772]";"[(677, 171)]";"[0]"
164;0.12575507164;"[6.6708322]";"[(674, 167)]";"[0]"
165;0.115469932556;"[6.6708322]";"[(414, 149)]";"[0]"
166;0.120542049408;"[7.6485291, 5.7008772]";"[(414, 146), (885, 305)]";"[0, 0]"
167;0.114784955978;"[]";"[]";"[]"
168;0.0963439941406;"[6.6708322]";"[(406, 137)]";"[0]"
169;0.123481035233;"[6.6708322, 5.7008772, 6.041523]";"[(408, 132), (884, 294), (617, 681)]";"[0, 0, 0]"
170;0.0949738025665;"[7.6485291, 6.6708322]";"[(669, 143), (406, 129)]";"[0, 0]"
171;0.110996961594;"[6.9641943]";"[(410, 127)]";"[0]"
172;0.0944299697876;"[7.6485291, 6.9641943]";"[(669, 138), (409, 125)]";"[0, 0]"
173;0.103235960007;"[7.6485291]";"[(409, 123)]";"[0]"
174;0.106836080551;"[]";"[]";"[]"
175;0.139727115631;"[6.9641943]";"[(404, 116)]";"[0]"
176;0.102490901947;"[7.7781744, 6.6708322]";"[(668, 127), (406, 114)]";"[0, 0]"
177;0.122608184814;"[6.6708322, 5.7008772]";"[(666, 126), (404, 109)]";"[0, 0]"
178;0.122375011444;"[7.6485291]";"[(405, 109)]";"[0]"
179;0.124044895172;"[6.6708322, 6.5192022]";"[(402, 105), (666, 118)]";"[0, 0]"
180;0.120015859604;"[5.7008772]";"[(664, 117)]";"[0]"
181;0.123967170715;"[6.6708322]";"[(402, 97)]";"[0]"
182;0.093080997467;"[6.3639612]";"[(664, 108)]";"[0]"
183;0.103981018066;"[6.041523]";"[(665, 103)]";"[0]"
184;0.114774942398;"[7.7781744, 7.5166483]";"[(663, 97), (401, 83)]";"[0, 0]"
185;0.132213115692;"[8.276473]";"[(665, 93)]";"[0]"
186;0.0948431491852;"[6.5192022, 5.7008772]";"[(663, 88), (397, 72)]";"[0, 0]"
187;0.137529850006;"[6.6708322, 5.7008772]";"[(399, 67), (880, 231)]";"[0, 0]"
188;0.117380857468;"[7.7781744]";"[(663, 77)]";"[0]"
189;0.094966173172;"[7.905694]";"[(400, 57)]";"[0]"
190;0.110821962357;"[6.9641943, 6.6708322]";"[(400, 53), (664, 69)]";"[0, 0]"
191;0.1104991436;"[6.6708322]";"[(400, 50)]";"[0]"
192;0.121534109116;"[7.1063352, 7.5166483]";"[(402, 47), (668, 62)]";"[0, 0]"
193;0.111687898636;"[8.276473]";"[(671, 59)]";"[0]"
194;0.119117975235;"[6.6708322]";"[(404, 40)]";"[0]"
195;0.101305961609;"[7.5166483, 7.3824115]";"[(671, 53), (407, 37)]";"[0, 0]"
196;0.112219810486;"[5.7008772]";"[(673, 53)]";"[0]"
197;0.115599870682;"[]";"[]";"[]"
198;0.119658946991;"[6.9641943]";"[(408, 32)]";"[0]"
199;0.0960490703583;"[5.7008772]";"[(411, 31)]";"[0]"
200;0.0922820568085;"[6.041523, 6.6708322]";"[(679, 47), (414, 30)]";"[0, 0]"
201;0.110153913498;"[7.905694, 7.905694]";"[(681, 43), (415, 28)]";"[0, 0]"
202;0.117951869965;"[6.6708322]";"[(415, 24)]";"[0]"
203;0.116240024567;"[6.5192022, 6.6708322]";"[(682, 38), (414, 22)]";"[0, 0]"
204;0.123198986053;"[6.6708322]";"[(418, 20)]";"[0]"
205;0.115368127823;"[7.7781744, 7.1063352]";"[(686, 33), (420, 18)]";"[0, 0]"
206;0.0876879692078;"[]";"[]";"[]"
207;0.113446235657;"[6.041523, 6.9641943]";"[(685, 29), (416, 12)]";"[0, 0]"
208;0.0896968841553;"[6.041523]";"[(683, 27)]";"[0]"
209;0.118039131165;"[6.041523, 6.6708322]";"[(681, 25), (414, 8)]";"[0, 0]"
210;0.11514878273;"[6.041523]";"[(679, 23)]";"[0]"
211;0.108847141266;"[]";"[]";"[]"
212;0.115191936493;"[6.3639612]";"[(677, 20)]";"[0]"
213;0.109463214874;"[8.276473]";"[(677, 18)]";"[0]"
214;0.117101192474;"[7.1063352]";"[(677, 18)]";"[0]"
215;0.095184803009;"[7.905694]";"[(679, 17)]";"[0]"
216;0.111258983612;"[6.6708322]";"[(678, 16)]";"[0]"
217;0.115468025208;"[]";"[]";"[]"
218;0.116612911224;"[]";"[]";"[]"
219;0.0906219482422;"[]";"[]";"[]"
220;0.0924599170685;"[]";"[]";"[]"
221;0.113642930984;"[]";"[]";"[]"
222;0.113196134567;"[6.9641943]";"[(680, 12)]";"[0]"
