frameno;frametime;recpoint;cir_pos;color
0;0.0956449508667;"[]";"[(385, 279)]";"[0]"
1;0.0111558437347;"[47, 160, 797, 400]";"[(386, 279)]";"[0]"
2;0.00900316238403;"[39, 162, 789, 402]";"[(645, 299)]";"[0]"
3;0.0165410041809;"[31, 164, 781, 404]";"[(645, 300), (388, 281)]";"[0, 0]"
4;0.0215759277344;"[24, 166, 774, 406]";"[(643, 299), (385, 281)]";"[0, 0]"
5;0.0978751182556;"[27, 166, 777, 406]";"[(643, 299), (385, 281)]";"[0, 0]"
6;0.0173270702362;"[29, 167, 779, 407]";"[(385, 282)]";"[0]"
7;0.0182259082794;"[30, 167, 780, 407]";"[(642, 302)]";"[0]"
8;0.0126941204071;"[29, 167, 779, 407]";"[(642, 302)]";"[0]"
9;0.013151884079;"[28, 167, 778, 407]";"[(642, 303), (384, 284)]";"[0, 0]"
10;0.0193371772766;"[28, 168, 778, 408]";"[(383, 283)]";"[0]"
11;0.0121490955353;"[29, 168, 779, 408]";"[(641, 302)]";"[0]"
12;0.0683681964874;"[29, 169, 779, 409]";"[(641, 302)]";"[0]"
13;0.00959587097168;"[29, 169, 779, 409]";"[(640, 303)]";"[0]"
14;0.0150198936462;"[29, 170, 779, 410]";"[(638, 301)]";"[0]"
15;0.0163810253143;"[30, 170, 780, 410]";"[(636, 302)]";"[0]"
16;0.0947060585022;"[29, 171, 779, 411]";"[(636, 302)]";"[0]"
17;0.0183939933777;"[28, 172, 778, 412]";"[(638, 299), (380, 280)]";"[0, 0]"
18;0.0118460655212;"[26, 173, 776, 413]";"[(638, 298)]";"[0]"
19;0.0142059326172;"[26, 174, 776, 414]";"[(639, 299), (378, 279)]";"[0, 0]"
20;0.0128259658813;"[26, 174, 776, 414]";"[(639, 299), (378, 278)]";"[0, 0]"
21;0.0706379413605;"[27, 175, 777, 415]";"[(639, 299), (378, 278)]";"[0, 0]"
22;0.0937068462372;"[27, 176, 777, 416]";"[(639, 299), (378, 278)]";"[0, 0]"
23;0.0670821666718;"[27, 177, 777, 417]";"[(639, 299), (378, 278)]";"[0, 0]"
24;0.0754671096802;"[27, 177, 777, 417]";"[(639, 299), (378, 278)]";"[0, 0]"
25;0.0890519618988;"[27, 178, 777, 418]";"[(639, 299), (378, 278)]";"[0, 0]"
26;0.0181300640106;"[26, 180, 776, 420]";"[(381, 282), (640, 302)]";"[0, 0]"
27;0.0209081172943;"[25, 181, 775, 421]";"[(641, 301)]";"[0]"
28;0.0149648189545;"[24, 182, 774, 422]";"[(642, 301)]";"[0]"
29;0.102001905441;"[24, 182, 774, 422]";"[(642, 301)]";"[0]"
30;0.0118999481201;"[24, 183, 774, 423]";"[(381, 282), (639, 303)]";"[0, 0]"
31;0.00953912734985;"[23, 183, 773, 423]";"[(638, 305)]";"[0]"
32;0.0123810768127;"[21, 183, 771, 423]";"[(378, 284)]";"[0]"
33;0.0840981006622;"[20, 183, 770, 423]";"[(378, 284)]";"[0]"
34;0.0180010795593;"[19, 183, 769, 423]";"[(381, 287)]";"[0]"
35;0.0149140357971;"[17, 182, 767, 422]";"[(639, 307)]";"[0]"
36;0.0816299915314;"[16, 182, 766, 422]";"[(639, 307)]";"[0]"
37;0.0740058422089;"[16, 181, 766, 421]";"[(639, 307)]";"[0]"
38;0.0873029232025;"[16, 180, 766, 420]";"[(639, 307)]";"[0]"
39;0.0118200778961;"[16, 179, 766, 419]";"[(637, 310), (378, 290)]";"[0, 0]"
40;0.0116391181946;"[17, 179, 767, 419]";"[(637, 310), (378, 290)]";"[0, 0]"
41;0.0904521942139;"[18, 179, 768, 419]";"[(637, 310), (378, 290)]";"[0, 0]"
42;0.0237970352173;"[19, 179, 769, 419]";"[(376, 289), (635, 309)]";"[0, 0]"
43;0.0702521800995;"[19, 180, 769, 420]";"[(376, 289), (635, 309)]";"[0, 0]"
44;0.0115969181061;"[19, 180, 769, 420]";"[(630, 307), (369, 286)]";"[0, 0]"
45;0.0112760066986;"[19, 181, 769, 421]";"[(371, 284)]";"[0]"
46;0.0169720649719;"[20, 181, 770, 421]";"[(372, 283), (630, 303)]";"[0, 0]"
47;0.0229198932648;"[21, 181, 771, 421]";"[(630, 302), (369, 282)]";"[0, 0]"
48;0.0148930549622;"[22, 182, 772, 422]";"[(370, 282)]";"[0]"
49;0.0183601379395;"[21, 182, 771, 422]";"[(627, 303), (365, 282)]";"[0, 0]"
50;0.0182468891144;"[19, 183, 769, 423]";"[(624, 301)]";"[0]"
51;0.0129878520966;"[17, 183, 767, 423]";"[(624, 302)]";"[0]"
52;0.0103371143341;"[17, 185, 767, 425]";"[(365, 281)]";"[0]"
53;0.0195181369781;"[17, 186, 767, 426]";"[(625, 299), (364, 279)]";"[0, 0]"
54;0.0230798721313;"[17, 187, 767, 427]";"[(363, 280), (625, 299)]";"[0, 0]"
55;0.0183780193329;"[17, 189, 767, 429]";"[(624, 299)]";"[0]"
56;0.0126729011536;"[16, 190, 766, 430]";"[(625, 300)]";"[0]"
57;0.108100891113;"[16, 192, 766, 432]";"[(625, 300)]";"[0]"
58;0.0230638980865;"[15, 193, 765, 433]";"[(626, 299), (365, 281)]";"[0, 0]"
59;0.0230350494385;"[15, 194, 765, 434]";"[(626, 300), (365, 282)]";"[0, 0]"
60;0.0223610401154;"[14, 194, 764, 434]";"[(366, 282)]";"[0]"
61;0.0855710506439;"[12, 193, 762, 433]";"[(366, 282)]";"[0]"
62;0.0161437988281;"[10, 193, 760, 433]";"[(365, 284)]";"[0]"
63;0.0898790359497;"[8, 192, 758, 432]";"[(365, 284)]";"[0]"
64;0.0507249832153;"[7, 190, 757, 430]";"[(839, 445)]";"[0]"
65;0.0304279327393;"[319, 314, 799, 554]";"[(631, 301), (372, 282)]";"[0, 0]"
66;0.036169052124;"[82, 28, 581, 287]";"[(631, 301), (372, 283)]";"[0, 0]"
67;0.0155920982361;"[251, 163, 750, 421]";"[(372, 284)]";"[0]"
68;0.0132110118866;"[250, 163, 749, 421]";"[(372, 284)]";"[0]"
69;0.0188310146332;"[249, 162, 748, 420]";"[(372, 284)]";"[0]"
70;0.0103681087494;"[249, 162, 748, 420]";"[(633, 303), (374, 284)]";"[0, 0]"
71;0.00908303260803;"[248, 162, 747, 420]";"[(374, 284)]";"[0]"
72;0.00918292999268;"[248, 161, 747, 419]";"[(374, 284)]";"[0]"
