frameno;frametime;recpoint;cir_pos;color
0;0.118916034698;"2073600";"[(643, 295), (385, 279)]";"[0, 0]"
1;0.00790190696716;"127488";"[(386, 279), (644, 296)]";"[0, 0]"
2;0.00630402565002;"127488";"[(645, 299)]";"[0]"
3;0.006098985672;"127488";"[(645, 300), (388, 281)]";"[0, 0]"
4;0.00614905357361;"127488";"[(643, 299), (385, 281)]";"[0, 0]"
5;0.502818822861;"12769940";"[(643, 299), (385, 281)]";"[0, 0]"
6;0.0103390216827;"127488";"[(385, 282)]";"[0]"
7;0.0107400417328;"127488";"[(642, 302)]";"[0]"
8;0.0118269920349;"127488";"[(642, 302)]";"[0]"
9;0.0112590789795;"127488";"[(642, 303), (384, 284)]";"[0, 0]"
10;0.0111558437347;"127488";"[(641, 301), (383, 283)]";"[0, 0]"
11;0.0103330612183;"127488";"[(641, 302)]";"[0]"
12;0.471661090851;"12790408";"[(641, 302)]";"[0]"
13;0.00828313827515;"127488";"[(640, 303)]";"[0]"
14;0.0105881690979;"127488";"[(638, 301)]";"[0]"
15;0.0119118690491;"127488";"[(636, 302)]";"[0]"
16;0.0118961334229;"127488";"[(638, 299)]";"[0]"
17;0.012855052948;"127488";"[(638, 299), (380, 280)]";"[0, 0]"
18;0.00850701332092;"127488";"[(638, 298)]";"[0]"
19;0.00711798667908;"127488";"[(639, 299), (378, 279)]";"[0, 0]"
20;0.00682210922241;"127488";"[(639, 299), (378, 278)]";"[0, 0]"
21;0.00735020637512;"127488";"[(640, 297)]";"[0]"
22;0.00688600540161;"127488";"[(640, 297)]";"[0]"
23;0.495950937271;"12800482";"[(640, 297)]";"[0]"
24;0.00737619400024;"127488";"[(639, 299)]";"[0]"
25;0.0110409259796;"127488";"[(640, 300)]";"[0]"
26;0.00697994232178;"127488";"[(381, 282), (640, 302)]";"[0, 0]"
27;0.00603795051575;"127488";"[(641, 301)]";"[0]"
28;0.00756907463074;"127488";"[(642, 301)]";"[0]"
29;0.00771498680115;"127488";"[(641, 300)]";"[0]"
30;0.00726294517517;"127488";"[(381, 282), (639, 303)]";"[0, 0]"
31;0.00758004188538;"127488";"[(638, 305)]";"[0]"
32;0.0109241008759;"127488";"[(638, 303), (378, 284)]";"[0, 0]"
33;0.503140926361;"12763904";"[(638, 303), (378, 284)]";"[0, 0]"
34;0.00930905342102;"127488";"[(639, 305), (381, 287)]";"[0, 0]"
35;0.0121250152588;"127488";"[(639, 307)]";"[0]"
36;0.0127568244934;"127488";"[(637, 307)]";"[0]"
37;0.0117681026459;"127488";"[(635, 309)]";"[0]"
38;0.0127139091492;"127488";"[(639, 309)]";"[0]"
39;0.0115540027618;"127488";"[(637, 310), (378, 290)]";"[0, 0]"
40;0.0124669075012;"127488";"[(637, 310), (378, 290)]";"[0, 0]"
41;0.00882411003113;"127488";"[(636, 309)]";"[0]"
42;0.0125842094421;"127488";"[(376, 289), (635, 309)]";"[0, 0]"
43;0.0127940177917;"127488";"[(633, 307)]";"[0]"
44;0.00880813598633;"127488";"[(630, 307), (369, 286)]";"[0, 0]"
45;0.0127799510956;"127488";"[(630, 304), (371, 284)]";"[0, 0]"
46;0.012964963913;"127488";"[(372, 283), (630, 303)]";"[0, 0]"
47;0.0088369846344;"127488";"[(630, 302), (369, 282)]";"[0, 0]"
48;0.0127010345459;"127488";"[(629, 301), (370, 282)]";"[0, 0]"
49;0.00872087478638;"127488";"[(627, 303), (365, 282)]";"[0, 0]"
50;0.0123889446259;"127488";"[(624, 301)]";"[0]"
51;0.0128989219666;"127488";"[(624, 302)]";"[0]"
52;0.0128021240234;"127488";"[(365, 281)]";"[0]"
53;0.0129909515381;"127488";"[(625, 299), (364, 279)]";"[0, 0]"
54;0.0123860836029;"127488";"[(363, 280), (625, 299)]";"[0, 0]"
55;0.0111231803894;"127488";"[(624, 299)]";"[0]"
56;0.0122327804565;"127488";"[(625, 300)]";"[0]"
57;0.501260995865;"12761792";"[(625, 300)]";"[0]"
58;0.00927710533142;"127488";"[(626, 299), (365, 281)]";"[0, 0]"
59;0.0126180648804;"127488";"[(626, 300), (365, 282)]";"[0, 0]"
60;0.0126941204071;"127488";"[(366, 282), (626, 300)]";"[0, 0]"
61;0.0115511417389;"127488";"[(626, 301)]";"[0]"
62;0.0128471851349;"127488";"[(365, 284), (626, 301)]";"[0, 0]"
63;0.473495006561;"12712260";"[(365, 284), (626, 301)]";"[0, 0]"
64;0.00963401794434;"127488";"[(631, 299)]";"[0]"
65;0.0118069648743;"127488";"[(631, 301), (372, 282)]";"[0, 0]"
66;0.0119600296021;"127488";"[(631, 301), (372, 283)]";"[0, 0]"
67;0.0118818283081;"127488";"[(372, 284)]";"[0]"
68;0.0120668411255;"127488";"[(631, 301), (372, 284)]";"[0, 0]"
69;0.0129408836365;"127488";"[(631, 301), (372, 284)]";"[0, 0]"
70;0.0129690170288;"127488";"[(633, 303), (374, 284)]";"[0, 0]"
71;0.00880885124207;"127488";"[(633, 301), (374, 284)]";"[0, 0]"
72;0.0126130580902;"127488";"[(633, 301), (374, 284)]";"[0, 0]"
73;0.0129520893097;"127488";"[(632, 301), (373, 284)]";"[0, 0]"
74;0.0125799179077;"127488";"[(635, 301)]";"[0]"
75;0.512010812759;"12623544";"[(635, 301)]";"[0]"
76;0.00905799865723;"127488";"[(638, 301)]";"[0]"
77;0.00724601745605;"127488";"[(382, 284), (641, 301)]";"[0, 0]"
78;0.00626301765442;"127488";"[(641, 302)]";"[0]"
79;0.0125410556793;"127488";"[(643, 304), (382, 286)]";"[0, 0]"
80;0.00752902030945;"127488";"[(643, 304), (385, 288)]";"[0, 0]"
81;0.010330915451;"127488";"[(644, 305), (385, 288)]";"[0, 0]"
82;0.0108890533447;"127488";"[(389, 288)]";"[0]"
83;0.0106580257416;"127488";"[(648, 306), (389, 290)]";"[0, 0]"
84;0.00640797615051;"127488";"[(649, 311), (391, 294)]";"[0, 0]"
85;0.00621104240417;"127488";"[(650, 313)]";"[0]"
86;0.00689816474915;"127488";"[(645, 317), (388, 302)]";"[0, 0]"
87;0.00711798667908;"127488";"[(642, 320), (382, 302)]";"[0, 0]"
88;0.00660705566406;"127488";"[(382, 300), (643, 316)]";"[0, 0]"
89;0.00908708572388;"127488";"[(643, 316)]";"[0]"
90;0.00622892379761;"127488";"[(387, 300), (645, 317)]";"[0, 0]"
91;0.00948691368103;"127488";"[(646, 321), (387, 302)]";"[0, 0]"
92;0.00767111778259;"127488";"[(646, 322)]";"[0]"
93;0.0108950138092;"127488";"[(650, 321)]";"[0]"
94;0.00959014892578;"127488";"[(652, 319), (395, 303)]";"[0, 0]"
95;0.00721001625061;"127488";"[(653, 319), (397, 303)]";"[0, 0]"
96;0.0114779472351;"127488";"[(657, 318)]";"[0]"
97;0.00911688804626;"127488";"[(661, 317)]";"[0]"
98;0.00837802886963;"127488";"[(661, 321)]";"[0]"
99;0.00732398033142;"127488";"[(661, 323)]";"[0]"
100;0.011470079422;"127488";"[(407, 310)]";"[0]"
101;0.0121340751648;"127488";"[(407, 311), (663, 327)]";"[0, 0]"
