frameno;frametime;radious;cir_pos;color
0;0.113877058029;"[6.6708322]";"[(385, 279)]";"[0]"
1;0.0942280292511;"[6.5192022, 6.6708322]";"[(644, 297), (386, 279)]";"[0, 0]"
2;0.091285943985;"[6.3639612, 7.1063352]";"[(645, 299), (388, 280)]";"[0, 0]"
3;0.117480039597;"[7.1063352, 6.6708322]";"[(645, 300), (388, 281)]";"[0, 0]"
4;0.118229150772;"[5.7008772, 6.6708322]";"[(385, 281), (643, 299)]";"[0, 0]"
5;0.111137866974;"[]";"[]";"[]"
6;0.0988659858704;"[6.5192022]";"[(385, 282)]";"[0]"
7;0.110000133514;"[6.5192022, 5.7008772]";"[(642, 302), (382, 284)]";"[0, 0]"
8;0.114902019501;"[6.5192022]";"[(642, 302)]";"[0]"
9;0.117657899857;"[6.6708322, 6.6708322, 5.7008772]";"[(642, 303), (384, 284), (850, 447)]";"[0, 0, 0]"
10;0.0956740379333;"[6.5192022, 5.7008772]";"[(642, 301), (383, 283)]";"[0, 0]"
11;0.104333162308;"[6.5192022]";"[(641, 302)]";"[0]"
12;0.0981769561768;"[5.7008772]";"[(380, 283)]";"[0]"
13;0.10817694664;"[5.7008772, 6.6708322]";"[(379, 284), (640, 303)]";"[0, 0]"
14;0.115252017975;"[]";"[]";"[]"
15;0.0912718772888;"[7.1063352, 5.7008772]";"[(380, 282), (637, 303)]";"[0, 0]"
16;0.102762937546;"[]";"[]";"[]"
17;0.103981971741;"[7.1063352]";"[(380, 280)]";"[0]"
18;0.11283493042;"[6.5192022, 5.7008772]";"[(638, 298), (845, 444)]";"[0, 0]"
19;0.115216016769;"[7.1063352, 5.7008772]";"[(639, 298), (378, 279)]";"[0, 0]"
20;0.115639925003;"[6.041523, 6.6708322, 5.7008772]";"[(639, 299), (378, 278), (846, 443)]";"[0, 0, 0]"
21;0.0895807743073;"[]";"[]";"[]"
22;0.114218950272;"[]";"[]";"[]"
23;0.10227894783;"[]";"[]";"[]"
24;0.116089105606;"[]";"[]";"[]"
25;0.111994028091;"[]";"[]";"[]"
26;0.10551905632;"[6.6708322, 5.7008772]";"[(640, 302), (381, 282)]";"[0, 0]"
27;0.114874839783;"[7.3824115]";"[(641, 301)]";"[0]"
28;0.100700855255;"[6.6708322]";"[(642, 301)]";"[0]"
29;0.105495929718;"[]";"[]";"[]"
30;0.105793952942;"[6.6708322, 6.041523]";"[(381, 282), (639, 303)]";"[0, 0]"
31;0.117197036743;"[7.3824115]";"[(639, 303)]";"[0]"
32;0.0920009613037;"[6.6708322]";"[(378, 284)]";"[0]"
33;0.11571097374;"[]";"[]";"[]"
34;0.0952999591827;"[]";"[]";"[]"
