frameno;frametime;radious;cir_pos;color
0;0.102996826172;"[6.6708322, 5.7008772]";"[(385.5, 279.5), (641.5, 297.5)]";"[0, 0]"
1;0.121002912521;"[6.5192022, 6.6708322]";"[(644.5, 297.5), (386.5, 279.5)]";"[0, 0]"
2;0.0892999172211;"[6.3639612, 7.1063352]";"[(645.5, 299.5), (388.5, 280.5)]";"[0, 0]"
3;0.110153913498;"[7.1063352, 6.6708322, 6.5192022]";"[(645.5, 300.5), (388.5, 281.5), (852.5, 443.5)]";"[0, 0, 0]"
4;0.116390943527;"[5.7008772, 6.6708322]";"[(385.5, 281.5), (643.5, 299.5)]";"[0, 0]"
5;0.100078821182;"[]";"[]";"[]"
6;0.0883069038391;"[6.5192022]";"[(385.5, 282.5)]";"[0]"
7;0.0871429443359;"[6.5192022, 5.7008772]";"[(642.5, 302.5), (382.5, 284.5)]";"[0, 0]"
8;0.0927410125732;"[6.5192022]";"[(642.5, 302.5)]";"[0]"
9;0.0935561656952;"[6.6708322, 6.6708322, 5.7008772]";"[(642.5, 303.5), (384.5, 284.5), (850.5, 447.5)]";"[0, 0, 0]"
10;0.0881359577179;"[6.5192022, 5.7008772]";"[(642.5, 301.5), (383.5, 283.5)]";"[0, 0]"
11;0.0908219814301;"[6.5192022]";"[(641.5, 302.5)]";"[0]"
12;0.0886659622192;"[5.7008772]";"[(380.5, 283.5)]";"[0]"
13;0.102314949036;"[5.7008772, 6.6708322]";"[(379.5, 284.5), (640.5, 303.5)]";"[0, 0]"
14;0.111411809921;"[6.5192022]";"[(638.5, 301.5)]";"[0]"
15;0.0982060432434;"[7.1063352, 5.7008772]";"[(380.5, 282.5), (637.5, 303.5)]";"[0, 0]"
16;0.117499113083;"[6.041523]";"[(638.5, 299.5)]";"[0]"
17;0.0993700027466;"[7.1063352]";"[(380.5, 280.5)]";"[0]"
18;0.112296104431;"[6.5192022, 5.7008772]";"[(638.5, 298.5), (845.5, 444.5)]";"[0, 0]"
19;0.109467983246;"[7.1063352, 5.7008772]";"[(639.5, 298.5), (378.5, 279.5)]";"[0, 0]"
20;0.0966670513153;"[6.041523, 6.6708322, 5.7008772]";"[(639.5, 299.5), (378.5, 278.5), (846.5, 443.5)]";"[0, 0, 0]"
21;0.0883769989014;"[6.041523]";"[(640.5, 297.5)]";"[0]"
22;0.161913871765;"[6.041523, 6.041523]";"[(640.5, 297.5), (849.5, 443.5)]";"[0, 0]"
23;0.0959539413452;"[6.041523]";"[(640.5, 297.5)]";"[0]"
24;0.093024969101;"[6.6708322]";"[(639.5, 299.5)]";"[0]"
