frameno;frametime;recarea;cir_pos;color
0;0.0919139385223;"2073600";"[(747, 263), (1212, 513), (503, 247), (949, 404)]";"[0, 0, 0, 0]"
1;0.0235280990601;"480194";"[(750, 262), (1203, 514)]";"[0, 0]"
2;0.0207440853119;"480194";"[(749, 263)]";"[0]"
3;0.0280029773712;"480194";"[(748, 262), (505, 247)]";"[0, 0]"
4;0.0266020298004;"480194";"[(748, 261)]";"[0]"
5;0.0221431255341;"480194";"[(748, 261)]";"[0]"
6;0.144677877426;"1672920";"[(1148, 513)]";"[0]"
7;0.124037027359;"1890000";"[(504, 245)]";"[0]"
8;0.00786399841309;"169200";"[(507, 245), (752, 261)]";"[0, 0]"
9;0.0113260746002;"169200";"[(752, 262), (508, 247)]";"[0, 0]"
10;0.0155410766602;"169200";"[(509, 247)]";"[0]"
11;0.0100929737091;"169200";"[(512, 246)]";"[0]"
12;0.0323870182037;"414720";"[(759, 262)]";"[0]"
13;0.0140190124512;"177600";"[(760, 261), (517, 246)]";"[0, 0]"
14;0.0145130157471;"177600";"[(763, 261)]";"[0]"
15;0.0147891044617;"177600";"[(765, 261), (523, 247)]";"[0, 0]"
16;0.015939950943;"177600";"[(769, 261)]";"[0]"
17;0.0104949474335;"177600";"[(773, 261)]";"[0]"
18;0.00852584838867;"177600";"[(777, 262)]";"[0]"
19;0.00986480712891;"177600";"[(779, 262)]";"[0]"
20;0.00837206840515;"177600";"[(782, 262)]";"[0]"
21;0.0120298862457;"177600";"[(783, 261)]";"[0]"
22;0.014270067215;"177600";"[(787, 259), (544, 246)]";"[0, 0]"
23;0.0148420333862;"177600";"[(789, 260)]";"[0]"
24;0.0090639591217;"177600";"[(792, 261)]";"[0]"
25;0.0106091499329;"177600";"[(793, 261)]";"[0]"
26;0.00893688201904;"177600";"[(793, 261)]";"[0]"
27;0.00862193107605;"177600";"[(795, 260), (554, 246)]";"[0, 0]"
28;0.011815071106;"177600";"[(795, 260), (550, 246)]";"[0, 0]"
29;0.0126240253448;"177600";"[(791, 266), (550, 253)]";"[0, 0]"
30;0.0138940811157;"177600";"[(790, 269)]";"[0]"
31;0.00886511802673;"177600";"[(793, 271)]";"[0]"
32;0.010134935379;"177600";"[(793, 271), (553, 257)]";"[0, 0]"
33;0.011482000351;"177600";"[(796, 275)]";"[0]"
34;0.00915598869324;"177600";"[(798, 279)]";"[0]"
35;0.00791215896606;"177600";"[(796, 283)]";"[0]"
36;0.0116558074951;"177600";"[(795, 277)]";"[0]"
37;0.00949311256409;"177600";"[(795, 275)]";"[0]"
38;0.00869297981262;"177600";"[(795, 274)]";"[0]"
39;0.00804209709167;"177600";"[(794, 272)]";"[0]"
40;0.0125458240509;"177600";"[(798, 274)]";"[0]"
41;0.00973582267761;"177600";"[(800, 273)]";"[0]"
42;0.00983691215515;"177600";"[(803, 271)]";"[0]"
43;0.00821018218994;"177600";"[(802, 267)]";"[0]"
44;0.0120780467987;"177600";"[(805, 267)]";"[0]"
45;0.0148279666901;"177600";"[(804, 265)]";"[0]"
46;0.00984001159668;"177600";"[(803, 263)]";"[0]"
47;0.0118730068207;"177600";"[(800, 261)]";"[0]"
48;0.00913000106812;"177600";"[(799, 261)]";"[0]"
49;0.00813889503479;"177600";"[(797, 259)]";"[0]"
50;0.0127758979797;"177600";"[(795, 259)]";"[0]"
51;0.0314071178436;"451200";"[(792, 259)]";"[0]"
