frameno;frametime;recarea;cir_pos;color
0;0.136088132858;"2073600";"[(747, 263), (1212, 513), (503, 247), (949, 404)]";"[0, 0, 0, 0]"
1;0.0907380580902;"480194";"[(750, 262), (1203, 514)]";"[0, 0]"
2;0.0285880565643;"480194";"[(749, 263)]";"[0]"
3;0.0233130455017;"480194";"[(748, 262), (505, 247)]";"[0, 0]"
4;0.0313849449158;"480194";"[(748, 261)]";"[0]"
5;0.0381510257721;"480194";"[(748, 261)]";"[0]"
6;0.0948519706726;"156660";"[(1148, 513)]";"[0]"
7;0.0472688674927;"208000";"[(504, 245)]";"[0]"
8;0.0158910751343;"177600";"[(751, 261), (507, 245)]";"[0, 0]"
9;0.0145390033722;"177600";"[(508, 247)]";"[0]"
10;0.0147068500519;"177600";"[(753, 262), (509, 247)]";"[0, 0]"
11;0.0162370204926;"177600";"[(755, 261), (512, 246)]";"[0, 0]"
12;0.0160300731659;"177600";"[(759, 262)]";"[0]"
13;0.014820098877;"177600";"[(760, 261), (517, 246)]";"[0, 0]"
14;0.0141999721527;"177600";"[(763, 261)]";"[0]"
15;0.0156359672546;"177600";"[(765, 261), (523, 247)]";"[0, 0]"
16;0.0103139877319;"177600";"[(769, 261)]";"[0]"
17;0.0194191932678;"177600";"[(773, 261)]";"[0]"
18;0.011018037796;"177600";"[(777, 262)]";"[0]"
19;0.0102500915527;"177600";"[(779, 262)]";"[0]"
20;0.0103640556335;"177600";"[(782, 262)]";"[0]"
21;0.0134902000427;"177600";"[(783, 261)]";"[0]"
22;0.0119550228119;"177600";"[(787, 259), (544, 246)]";"[0, 0]"
23;0.0114250183105;"177600";"[(789, 260)]";"[0]"
24;0.00966691970825;"177600";"[(792, 261)]";"[0]"
25;0.00850105285645;"177600";"[(793, 261)]";"[0]"
26;0.00885009765625;"177600";"[(793, 261)]";"[0]"
27;0.0099470615387;"177600";"[(795, 260), (554, 246)]";"[0, 0]"
28;0.00867199897766;"177600";"[(795, 260), (550, 246)]";"[0, 0]"
29;0.0126519203186;"177600";"[(791, 266), (550, 253)]";"[0, 0]"
30;0.0104801654816;"177600";"[(790, 269)]";"[0]"
31;0.00767016410828;"177600";"[(793, 271)]";"[0]"
32;0.0120871067047;"177600";"[(793, 271), (553, 257)]";"[0, 0]"
33;0.0159089565277;"177600";"[(796, 275), (555, 261)]";"[0, 0]"
34;0.0164740085602;"177600";"[(798, 279), (554, 264)]";"[0, 0]"
35;0.0151770114899;"177600";"[(796, 283), (554, 269)]";"[0, 0]"
36;0.0157659053802;"177600";"[(795, 277)]";"[0]"
37;0.0159258842468;"177600";"[(795, 275)]";"[0]"
38;0.0158469676971;"177600";"[(795, 274), (553, 259)]";"[0, 0]"
39;0.020003080368;"177600";"[(794, 272), (553, 258)]";"[0, 0]"
40;0.00875997543335;"177600";"[(798, 274)]";"[0]"
41;0.0116100311279;"177600";"[(800, 273), (558, 259)]";"[0, 0]"
42;0.00932598114014;"177600";"[(803, 271), (562, 257)]";"[0, 0]"
43;0.00815391540527;"177600";"[(802, 267)]";"[0]"
44;0.00796890258789;"177600";"[(805, 267)]";"[0]"
45;0.0104918479919;"177600";"[(804, 265), (563, 252)]";"[0, 0]"
46;0.00857996940613;"177600";"[(803, 263)]";"[0]"
47;0.00813508033752;"177600";"[(800, 261), (561, 249)]";"[0, 0]"
48;0.0108230113983;"177600";"[(559, 247), (799, 261)]";"[0, 0]"
49;0.0135190486908;"177600";"[(797, 259)]";"[0]"
50;0.0143239498138;"177600";"[(795, 259), (553, 246)]";"[0, 0]"
51;0.0142748355865;"177600";"[(792, 259)]";"[0]"
52;0.0157010555267;"177600";"[(791, 261)]";"[0]"
53;0.0161440372467;"177600";"[(789, 261), (544, 247)]";"[0, 0]"
54;0.0106489658356;"177600";"[(787, 261), (544, 248)]";"[0, 0]"
55;0.0538601875305;"335000";"[(552, 513)]";"[0]"
56;0.0287020206451;"302760";"[(783, 262)]";"[0]"
57;0.014258146286;"177600";"[(782, 263), (541, 251)]";"[0, 0]"
58;0.0154089927673;"177600";"[(781, 263)]";"[0]"
59;0.0157420635223;"177600";"[(779, 265)]";"[0]"
60;0.0191788673401;"177600";"[(780, 265)]";"[0]"
61;0.00806903839111;"177600";"[(775, 266), (533, 255)]";"[0, 0]"
62;0.0132570266724;"177600";"[(771, 268)]";"[0]"
63;0.00964903831482;"177600";"[(767, 269), (522, 258)]";"[0, 0]"
64;0.00849223136902;"177600";"[(763, 271), (519, 259)]";"[0, 0]"
65;0.00901198387146;"177600";"[(759, 271)]";"[0]"
66;0.0134069919586;"177600";"[(759, 268), (514, 257)]";"[0, 0]"
67;0.00910997390747;"177600";"[(757, 264), (513, 252)]";"[0, 0]"
68;0.0159170627594;"177600";"[(758, 259)]";"[0]"
69;0.015496969223;"177600";"[(761, 256)]";"[0]"
70;0.0108740329742;"177600";"[(767, 251)]";"[0]"
71;0.0103349685669;"177600";"[(773, 249)]";"[0]"
72;0.0819890499115;"335000";"[(279, 508)]";"[0]"
73;0.0312490463257;"242280";"[(534, 240)]";"[0]"
74;0.0183260440826;"177600";"[(782, 253)]";"[0]"
75;0.0154531002045;"177600";"[(786, 251)]";"[0]"
76;0.0104310512543;"177600";"[(788, 247)]";"[0]"
77;0.0147588253021;"177600";"[(789, 243), (547, 231)]";"[0, 0]"
78;0.0143160820007;"177600";"[(789, 237)]";"[0]"
79;0.0157699584961;"177600";"[(790, 232)]";"[0]"
80;0.0156648159027;"177600";"[(791, 231)]";"[0]"
81;0.0105209350586;"177600";"[(793, 230)]";"[0]"
82;0.00895285606384;"177600";"[(792, 229)]";"[0]"
83;0.0127520561218;"177600";"[(790, 231)]";"[0]"
84;0.0163190364838;"177600";"[(783, 233), (539, 226)]";"[0, 0]"
85;0.00775694847107;"177600";"[(776, 233), (530, 226)]";"[0, 0]"
86;0.00801610946655;"177600";"[(769, 234), (521, 226)]";"[0, 0]"
87;0.0433840751648;"100800";"[(970, 369)]";"[0]"
88;0.0228500366211;"259200";"[(513, 220)]";"[0]"
89;0.0114028453827;"177600";"[(508, 219), (755, 227)]";"[0, 0]"
90;0.0114688873291;"177600";"[(755, 231)]";"[0]"
91;0.0123419761658;"177600";"[(509, 229)]";"[0]"
92;0.0307600498199;"338400";"[(756, 246)]";"[0]"
93;0.0107810497284;"177600";"[(762, 257)]";"[0]"
94;0.00775599479675;"177600";"[(771, 266), (527, 257)]";"[0, 0]"
95;0.0120439529419;"177600";"[(780, 270)]";"[0]"
96;0.0143940448761;"177600";"[(787, 270), (542, 260)]";"[0, 0]"
97;0.015645980835;"177600";"[(787, 266)]";"[0]"
98;0.0159890651703;"177600";"[(785, 261), (541, 247)]";"[0, 0]"
99;0.0160899162292;"177600";"[(784, 254)]";"[0]"
100;0.0154640674591;"177600";"[(783, 251)]";"[0]"
101;0.0101671218872;"177600";"[(540, 236)]";"[0]"
102;0.013249874115;"177600";"[(791, 253), (548, 237)]";"[0, 0]"
103;0.0140030384064;"177600";"[(789, 250)]";"[0]"
104;0.0162880420685;"177600";"[(783, 248), (540, 233)]";"[0, 0]"
105;0.0160419940948;"177600";"[(774, 247), (529, 231)]";"[0, 0]"
106;0.015300989151;"177600";"[(763, 248)]";"[0]"
107;0.0104479789734;"177600";"[(505, 233), (754, 249)]";"[0, 0]"
108;0.0086498260498;"177600";"[(744, 253)]";"[0]"
109;0.0118069648743;"177600";"[(735, 257)]";"[0]"
110;0.0159361362457;"177600";"[(725, 261)]";"[0]"
111;0.0156462192535;"177600";"[(711, 264), (461, 245)]";"[0, 0]"
112;0.0101680755615;"177600";"[(697, 266), (444, 249)]";"[0, 0]"
113;0.0133850574493;"177600";"[(683, 269)]";"[0]"
114;0.0136458873749;"177600";"[(670, 267), (413, 250)]";"[0, 0]"
115;0.0160012245178;"177600";"[(663, 261)]";"[0]"
116;0.0137331485748;"177600";"[(409, 249)]";"[0]"
117;0.009840965271;"177600";"[(667, 269)]";"[0]"
118;0.0140919685364;"177600";"[(661, 273)]";"[0]"
119;0.0161111354828;"177600";"[(651, 275), (394, 263)]";"[0, 0]"
120;0.0116829872131;"177600";"[(640, 274), (381, 261)]";"[0, 0]"
121;0.0143430233002;"177600";"[(373, 257), (633, 272)]";"[0, 0]"
122;0.0100049972534;"177600";"[(371, 253)]";"[0]"
123;0.00863289833069;"177600";"[(375, 251)]";"[0]"
124;0.00805902481079;"177600";"[(640, 263), (381, 251)]";"[0, 0]"
125;0.0130560398102;"177600";"[(389, 248)]";"[0]"
126;0.00996685028076;"177600";"[(653, 254), (395, 241)]";"[0, 0]"
127;0.0136198997498;"177600";"[(401, 235), (659, 249)]";"[0, 0]"
128;0.00884294509888;"177600";"[(662, 246), (402, 231)]";"[0, 0]"
129;0.0129568576813;"177600";"[(662, 243), (405, 230)]";"[0, 0]"
130;0.0156331062317;"177600";"[(406, 232), (662, 246)]";"[0, 0]"
131;0.0105309486389;"177600";"[(662, 247), (405, 235)]";"[0, 0]"
132;0.0143520832062;"177600";"[(664, 249)]";"[0]"
133;0.0162570476532;"177600";"[(406, 234), (665, 248)]";"[0, 0]"
134;0.0153210163116;"177600";"[(669, 244)]";"[0]"
135;0.015408039093;"177600";"[(415, 229), (672, 243)]";"[0, 0]"
136;0.0155990123749;"177600";"[(673, 239), (417, 225)]";"[0, 0]"
137;0.010479927063;"177600";"[(675, 235)]";"[0]"
138;0.0132079124451;"177600";"[(674, 235)]";"[0]"
139;0.0142068862915;"177600";"[(676, 237), (418, 221)]";"[0, 0]"
140;0.016193151474;"177600";"[(679, 238)]";"[0]"
141;0.0161869525909;"177600";"[(684, 239)]";"[0]"
142;0.0156280994415;"177600";"[(683, 239)]";"[0]"
143;0.0163760185242;"177600";"[(678, 237), (420, 223)]";"[0, 0]"
144;0.0160639286041;"177600";"[(670, 236)]";"[0]"
145;0.0157821178436;"177600";"[(666, 235), (409, 219)]";"[0, 0]"
146;0.0105459690094;"177600";"[(408, 220), (664, 235)]";"[0, 0]"
147;0.0145311355591;"177600";"[(661, 236), (404, 220)]";"[0, 0]"
148;0.0159900188446;"177600";"[(655, 235), (397, 217)]";"[0, 0]"
149;0.0155620574951;"177600";"[(650, 233), (391, 217)]";"[0, 0]"
150;0.0107789039612;"177600";"[(645, 237), (384, 220)]";"[0, 0]"
151;0.013256072998;"177600";"[(640, 239), (381, 223)]";"[0, 0]"
152;0.0148429870605;"177600";"[(637, 245)]";"[0]"
153;0.0145089626312;"177600";"[(634, 247)]";"[0]"
154;0.014554977417;"177600";"[(631, 249), (371, 232)]";"[0, 0]"
155;0.0144641399384;"177600";"[(629, 248)]";"[0]"
156;0.0159978866577;"177600";"[(625, 249), (363, 231)]";"[0, 0]"
157;0.016028881073;"177600";"[(623, 248), (362, 232)]";"[0, 0]"
158;0.0159437656403;"177600";"[(623, 249), (361, 231)]";"[0, 0]"
159;0.0105180740356;"177600";"[(626, 247)]";"[0]"
160;0.0151159763336;"177600";"[(629, 247)]";"[0]"
161;0.0155739784241;"177600";"[(630, 245)]";"[0]"
162;0.0104808807373;"177600";"[(631, 244), (371, 228)]";"[0, 0]"
163;0.00873112678528;"177600";"[(632, 242)]";"[0]"
164;0.0182712078094;"177600";"[(370, 225)]";"[0]"
165;0.0156559944153;"177600";"[(635, 239), (374, 223)]";"[0, 0]"
166;0.0104501247406;"177600";"[(636, 237), (376, 221)]";"[0, 0]"
167;0.0107219219208;"177600";"[(637, 233), (375, 218)]";"[0, 0]"
168;0.0142259597778;"177600";"[(378, 215), (638, 232)]";"[0, 0]"
169;0.0155961513519;"177600";"[(639, 229), (377, 213)]";"[0, 0]"
170;0.0161070823669;"177600";"[(379, 211), (640, 226)]";"[0, 0]"
171;0.015792131424;"177600";"[(643, 226)]";"[0]"
172;0.0105381011963;"177600";"[(647, 226), (388, 210)]";"[0, 0]"
173;0.013946056366;"177600";"[(651, 226)]";"[0]"
174;0.0160920619965;"177600";"[(652, 225), (391, 209)]";"[0, 0]"
175;0.0150661468506;"177600";"[(652, 225)]";"[0]"
176;0.0157458782196;"177600";"[(652, 225), (393, 209)]";"[0, 0]"
177;0.015604019165;"177600";"[(653, 228), (392, 211)]";"[0, 0]"
178;0.0158629417419;"177600";"[(656, 232)]";"[0]"
179;0.015429019928;"177600";"[(656, 236)]";"[0]"
180;0.0103368759155;"177600";"[(656, 239)]";"[0]"
181;0.0152409076691;"177600";"[(656, 242)]";"[0]"
182;0.0154218673706;"177600";"[(657, 244), (396, 226)]";"[0, 0]"
183;0.00782799720764;"177600";"[(658, 244)]";"[0]"
184;0.0122859477997;"177600";"[(658, 245)]";"[0]"
185;0.00951290130615;"177600";"[(401, 228), (659, 247)]";"[0, 0]"
186;0.013179063797;"177600";"[(660, 247), (398, 229)]";"[0, 0]"
187;0.0161039829254;"177600";"[(657, 249), (399, 230)]";"[0, 0]"
188;0.0157890319824;"177600";"[(397, 231), (655, 250)]";"[0, 0]"
189;0.0105187892914;"177600";"[(657, 250), (397, 232)]";"[0, 0]"
190;0.0148351192474;"177600";"[(658, 251)]";"[0]"
191;0.0160911083221;"177600";"[(655, 252), (397, 234)]";"[0, 0]"
192;0.0159540176392;"177600";"[(654, 252), (395, 234)]";"[0, 0]"
193;0.0133249759674;"177600";"[(652, 253), (394, 235)]";"[0, 0]"
194;0.0113410949707;"177600";"[(390, 235)]";"[0]"
195;0.00897693634033;"177600";"[(651, 255), (391, 237)]";"[0, 0]"
196;0.00952196121216;"177600";"[(649, 255)]";"[0]"
197;0.0102670192719;"177600";"[(389, 239), (648, 256)]";"[0, 0]"
198;0.0118370056152;"177600";"[(649, 257), (390, 240)]";"[0, 0]"
199;0.0114901065826;"177600";"[(650, 257)]";"[0]"
200;0.0104448795319;"177600";"[(649, 258), (392, 240)]";"[0, 0]"
201;0.0113570690155;"177600";"[(649, 258), (392, 240)]";"[0, 0]"
202;0.0105528831482;"177600";"[(649, 259)]";"[0]"
203;0.011146068573;"177600";"[(650, 260), (391, 241)]";"[0, 0]"
