frameno;frametime;recarea;cir_pos;color
0;0.131542921066;"2073600";"[(747, 263), (1212, 513), (503, 247), (949, 404)]";"[0, 0, 0, 0]"
1;0.0219769477844;"480194";"[(750, 262), (1203, 514)]";"[0, 0]"
2;0.0400681495667;"480194";"[(749, 263)]";"[0]"
3;0.0257840156555;"480194";"[(748, 262), (505, 247)]";"[0, 0]"
4;0.0301759243011;"480194";"[(748, 261)]";"[0]"
5;0.0209939479828;"480194";"[(748, 261)]";"[0]"
6;0.0324668884277;"712448";"[(1148, 513)]";"[0]"
7;0.0352439880371;"548557";"[(504, 245)]";"[0]"
8;0.0149908065796;"177600";"[(751, 261), (507, 245)]";"[0, 0]"
9;0.0156948566437;"177600";"[(508, 247)]";"[0]"
10;0.0105588436127;"177600";"[(753, 262), (509, 247)]";"[0, 0]"
11;0.00861406326294;"177600";"[(755, 261), (512, 246)]";"[0, 0]"
12;0.0125811100006;"177600";"[(759, 262)]";"[0]"
13;0.0159239768982;"177600";"[(760, 261), (517, 246)]";"[0, 0]"
14;0.0159680843353;"177600";"[(763, 261)]";"[0]"
15;0.0137138366699;"177600";"[(765, 261), (523, 247)]";"[0, 0]"
16;0.0160760879517;"177600";"[(769, 261)]";"[0]"
17;0.0158169269562;"177600";"[(773, 261)]";"[0]"
18;0.0159418582916;"177600";"[(777, 262)]";"[0]"
19;0.0156328678131;"177600";"[(779, 262)]";"[0]"
20;0.01606798172;"177600";"[(782, 262)]";"[0]"
21;0.0156810283661;"177600";"[(783, 261)]";"[0]"
22;0.010589838028;"177600";"[(787, 259), (544, 246)]";"[0, 0]"
23;0.0105118751526;"177600";"[(789, 260)]";"[0]"
24;0.0115268230438;"177600";"[(792, 261)]";"[0]"
25;0.0159409046173;"177600";"[(793, 261)]";"[0]"
26;0.0155758857727;"177600";"[(793, 261)]";"[0]"
27;0.0104579925537;"177600";"[(795, 260), (554, 246)]";"[0, 0]"
28;0.00867700576782;"177600";"[(795, 260), (550, 246)]";"[0, 0]"
29;0.00786209106445;"177600";"[(791, 266), (550, 253)]";"[0, 0]"
30;0.011421918869;"177600";"[(790, 269)]";"[0]"
31;0.0147259235382;"177600";"[(793, 271)]";"[0]"
32;0.0141539573669;"177600";"[(793, 271), (553, 257)]";"[0, 0]"
33;0.016252040863;"177600";"[(796, 275), (555, 261)]";"[0, 0]"
34;0.015823841095;"177600";"[(798, 279), (554, 264)]";"[0, 0]"
35;0.0158560276031;"177600";"[(796, 283), (554, 269)]";"[0, 0]"
36;0.0160148143768;"177600";"[(795, 277)]";"[0]"
37;0.0157880783081;"177600";"[(795, 275)]";"[0]"
38;0.0163230895996;"177600";"[(795, 274), (553, 259)]";"[0, 0]"
39;0.0157899856567;"177600";"[(794, 272), (553, 258)]";"[0, 0]"
40;0.0143761634827;"177600";"[(798, 274)]";"[0]"
41;0.0160200595856;"177600";"[(800, 273), (558, 259)]";"[0, 0]"
42;0.0163238048553;"177600";"[(803, 271), (562, 257)]";"[0, 0]"
43;0.0158989429474;"177600";"[(802, 267)]";"[0]"
44;0.0155408382416;"177600";"[(805, 267)]";"[0]"
45;0.0105249881744;"177600";"[(804, 265), (563, 252)]";"[0, 0]"
46;0.00851011276245;"177600";"[(803, 263)]";"[0]"
47;0.0120840072632;"177600";"[(800, 261), (561, 249)]";"[0, 0]"
48;0.0148839950562;"177600";"[(559, 247), (799, 261)]";"[0, 0]"
49;0.0159471035004;"177600";"[(797, 259)]";"[0]"
50;0.0160000324249;"177600";"[(795, 259), (553, 246)]";"[0, 0]"
51;0.0147337913513;"177600";"[(792, 259)]";"[0]"
52;0.016056060791;"177600";"[(791, 261)]";"[0]"
53;0.0157821178436;"177600";"[(789, 261), (544, 247)]";"[0, 0]"
54;0.0108189582825;"177600";"[(787, 261), (544, 248)]";"[0, 0]"
55;0.0896151065826;"1416360";"[(552, 513)]";"[0]"
56;0.0678000450134;"969937";"[(783, 262), (540, 250)]";"[0, 0]"
57;0.0729179382324;"983016";"[(782, 263), (541, 251)]";"[0, 0]"
58;0.0710129737854;"983736";"[(781, 263), (503, 516)]";"[0, 0]"
59;0.0225620269775;"255374";"[(779, 265)]";"[0]"
60;0.0151419639587;"255374";"[(780, 265)]";"[0]"
61;0.0196471214294;"255374";"[(775, 266), (533, 255)]";"[0, 0]"
62;0.0138621330261;"255374";"[(771, 268)]";"[0]"
63;0.0114879608154;"255374";"[(767, 269), (522, 258)]";"[0, 0]"
64;0.0110659599304;"255374";"[(763, 271), (519, 259)]";"[0, 0]"
65;0.0167119503021;"255374";"[(759, 271)]";"[0]"
66;0.0215010643005;"255374";"[(759, 268), (514, 257)]";"[0, 0]"
67;0.0215129852295;"255374";"[(757, 264), (513, 252)]";"[0, 0]"
68;0.0209319591522;"255374";"[(758, 259)]";"[0]"
69;0.0225200653076;"255374";"[(761, 256)]";"[0]"
70;0.0172941684723;"255374";"[(767, 251)]";"[0]"
71;0.0193569660187;"255374";"[(773, 249)]";"[0]"
72;0.0659558773041;"1359079";"[(279, 508)]";"[0]"
73;0.051609992981;"818520";"[(778, 252), (534, 240)]";"[0, 0]"
74;0.0673339366913;"977256";"[(782, 253)]";"[0]"
75;0.0740067958832;"1104552";"[(786, 251), (989, 390)]";"[0, 0]"
76;0.00839495658875;"167897";"[(788, 247)]";"[0]"
77;0.0140039920807;"167897";"[(789, 243)]";"[0]"
78;0.0143759250641;"167897";"[(789, 237)]";"[0]"
79;0.0154321193695;"167897";"[(790, 232)]";"[0]"
80;0.0155849456787;"167897";"[(791, 231)]";"[0]"
81;0.0102758407593;"167897";"[(793, 230)]";"[0]"
82;0.0141179561615;"167897";"[(792, 229)]";"[0]"
83;0.0139851570129;"167897";"[(790, 231)]";"[0]"
84;0.0156810283661;"167897";"[(783, 233)]";"[0]"
85;0.00963187217712;"167897";"[(776, 233)]";"[0]"
86;0.0128440856934;"167897";"[(769, 234)]";"[0]"
87;0.125227928162;"2154078";"[]";"[]"
88;0.0114758014679;"167897";"[(759, 229)]";"[0]"
89;0.0134780406952;"167897";"[(755, 227)]";"[0]"
90;0.0153141021729;"167897";"[(755, 231)]";"[0]"
91;0.0152461528778;"167897";"[(755, 237)]";"[0]"
92;0.0167720317841;"167897";"[(756, 246)]";"[0]"
93;0.0142879486084;"167897";"[(762, 257)]";"[0]"
94;0.0154869556427;"167897";"[(771, 266)]";"[0]"
95;0.010281085968;"167897";"[(780, 270)]";"[0]"
96;0.0133280754089;"167897";"[(787, 270)]";"[0]"
97;0.0155391693115;"167897";"[(787, 266)]";"[0]"
