frameno;frametime;recarea;cir_pos;color
0;0.15220618248;"2073600";"[(747, 263), (503, 247), (949, 404)]";"[0, 0, 0]"
1;0.0230050086975;"272342";"[(750, 262)]";"[0]"
2;0.0931160449982;"272342";"[(749, 263), (950, 404)]";"[0, 0]"
3;0.124213218689;"1136422";"[(748, 262), (505, 247)]";"[0, 0]"
4;0.0533738136292;"123165";"[(748, 261)]";"[0]"
5;0.015261888504;"177600";"[(748, 261)]";"[0]"
6;0.136184930801;"1016268";"[]";"[]"
7;0.0093240737915;"177600";"[(504, 245)]";"[0]"
8;0.0144400596619;"177600";"[(751, 261), (507, 245)]";"[0, 0]"
9;0.0106949806213;"177600";"[(508, 247)]";"[0]"
10;0.0110569000244;"177600";"[(753, 262), (509, 247)]";"[0, 0]"
11;0.0162160396576;"177600";"[(755, 261), (512, 246)]";"[0, 0]"
12;0.0106480121613;"177600";"[(759, 262)]";"[0]"
13;0.0184950828552;"177600";"[(760, 261), (517, 246)]";"[0, 0]"
14;0.0162601470947;"177600";"[(763, 261)]";"[0]"
15;0.0200419425964;"177600";"[(765, 261), (523, 247)]";"[0, 0]"
16;0.0168969631195;"177600";"[(769, 261)]";"[0]"
17;0.0189571380615;"177600";"[(773, 261)]";"[0]"
18;0.0189218521118;"177600";"[(777, 262)]";"[0]"
19;0.0188939571381;"177600";"[(779, 262)]";"[0]"
20;0.0211458206177;"177600";"[(782, 262)]";"[0]"
21;0.0172369480133;"177600";"[(783, 261)]";"[0]"
22;0.0173671245575;"177600";"[(787, 259)]";"[0]"
23;0.0177199840546;"177600";"[(789, 260)]";"[0]"
24;0.0190410614014;"177600";"[(792, 261)]";"[0]"
25;0.0180950164795;"177600";"[(793, 261)]";"[0]"
26;0.0138521194458;"177600";"[(791, 259)]";"[0]"
27;0.0185420513153;"177600";"[(795, 260)]";"[0]"
28;0.0124931335449;"177600";"[(795, 260)]";"[0]"
29;0.0106909275055;"177600";"[(791, 266)]";"[0]"
30;0.0134799480438;"177600";"[(790, 269)]";"[0]"
31;0.0194311141968;"177600";"[(793, 271)]";"[0]"
32;0.0187981128693;"177600";"[(793, 271)]";"[0]"
33;0.0192980766296;"177600";"[(796, 275)]";"[0]"
34;0.0128309726715;"177600";"[(798, 279)]";"[0]"
35;0.0171151161194;"177600";"[(796, 283)]";"[0]"
36;0.0100581645966;"177600";"[(795, 277)]";"[0]"
37;0.073037147522;"177600";"[(795, 275), (995, 415)]";"[0, 0]"
38;0.0129249095917;"167200";"[(553, 259)]";"[0]"
39;0.00988388061523;"167200";"[(553, 258)]";"[0]"
40;0.0899419784546;"167200";"[(798, 274)]";"[0]"
41;0.0196948051453;"177600";"[(800, 273), (558, 259)]";"[0, 0]"
42;0.013112783432;"177600";"[(803, 271), (562, 257)]";"[0, 0]"
43;0.0160419940948;"177600";"[(802, 267)]";"[0]"
44;0.0189170837402;"177600";"[(805, 267)]";"[0]"
45;0.014258146286;"177600";"[(804, 265), (563, 252)]";"[0, 0]"
46;0.0166521072388;"177600";"[(803, 263)]";"[0]"
47;0.0218880176544;"177600";"[(800, 261), (561, 249)]";"[0, 0]"
48;0.0185420513153;"177600";"[(559, 247)]";"[0]"
49;0.0133888721466;"177600";"[(797, 259)]";"[0]"
50;0.0120449066162;"177600";"[(795, 259), (553, 246)]";"[0, 0]"
51;0.0137691497803;"177600";"[(792, 259)]";"[0]"
52;0.0099880695343;"177600";"[(791, 261)]";"[0]"
53;0.0135531425476;"177600";"[(789, 261), (544, 247)]";"[0, 0]"
54;0.0176060199738;"177600";"[(787, 261), (544, 248)]";"[0, 0]"
55;0.0150439739227;"177600";"[(784, 262)]";"[0]"
56;0.0142819881439;"177600";"[(783, 262)]";"[0]"
57;0.0203869342804;"177600";"[(782, 263), (541, 251)]";"[0, 0]"
58;0.0187389850616;"177600";"[(781, 263)]";"[0]"
59;0.0171661376953;"177600";"[(779, 265)]";"[0]"
60;0.016538143158;"177600";"[(780, 265)]";"[0]"
61;0.0219130516052;"177600";"[(775, 266), (533, 255)]";"[0, 0]"
62;0.0133008956909;"177600";"[(771, 268)]";"[0]"
63;0.0184218883514;"177600";"[(767, 269)]";"[0]"
64;0.0125920772552;"177600";"[(763, 271)]";"[0]"
65;0.0158660411835;"177600";"[(759, 271)]";"[0]"
66;0.016832113266;"177600";"[(759, 268)]";"[0]"
67;0.0167710781097;"177600";"[(757, 264)]";"[0]"
68;0.0188410282135;"177600";"[(758, 259)]";"[0]"
69;0.018443107605;"177600";"[(761, 256)]";"[0]"
70;0.0194880962372;"177600";"[(767, 251)]";"[0]"
71;0.0101919174194;"177600";"[(773, 249)]";"[0]"
72;0.0131950378418;"177600";"[(777, 251)]";"[0]"
73;0.0162601470947;"177600";"[(778, 252)]";"[0]"
74;0.0123109817505;"177600";"[(782, 253)]";"[0]"
75;0.0170481204987;"177600";"[(786, 251)]";"[0]"
76;0.0196189880371;"177600";"[(788, 247)]";"[0]"
77;0.0185649394989;"177600";"[(789, 243)]";"[0]"
78;0.0125432014465;"177600";"[(789, 237)]";"[0]"
79;0.0167660713196;"177600";"[(790, 232)]";"[0]"
80;0.012796163559;"177600";"[(791, 231)]";"[0]"
81;0.0186409950256;"177600";"[(793, 230)]";"[0]"
82;0.0171229839325;"177600";"[(792, 229)]";"[0]"
83;0.0190889835358;"177600";"[(790, 231)]";"[0]"
84;0.0185930728912;"177600";"[(783, 233)]";"[0]"
85;0.0189130306244;"177600";"[(776, 233)]";"[0]"
86;0.0119340419769;"177600";"[(769, 234)]";"[0]"
87;0.0177388191223;"177600";"[(762, 232), (970, 369)]";"[0, 0]"
88;0.018571138382;"177600";"[(759, 229)]";"[0]"
89;0.0194990634918;"177600";"[(755, 227)]";"[0]"
