frameno;frametime;filtertime;radious;cir_pos;color
0;0.132994174957;0.00133085250854;"[5.7008772, 5.7008772, 5.7008772]";"[(747, 263), (503, 247), (949, 404)]";"[0, 0, 0]"
1;0.097323179245;0.00166797637939;"[6.6708322]";"[(750, 262)]";"[0]"
2;0.098484992981;0.00130486488342;"[5.7008772, 5.7008772]";"[(749, 263), (950, 404)]";"[0, 0]"
3;0.126513004303;0.00149512290955;"[6.6708322, 5.7008772]";"[(748, 262), (505, 247)]";"[0, 0]"
4;0.126037120819;-1;"[]";"[]";"[]"
5;0.0985090732574;0.00172305107117;"[6.6708322]";"[(748, 261)]";"[0]"
6;0.10271692276;-1;"[]";"[]";"[]"
7;0.111210107803;0.00147104263306;"[6.041523]";"[(504, 245)]";"[0]"
8;0.111686944962;0.001384973526;"[6.041523, 5.7008772]";"[(751, 261), (507, 245)]";"[0, 0]"
9;0.093456029892;0.00174498558044;"[6.5192022]";"[(508, 247)]";"[0]"
10;0.0971829891205;0.00181102752686;"[5.7008772, 5.7008772, 6.5192022]";"[(753, 262), (509, 247), (952, 404)]";"[0, 0, 0]"
11;0.12687087059;0.00156378746033;"[6.6708322, 5.7008772, 5.7008772]";"[(755, 261), (512, 246), (956, 403)]";"[0, 0, 0]"
12;0.119544029236;0.00144600868225;"[5.7008772]";"[(759, 262)]";"[0]"
13;0.12381196022;0.00157999992371;"[6.6708322, 5.7008772]";"[(760, 261), (517, 246)]";"[0, 0]"
14;0.109068870544;0.0015549659729;"[6.041523]";"[(763, 261)]";"[0]"
15;0.117877006531;0.0014750957489;"[6.5192022, 5.7008772]";"[(765, 261), (523, 247)]";"[0, 0]"
16;0.113002061844;0.00134205818176;"[6.041523, 5.7008772]";"[(769, 261), (969, 401)]";"[0, 0]"
17;0.116659164429;0.00149202346802;"[6.041523, 5.7008772]";"[(773, 261), (973, 401)]";"[0, 0]"
18;0.0958878993988;0.00183892250061;"[6.5192022]";"[(777, 262)]";"[0]"
19;0.117897987366;0.00151395797729;"[5.7008772]";"[(779, 262)]";"[0]"
20;0.102443933487;0.00166988372803;"[7.1063352]";"[(782, 262)]";"[0]"
21;0.0956211090088;0.00213098526001;"[6.041523]";"[(783, 261)]";"[0]"
22;0.113829135895;0.00147104263306;"[6.041523, 5.7008772]";"[(787, 259), (544, 246)]";"[0, 0]"
23;0.119620084763;0.00144004821777;"[5.7008772]";"[(789, 260)]";"[0]"
24;0.125697851181;0.0017728805542;"[5.7008772]";"[(792, 261)]";"[0]"
25;0.102859020233;0.00144910812378;"[5.7008772]";"[(793, 261)]";"[0]"
26;0.102943897247;-1;"[]";"[]";"[]"
27;0.115204811096;0.00241112709045;"[5.7008772, 6.5192022]";"[(795, 260), (554, 246)]";"[0, 0]"
28;0.110198974609;0.00209188461304;"[6.5192022, 6.5192022]";"[(795, 260), (550, 246)]";"[0, 0]"
29;0.107475042343;0.00159788131714;"[6.6708322, 5.7008772]";"[(791, 266), (550, 253)]";"[0, 0]"
30;0.113717079163;0.00182485580444;"[6.6708322]";"[(790, 269)]";"[0]"
31;0.0997140407562;0.00219988822937;"[6.6708322]";"[(793, 271)]";"[0]"
32;0.108427047729;0.00129079818726;"[5.7008772, 5.7008772]";"[(793, 271), (553, 257)]";"[0, 0]"
33;0.113672018051;0.00222611427307;"[5.7008772, 5.7008772]";"[(796, 275), (555, 261)]";"[0, 0]"
34;0.0978059768677;0.00134015083313;"[6.6708322, 6.6708322, 5.7008772]";"[(798, 279), (554, 264), (997, 417)]";"[0, 0, 0]"
35;0.114717960358;0.0014591217041;"[5.7008772, 5.7008772]";"[(796, 283), (554, 269)]";"[0, 0]"
36;0.123967170715;-1;"[]";"[]";"[]"
37;0.116327047348;0.00143504142761;"[6.041523, 5.7008772]";"[(795, 275), (995, 415)]";"[0, 0]"
