frameno;frametime;colorfiltertime;circledettime;radious;cir_pos;color
0;0.265819072723;0.0989940166473;0.0729432106018;"[5.7008772, 6.6708322, 5.7008772, 5.7008772]";"[(747.5, 263.5), (1212.5, 513.5), (503.5, 247.5), (949.5, 404.5)]";"[0, 0, 0, 0]"
1;0.0967469215393;0.0427260398865;0.0388331413269;"[6.6708322, 6.5192022]";"[(750.5, 262.5), (1203.5, 514.5)]";"[0, 0]"
2;0.0940079689026;0.0417499542236;0.0388128757477;"[5.7008772, 6.3639612, 5.7008772]";"[(749.5, 263.5), (1192.5, 513.5), (950.5, 404.5)]";"[0, 0, 0]"
3;0.117455005646;0.0546669960022;0.0428509712219;"[6.6708322, 5.7008772, 5.7008772]";"[(748.5, 262.5), (1180.5, 515.5), (505.5, 247.5)]";"[0, 0, 0]"
4;0.115744113922;0.0537810325623;0.0422229766846;"[6.6708322, 7.6485291]";"[(748.5, 261.5), (1170.5, 513.5)]";"[0, 0]"
5;0.0883259773254;0.0394830703735;0.0353169441223;"[6.6708322]";"[(748.5, 261.5)]";"[0]"
6;0.0947499275208;0.0428030490875;0.0369780063629;"[7.905694]";"[(1147.5, 514.5)]";"[0]"
7;0.119518995285;0.0558969974518;0.0433421134949;"[6.041523]";"[(504.5, 245.5)]";"[0]"
8;0.118324041367;0.0557060241699;0.0415439605713;"[6.041523, 6.6708322, 5.7008772, 5.7008772]";"[(751.5, 261.5), (1128.5, 512.5), (507.5, 245.5), (952.5, 402.5)]";"[0, 0, 0, 0]"
9;0.120905160904;0.0566220283508;0.0430901050568;"[6.5192022]";"[(508.5, 247.5)]";"[0]"
10;0.0876438617706;0.0400369167328;0.0331418514252;"[5.7008772, 5.7008772, 6.5192022, 7.1063352]";"[(753.5, 262.5), (509.5, 247.5), (952.5, 404.5), (1106.5, 514.5)]";"[0, 0, 0, 0]"
11;0.104758024216;0.0492360591888;0.0369620323181;"[6.6708322, 5.7008772, 5.7008772]";"[(755.5, 261.5), (512.5, 246.5), (956.5, 403.5)]";"[0, 0, 0]"
12;0.109326124191;0.052059173584;0.0379199981689;"[5.7008772, 5.7008772]";"[(759.5, 262.5), (1089.5, 511.5)]";"[0, 0]"
13;0.112822055817;0.0539090633392;0.0386941432953;"[6.6708322, 5.7008772]";"[(760.5, 261.5), (517.5, 246.5)]";"[0, 0]"
14;0.0927209854126;0.0422570705414;0.0367510318756;"[6.041523]";"[(763.5, 261.5)]";"[0]"
15;0.110820055008;0.0511589050293;0.0395200252533;"[6.5192022, 5.7008772]";"[(765.5, 261.5), (523.5, 247.5)]";"[0, 0]"
16;0.112204790115;0.0526938438416;0.0403928756714;"[6.041523, 5.7008772]";"[(769.5, 261.5), (969.5, 401.5)]";"[0, 0]"
17;0.115134954453;0.0520868301392;0.040088891983;"[6.041523, 5.7008772]";"[(773.5, 261.5), (973.5, 401.5)]";"[0, 0]"
18;0.11111497879;0.0522029399872;0.0401990413666;"[6.5192022]";"[(777.5, 262.5)]";"[0]"
19;0.122256994247;0.0562880039215;0.0433399677277;"[5.7008772]";"[(779.5, 262.5)]";"[0]"
20;0.117527008057;0.0545930862427;0.0428628921509;"[9.5131493, 7.1063352]";"[(1014.5, 512.5), (782.5, 262.5)]";"[0, 0]"
21;0.12096118927;0.057168006897;0.0422348976135;"[6.041523, 7.905694]";"[(783.5, 261.5), (1006.5, 509.5)]";"[0, 0]"
22;0.117020845413;0.053631067276;0.043300151825;"[6.041523, 5.7008772]";"[(787.5, 259.5), (544.5, 246.5)]";"[0, 0]"
23;0.113180160522;0.0525488853455;0.0401802062988;"[8.276473, 5.7008772]";"[(986.5, 508.5), (789.5, 260.5)]";"[0, 0]"
24;0.109862089157;0.0515739917755;0.0394279956818;"[5.7008772, 6.6708322]";"[(792.5, 261.5), (978.5, 508.5)]";"[0, 0]"
25;0.0854501724243;0.0387530326843;0.0330531597137;"[5.7008772]";"[(793.5, 261.5)]";"[0]"
26;0.0974631309509;0.0451560020447;0.035248041153;"[7.905694, 7.1063352]";"[(791.5, 259.5), (956.5, 508.5)]";"[0, 0]"
27;0.108450174332;0.051253080368;0.0375320911407;"[5.7008772, 6.5192022, 7.905694]";"[(795.5, 260.5), (554.5, 246.5), (939.5, 510.5)]";"[0, 0, 0]"
28;0.116142034531;0.0552589893341;0.0392389297485;"[6.5192022, 6.5192022, 7.7781744]";"[(795.5, 260.5), (550.5, 246.5), (928.5, 510.5)]";"[0, 0, 0]"
29;0.112730979919;0.0522568225861;0.0414590835571;"[6.6708322, 5.7008772, 6.3639612]";"[(791.5, 266.5), (550.5, 253.5), (917.5, 515.5)]";"[0, 0, 0]"
30;0.129357814789;0.0607669353485;0.044182062149;"[6.6708322]";"[(790.5, 269.5)]";"[0]"
31;0.109982013702;0.0517709255219;0.0392401218414;"[6.6708322, 7.5166483]";"[(793.5, 271.5), (887.5, 519.5)]";"[0, 0]"
32;0.111966848373;0.0514581203461;0.0413248538971;"[7.6485291, 5.7008772, 5.7008772]";"[(876.5, 520.5), (793.5, 271.5), (553.5, 257.5)]";"[0, 0, 0]"
33;0.0889630317688;0.038754940033;0.0368540287018;"[5.7008772, 5.7008772, 8.276473]";"[(796.5, 275.5), (555.5, 261.5), (865.5, 523.5)]";"[0, 0, 0]"
34;0.111083030701;0.0515401363373;0.0391759872437;"[6.6708322, 6.6708322, 5.7008772]";"[(798.5, 279.5), (554.5, 264.5), (997.5, 417.5)]";"[0, 0, 0]"
35;0.0903990268707;0.0413908958435;0.0352318286896;"[5.7008772, 5.7008772]";"[(796.5, 283.5), (554.5, 269.5)]";"[0, 0]"
36;0.0966899394989;0.0453798770905;0.036141872406;"[6.6708322, 7.6485291]";"[(795.5, 277.5), (827.5, 528.5)]";"[0, 0]"
37;0.107542991638;0.0501511096954;0.0387251377106;"[6.041523, 5.7008772]";"[(795.5, 275.5), (995.5, 415.5)]";"[0, 0]"
38;0.134243965149;0.0616471767426;0.0442521572113;"[5.7008772, 5.7008772]";"[(795.5, 274.5), (553.5, 259.5)]";"[0, 0]"
39;0.114315032959;0.054584980011;0.0399551391602;"[5.7008772, 5.7008772]";"[(794.5, 272.5), (553.5, 258.5)]";"[0, 0]"
40;0.101957082748;0.0476729869843;0.0362350940704;"[6.6708322, 6.6708322]";"[(798.5, 274.5), (775.5, 522.5)]";"[0, 0]"
41;0.0891058444977;0.0398688316345;0.0333569049835;"[5.7008772, 5.7008772]";"[(800.5, 273.5), (558.5, 259.5)]";"[0, 0]"
42;0.0886249542236;0.040552854538;0.0330429077148;"[5.7008772, 7.7781744, 5.7008772]";"[(803.5, 271.5), (751.5, 520.5), (562.5, 257.5)]";"[0, 0, 0]"
43;0.0921819210052;0.0427870750427;0.0342168807983;"[7.1063352]";"[(802.5, 267.5)]";"[0]"
44;0.130025148392;0.0592451095581;0.0447931289673;"[5.7008772, 5.7008772, 7.6485291]";"[(805.5, 267.5), (1006.5, 406.5), (727.5, 517.5)]";"[0, 0, 0]"
45;0.119453907013;0.0539889335632;0.0421731472015;"[5.7008772, 7.6485291, 5.7008772]";"[(804.5, 265.5), (713.5, 515.5), (563.5, 252.5)]";"[0, 0, 0]"
46;0.113965988159;0.0529940128326;0.0417230129242;"[6.041523]";"[(803.5, 263.5)]";"[0]"
47;0.102756023407;0.0469119548798;0.0382590293884;"[6.6708322, 5.7008772]";"[(800.5, 261.5), (561.5, 249.5)]";"[0, 0]"
48;0.109913825989;0.0499129295349;0.0417840480804;"[5.7008772]";"[(559.5, 247.5)]";"[0]"
49;0.116096019745;0.0527958869934;0.0423929691315;"[6.3639612, 9.5131493]";"[(797.5, 259.5), (647.5, 512.5)]";"[0, 0]"
50;0.0946178436279;0.0413489341736;0.035670042038;"[6.041523, 5.7008772, 7.5166483]";"[(795.5, 259.5), (553.5, 246.5), (633.5, 510.5)]";"[0, 0, 0]"
51;0.0993559360504;0.0455319881439;0.0374989509583;"[6.9641943, 5.7008772]";"[(792.5, 259.5), (619.5, 509.5)]";"[0, 0]"
52;0.110926866531;0.0515348911285;0.0407209396362;"[5.7008772, 7.905694]";"[(791.5, 261.5), (598.5, 512.5)]";"[0, 0]"
53;0.109150886536;0.0498831272125;0.0414931774139;"[5.7008772, 8.276473, 6.6708322]";"[(789.5, 261.5), (582.5, 512.5), (544.5, 247.5)]";"[0, 0, 0]"
54;0.0879619121552;0.039370059967;0.0352611541748;"[6.041523, 9.1923885, 5.7008772]";"[(787.5, 261.5), (566.5, 514.5), (544.5, 248.5)]";"[0, 0, 0]"
55;0.103826999664;0.0483751296997;0.0369319915771;"[7.6485291, 6.5192022]";"[(784.5, 262.5), (552.5, 513.5)]";"[0, 0]"
56;0.11696100235;0.0560388565063;0.0397610664368;"[6.6708322]";"[(783.5, 262.5)]";"[0]"
57;0.0912568569183;0.041937828064;0.0339629650116;"[6.6708322, 5.7008772, 7.5166483]";"[(782.5, 263.5), (541.5, 251.5), (520.5, 516.5)]";"[0, 0, 0]"
58;0.0888700485229;0.0405390262604;0.0346159934998;"[6.3639612, 7.6485291]";"[(781.5, 263.5), (503.5, 516.5)]";"[0, 0]"
59;0.112541913986;0.0528268814087;0.0405189990997;"[5.7008772]";"[(779.5, 265.5)]";"[0]"
60;0.106375932693;0.0490100383759;0.0386860370636;"[7.6485291, 7.1063352]";"[(469.5, 519.5), (780.5, 265.5)]";"[0, 0]"
61;0.106174945831;0.0487198829651;0.0402839183807;"[6.5192022, 5.7008772]";"[(775.5, 266.5), (533.5, 255.5)]";"[0, 0]"
62;0.112713098526;0.051059961319;0.0415780544281;"[6.6708322, 7.6485291]";"[(771.5, 268.5), (433.5, 522.5)]";"[0, 0]"
63;0.115823984146;0.0547268390656;0.0416700839996;"[6.041523, 5.7008772]";"[(767.5, 269.5), (522.5, 258.5)]";"[0, 0]"
