frameno;frametime;radious;cir_pos;color
0;0.177974939346;"[5.7008772, 6.6708322, 5.7008772, 5.7008772]";"[(747.5, 263.5), (1212.5, 513.5), (503.5, 247.5), (949.5, 404.5)]";"[0, 0, 0, 0]"
1;0.0987720489502;"[6.6708322, 6.5192022]";"[(750.5, 262.5), (1203.5, 514.5)]";"[0, 0]"
2;0.0958349704742;"[5.7008772, 6.3639612, 5.7008772]";"[(749.5, 263.5), (1192.5, 513.5), (950.5, 404.5)]";"[0, 0, 0]"
3;0.117741823196;"[6.6708322, 5.7008772, 5.7008772]";"[(748.5, 262.5), (1180.5, 515.5), (505.5, 247.5)]";"[0, 0, 0]"
4;0.121883153915;"[6.6708322, 7.6485291]";"[(748.5, 261.5), (1170.5, 513.5)]";"[0, 0]"
5;0.111591100693;"[6.6708322]";"[(748.5, 261.5)]";"[0]"
6;0.101498126984;"[7.905694]";"[(1147.5, 514.5)]";"[0]"
7;0.160925149918;"[6.041523]";"[(504.5, 245.5)]";"[0]"
8;0.0856008529663;"[6.041523, 6.6708322, 5.7008772, 5.7008772]";"[(751.5, 261.5), (1128.5, 512.5), (507.5, 245.5), (952.5, 402.5)]";"[0, 0, 0, 0]"
9;0.106997013092;"[6.5192022]";"[(508.5, 247.5)]";"[0]"
10;0.116899967194;"[5.7008772, 5.7008772, 6.5192022, 7.1063352]";"[(753.5, 262.5), (509.5, 247.5), (952.5, 404.5), (1106.5, 514.5)]";"[0, 0, 0, 0]"
11;0.0855529308319;"[6.6708322, 5.7008772, 5.7008772]";"[(755.5, 261.5), (512.5, 246.5), (956.5, 403.5)]";"[0, 0, 0]"
12;0.115702867508;"[5.7008772, 5.7008772]";"[(759.5, 262.5), (1089.5, 511.5)]";"[0, 0]"
13;0.11779499054;"[6.6708322, 5.7008772]";"[(760.5, 261.5), (517.5, 246.5)]";"[0, 0]"
14;0.119961023331;"[6.041523]";"[(763.5, 261.5)]";"[0]"
15;0.092887878418;"[6.5192022, 5.7008772]";"[(765.5, 261.5), (523.5, 247.5)]";"[0, 0]"
16;0.110461950302;"[6.041523, 5.7008772]";"[(769.5, 261.5), (969.5, 401.5)]";"[0, 0]"
17;0.115769863129;"[6.041523, 5.7008772]";"[(773.5, 261.5), (973.5, 401.5)]";"[0, 0]"
18;0.0894429683685;"[6.5192022]";"[(777.5, 262.5)]";"[0]"
19;0.108762979507;"[5.7008772]";"[(779.5, 262.5)]";"[0]"
20;0.116676092148;"[9.5131493, 7.1063352]";"[(1014.5, 512.5), (782.5, 262.5)]";"[0, 0]"
21;0.117876052856;"[6.041523, 7.905694]";"[(783.5, 261.5), (1006.5, 509.5)]";"[0, 0]"
22;0.0920448303223;"[6.041523, 5.7008772]";"[(787.5, 259.5), (544.5, 246.5)]";"[0, 0]"
23;0.114594936371;"[8.276473, 5.7008772]";"[(986.5, 508.5), (789.5, 260.5)]";"[0, 0]"
