frameno;frametime;radious;cir_pos;color
0;0.17670917511;"[5.7008772, 5.7008772, 5.7008772]";"[(747, 263), (503, 247), (949, 404)]";"[0, 0, 0]"
1;0.100925207138;"[6.6708322]";"[(750, 262)]";"[0]"
2;0.0987679958344;"[5.7008772, 5.7008772]";"[(749, 263), (950, 404)]";"[0, 0]"
3;0.121737003326;"[6.6708322, 5.7008772]";"[(748, 262), (505, 247)]";"[0, 0]"
4;0.0938558578491;"[]";"[]";"[]"
5;0.122034072876;"[6.6708322]";"[(748, 261)]";"[0]"
6;0.0907390117645;"[]";"[]";"[]"
7;0.0949749946594;"[6.041523]";"[(504, 245)]";"[0]"
8;0.0982460975647;"[6.041523, 5.7008772, 5.7008772]";"[(751, 261), (507, 245), (952, 402)]";"[0, 0, 0]"
9;0.0868830680847;"[6.5192022]";"[(508, 247)]";"[0]"
10;0.113666057587;"[5.7008772, 5.7008772, 6.5192022]";"[(753, 262), (509, 247), (952, 404)]";"[0, 0, 0]"
11;0.129589080811;"[6.6708322, 5.7008772, 5.7008772]";"[(755, 261), (512, 246), (956, 403)]";"[0, 0, 0]"
12;0.10244011879;"[5.7008772]";"[(759, 262)]";"[0]"
13;0.0922601222992;"[6.6708322, 5.7008772]";"[(760, 261), (517, 246)]";"[0, 0]"
14;0.0891749858856;"[6.041523]";"[(763, 261)]";"[0]"
15;0.118719100952;"[6.5192022, 5.7008772]";"[(765, 261), (523, 247)]";"[0, 0]"
16;0.11890411377;"[6.041523, 5.7008772]";"[(769, 261), (969, 401)]";"[0, 0]"
17;0.128741979599;"[6.041523, 5.7008772]";"[(773, 261), (973, 401)]";"[0, 0]"
18;0.094701051712;"[6.5192022]";"[(777, 262)]";"[0]"
19;0.11243391037;"[5.7008772]";"[(779, 262)]";"[0]"
20;0.116093158722;"[7.1063352]";"[(782, 262)]";"[0]"
21;0.134770154953;"[6.041523]";"[(783, 261)]";"[0]"
22;0.0927350521088;"[6.041523, 5.7008772]";"[(787, 259), (544, 246)]";"[0, 0]"
23;0.101287841797;"[5.7008772]";"[(789, 260)]";"[0]"
24;0.111169815063;"[5.7008772]";"[(792, 261)]";"[0]"
25;0.111328840256;"[5.7008772]";"[(793, 261)]";"[0]"
26;0.107900857925;"[]";"[]";"[]"
27;0.107772111893;"[5.7008772, 6.5192022]";"[(795, 260), (554, 246)]";"[0, 0]"
28;0.0994460582733;"[6.5192022, 6.5192022]";"[(795, 260), (550, 246)]";"[0, 0]"
29;0.0929560661316;"[6.6708322, 5.7008772]";"[(791, 266), (550, 253)]";"[0, 0]"
30;0.111338853836;"[6.6708322]";"[(790, 269)]";"[0]"
31;0.0971779823303;"[6.6708322]";"[(793, 271)]";"[0]"
32;0.0938761234283;"[5.7008772, 5.7008772]";"[(793, 271), (553, 257)]";"[0, 0]"
33;0.10949587822;"[5.7008772, 5.7008772]";"[(796, 275), (555, 261)]";"[0, 0]"
34;0.12032699585;"[6.6708322, 6.6708322, 5.7008772]";"[(798, 279), (554, 264), (997, 417)]";"[0, 0, 0]"
35;0.11216711998;"[5.7008772, 5.7008772]";"[(796, 283), (554, 269)]";"[0, 0]"
36;0.116711854935;"[]";"[]";"[]"
37;0.107055902481;"[6.041523, 5.7008772]";"[(795, 275), (995, 415)]";"[0, 0]"
38;0.108430147171;"[5.7008772, 5.7008772]";"[(795, 274), (553, 259)]";"[0, 0]"
39;0.0894119739532;"[5.7008772, 5.7008772]";"[(794, 272), (553, 258)]";"[0, 0]"
40;0.113086938858;"[6.6708322]";"[(798, 274)]";"[0]"
41;0.102327823639;"[5.7008772, 5.7008772]";"[(800, 273), (558, 259)]";"[0, 0]"
