frameno;frametime;recpoint;cir_pos;color
0;0.143115997314;"[]";"[(629, 279)]";"[0]"
1;0.0115051269531;"[110, 160, 800, 400]";"[(629, 281), (371, 265)]";"[0, 0]"
2;0.0092990398407;"[109, 189, 799, 429]";"[(629, 281)]";"[0]"
3;0.0868020057678;"[108, 223, 798, 463]";"[(629, 281)]";"[0]"
4;0.0177781581879;"[108, 258, 798, 498]";"[(623, 282)]";"[0]"
5;0.0397889614105;"[108, 271, 798, 511]";"[(364, 265)]";"[0]"
6;0.00945687294006;"[50, 35, 800, 275]";"[(364, 264)]";"[0]"
7;0.0360939502716;"[50, 43, 800, 283]";"[(624, 280)]";"[0]"
8;0.0176379680634;"[105, 160, 800, 400]";"[(361, 264)]";"[0]"
9;0.0186281204224;"[105, 160, 800, 400]";"[(622, 283), (359, 265)]";"[0, 0]"
10;0.0214450359344;"[105, 160, 800, 400]";"[(362, 265)]";"[0]"
11;0.0177099704742;"[105, 160, 800, 400]";"[(622, 279)]";"[0]"
12;0.0172848701477;"[105, 160, 800, 400]";"[(622, 277)]";"[0]"
13;0.0174980163574;"[105, 160, 800, 400]";"[(621, 275)]";"[0]"
14;0.021812915802;"[105, 160, 800, 400]";"[(620, 273), (361, 255)]";"[0, 0]"
15;0.101022005081;"[105, 160, 800, 400]";"[(620, 273), (361, 255)]";"[0, 0]"
16;0.102132081985;"[105, 160, 800, 400]";"[(620, 273), (361, 255)]";"[0, 0]"
17;0.0207350254059;"[105, 160, 800, 400]";"[(622, 270), (359, 253)]";"[0, 0]"
18;0.0998551845551;"[105, 160, 800, 400]";"[(622, 270), (359, 253)]";"[0, 0]"
19;0.0219948291779;"[105, 160, 800, 400]";"[(362, 255)]";"[0]"
20;0.0124180316925;"[105, 159, 800, 399]";"[(622, 276)]";"[0]"
21;0.018602848053;"[105, 159, 800, 399]";"[(619, 277)]";"[0]"
22;0.0136268138885;"[105, 159, 800, 399]";"[(360, 264)]";"[0]"
23;0.0191009044647;"[105, 160, 800, 400]";"[(360, 267), (620, 285)]";"[0, 0]"
24;0.0175271034241;"[105, 160, 800, 400]";"[(357, 267)]";"[0]"
25;0.0227799415588;"[105, 175, 800, 415]";"[(620, 288), (358, 269)]";"[0, 0]"
26;0.0118930339813;"[105, 178, 800, 418]";"[(617, 291)]";"[0]"
27;0.0129458904266;"[105, 174, 800, 414]";"[(614, 287), (352, 268)]";"[0, 0]"
28;0.0168080329895;"[105, 171, 800, 411]";"[(346, 263), (610, 283)]";"[0, 0]"
29;0.0195949077606;"[105, 177, 800, 417]";"[(605, 281), (341, 259)]";"[0, 0]"
30;0.0186438560486;"[104, 182, 799, 422]";"[(341, 258)]";"[0]"
31;0.100822925568;"[104, 185, 799, 425]";"[(341, 258)]";"[0]"
32;0.0172231197357;"[104, 173, 799, 413]";"[(609, 280)]";"[0]"
33;0.0229239463806;"[104, 160, 799, 400]";"[(611, 279), (350, 259)]";"[0, 0]"
34;0.0138149261475;"[104, 160, 799, 400]";"[(355, 267)]";"[0]"
35;0.0114939212799;"[104, 159, 799, 399]";"[(355, 272)]";"[0]"
36;0.00899291038513;"[104, 158, 799, 398]";"[(621, 297)]";"[0]"
37;0.0155057907104;"[104, 157, 799, 397]";"[(366, 289)]";"[0]"
38;0.0182998180389;"[104, 158, 799, 398]";"[(631, 310)]";"[0]"
39;0.0228188037872;"[104, 158, 799, 398]";"[(380, 302)]";"[0]"
40;0.0138230323792;"[104, 159, 799, 399]";"[(386, 311), (645, 327)]";"[0, 0]"
41;0.0101289749146;"[103, 160, 798, 400]";"[(646, 328)]";"[0]"
42;0.00905203819275;"[103, 172, 798, 412]";"[(644, 329)]";"[0]"
43;0.0156149864197;"[102, 187, 797, 427]";"[(640, 330), (384, 315)]";"[0, 0]"
44;0.0162401199341;"[102, 216, 797, 456]";"[(629, 307)]";"[0]"
45;0.0217909812927;"[102, 245, 797, 485]";"[(374, 286)]";"[0]"
46;0.0214059352875;"[101, 260, 796, 500]";"[(638, 297), (379, 280)]";"[0, 0]"
47;0.0198268890381;"[100, 265, 795, 505]";"[(641, 291)]";"[0]"
48;0.0194501876831;"[99, 270, 794, 510]";"[(643, 291)]";"[0]"
49;0.0232059955597;"[97, 252, 792, 492]";"[(639, 289), (377, 270)]";"[0, 0]"
50;0.0198631286621;"[96, 239, 791, 479]";"[(633, 287), (375, 267)]";"[0, 0]"
51;0.0204610824585;"[96, 225, 791, 465]";"[(364, 264)]";"[0]"
52;0.0219261646271;"[96, 221, 791, 461]";"[(621, 281), (358, 261)]";"[0, 0]"
53;0.0214910507202;"[97, 228, 792, 468]";"[(617, 279), (354, 258)]";"[0, 0]"
54;0.0182740688324;"[99, 235, 794, 475]";"[(616, 280)]";"[0]"
55;0.0216751098633;"[99, 244, 794, 484]";"[(623, 285), (364, 263)]";"[0, 0]"
56;0.109292984009;"[100, 269, 795, 509]";"[(623, 285), (364, 263)]";"[0, 0]"
57;0.0646421909332;"[100, 294, 795, 534]";"[(364, 270)]";"[0]"
58;0.0179769992828;"[50, 40, 800, 280]";"[(366, 267)]";"[0]"
