frameno;frametime;recarea;cir_pos;color
0;0.0958280563354;"[]";"[]";"[]"
1;0.088100194931;"2073600";"[(629, 281), (839, 422)]";"[0, 0]"
2;0.0721461772919;"3228170";"[]";"[]"
3;0.011204957962;"171450";"[(625, 281)]";"[0]"
4;0.0148849487305;"171450";"[(623, 282)]";"[0]"
5;0.0144600868225;"171450";"[(625, 282)]";"[0]"
6;0.0407340526581;"403650";"[(625, 279)]";"[0]"
7;0.0394358634949;"307546";"[(624, 280)]";"[0]"
8;0.00988698005676;"166800";"[(361, 264), (623, 280)]";"[0, 0]"
9;0.00900816917419;"166800";"[(621, 281), (359, 265)]";"[0, 0]"
10;0.00775408744812;"166800";"[(362, 265)]";"[0]"
11;0.00993800163269;"166800";"[(622, 279)]";"[0]"
12;0.00904512405396;"166800";"[(622, 277)]";"[0]"
13;0.00795102119446;"166800";"[(621, 275)]";"[0]"
14;0.0119841098785;"166800";"[(361, 255), (621, 272)]";"[0, 0]"
15;0.0155861377716;"166800";"[(623, 268)]";"[0]"
16;0.0138537883759;"166800";"[(622, 270)]";"[0]"
17;0.0154531002045;"166800";"[(622, 270), (359, 253)]";"[0, 0]"
18;0.0888659954071;"2884600";"[]";"[]"
19;0.0156509876251;"166800";"[(621, 272), (362, 255)]";"[0, 0]"
20;0.010241985321;"166800";"[(622, 276)]";"[0]"
21;0.0124208927155;"166800";"[(619, 277)]";"[0]"
22;0.0145909786224;"166800";"[(620, 280), (360, 264)]";"[0, 0]"
23;0.0152571201324;"166800";"[(360, 267), (620, 285)]";"[0, 0]"
24;0.0149910449982;"166800";"[(357, 267)]";"[0]"
25;0.0157828330994;"166800";"[(358, 269)]";"[0]"
26;0.0157051086426;"166800";"[(617, 291)]";"[0]"
27;0.0102059841156;"166800";"[(614, 287), (352, 268)]";"[0, 0]"
28;0.0153319835663;"166800";"[(346, 263), (610, 283)]";"[0, 0]"
29;0.0158200263977;"166800";"[(605, 281), (341, 259)]";"[0, 0]"
30;0.0103070735931;"166800";"[(341, 258), (605, 277)]";"[0, 0]"
31;0.0698080062866;"2911425";"[]";"[]"
32;0.0118279457092;"166800";"[(609, 279)]";"[0]"
33;0.0156190395355;"166800";"[(350, 259), (611, 279)]";"[0, 0]"
34;0.014988899231;"166800";"[(617, 285), (355, 267)]";"[0, 0]"
35;0.0155239105225;"166800";"[(619, 290), (355, 272)]";"[0, 0]"
36;0.015200138092;"166800";"[(621, 297)]";"[0]"
37;0.0136229991913;"166800";"[(625, 305), (366, 289)]";"[0, 0]"
38;0.013571023941;"166800";"[(631, 310)]";"[0]"
39;0.0137960910797;"166800";"[(637, 317), (380, 302)]";"[0, 0]"
40;0.0102310180664;"166800";"[(386, 311), (645, 327)]";"[0, 0]"
41;0.01305103302;"166800";"[(647, 329)]";"[0]"
42;0.0133759975433;"166800";"[(644, 329)]";"[0]"
43;0.0156760215759;"166800";"[(640, 330), (384, 315)]";"[0, 0]"
44;0.0148658752441;"166800";"[(629, 307)]";"[0]"
45;0.0104758739471;"166800";"[(633, 300), (374, 286)]";"[0, 0]"
46;0.0167028903961;"166800";"[(638, 297), (379, 280)]";"[0, 0]"
47;0.0103480815887;"166800";"[(644, 291)]";"[0]"
48;0.00961303710938;"166800";"[(644, 289)]";"[0]"
49;0.013946056366;"166800";"[(639, 289)]";"[0]"
50;0.0132629871368;"166800";"[(633, 287), (375, 267)]";"[0, 0]"
51;0.00956797599792;"166800";"[(364, 264), (626, 285)]";"[0, 0]"
52;0.0131769180298;"166800";"[(358, 261)]";"[0]"
53;0.0101261138916;"166800";"[(614, 279), (354, 258)]";"[0, 0]"
54;0.00875902175903;"166800";"[(616, 280)]";"[0]"
55;0.00806093215942;"166800";"[(364, 263), (623, 283)]";"[0, 0]"
56;0.0122258663177;"166800";"[(622, 283)]";"[0]"
57;0.0303339958191;"429600";"[(623, 289), (364, 270)]";"[0, 0]"
58;0.0178849697113;"272610";"[(626, 285), (366, 267)]";"[0, 0]"
59;0.0300049781799;"348600";"[(629, 285)]";"[0]"
60;0.0127139091492;"166080";"[(376, 266)]";"[0]"
61;0.114105939865;"3037260";"[]";"[]"
62;0.0272710323334;"428160";"[(386, 267)]";"[0]"
63;0.033833026886;"324000";"[(647, 287), (389, 267)]";"[0, 0]"
64;0.0089750289917;"129480";"[(388, 265)]";"[0]"
65;0.00957298278809;"129480";"[(640, 281)]";"[0]"
66;0.0874440670013;"2739265";"[]";"[]"
67;0.00675201416016;"129480";"[(629, 279), (370, 257)]";"[0, 0]"
68;0.00628280639648;"129480";"[(624, 278), (364, 255)]";"[0, 0]"
69;0.0136089324951;"129480";"[(359, 253), (621, 277)]";"[0, 0]"
70;0.0776069164276;"2731144";"[]";"[]"
71;0.00679993629456;"129480";"[(623, 277)]";"[0]"
72;0.0728950500488;"2730810";"[]";"[]"
73;0.00737714767456;"129480";"[(624, 282), (364, 260)]";"[0, 0]"
74;0.00767207145691;"129480";"[(625, 286)]";"[0]"
75;0.00781297683716;"129480";"[(625, 289), (366, 267)]";"[0, 0]"
76;0.00719094276428;"129480";"[(623, 294), (364, 272)]";"[0, 0]"
77;0.00904703140259;"129480";"[(363, 275), (625, 297)]";"[0, 0]"
78;0.00738906860352;"129480";"[(624, 297)]";"[0]"
79;0.0152790546417;"129480";"[(623, 297)]";"[0]"
80;0.0104379653931;"129480";"[(625, 296)]";"[0]"
81;0.00964188575745;"129480";"[(624, 297)]";"[0]"
82;0.0119438171387;"129480";"[(360, 275), (623, 296)]";"[0, 0]"
83;0.0120611190796;"129480";"[(624, 298), (363, 276)]";"[0, 0]"
84;0.010763168335;"129480";"[(623, 299), (364, 277)]";"[0, 0]"
85;0.0117979049683;"129480";"[(625, 297)]";"[0]"
86;0.0123021602631;"129480";"[(627, 297), (366, 277)]";"[0, 0]"
87;0.0113680362701;"129480";"[(627, 297), (368, 277)]";"[0, 0]"
88;0.0111200809479;"129480";"[(627, 299)]";"[0]"
89;0.0718400478363;"2729695";"[]";"[]"
90;0.0102977752686;"129480";"[(632, 307)]";"[0]"
91;0.0129601955414;"129480";"[(636, 313), (377, 295)]";"[0, 0]"
92;0.00875210762024;"129480";"[(638, 320)]";"[0]"
