frameno;frametime;recarea;cir_pos;color
0;0.104570865631;"2073600";"[]";"[]"
1;0.0982820987701;"2073600";"[(629, 281), (368, 266)]";"[0, 0]"
2;0.011214017868;"127755";"[(629, 281), (363, 265)]";"[0, 0]"
3;0.0887801647186;"1054908";"[]";"[]"
4;0.00960087776184;"127755";"[(364, 267)]";"[0]"
5;0.0142521858215;"127755";"[(626, 281)]";"[0]"
6;0.0572600364685;"127755";"[(364, 264)]";"[0]"
7;0.101208925247;"984840";"[]";"[]"
8;0.0141780376434;"165120";"[(361, 265)]";"[0]"
9;0.011598110199;"165120";"[(359, 265)]";"[0]"
10;0.0159871578217;"165120";"[(360, 266)]";"[0]"
11;0.0124979019165;"165120";"[(360, 264)]";"[0]"
12;0.0171909332275;"165120";"[(360, 262)]";"[0]"
13;0.0199120044708;"165120";"[(359, 259)]";"[0]"
14;0.0193700790405;"165120";"[(361, 255)]";"[0]"
15;0.0175440311432;"165120";"[(362, 252)]";"[0]"
16;0.057785987854;"529000";"[(277, 517)]";"[0]"
17;0.0260088443756;"155520";"[(359, 253)]";"[0]"
18;0.0108840465546;"175200";"[(360, 258)]";"[0]"
19;0.0119850635529;"175200";"[(363, 255)]";"[0]"
20;0.0145151615143;"175200";"[(621, 277), (358, 260)]";"[0, 0]"
21;0.10702586174;"1034520";"[]";"[]"
22;0.0120820999146;"175200";"[(356, 263)]";"[0]"
23;0.0109779834747;"175200";"[(359, 267)]";"[0]"
24;0.014585018158;"175200";"[(357, 267)]";"[0]"
25;0.0135900974274;"175200";"[(620, 288), (358, 269)]";"[0, 0]"
26;0.0158360004425;"175200";"[(618, 290)]";"[0]"
27;0.0229160785675;"175200";"[(613, 288), (352, 268)]";"[0, 0]"
28;0.0160098075867;"175200";"[(346, 263), (610, 283)]";"[0, 0]"
29;0.0204818248749;"175200";"[(341, 259), (606, 280)]";"[0, 0]"
30;0.0137929916382;"175200";"[(341, 258)]";"[0]"
31;0.0123679637909;"175200";"[(343, 257)]";"[0]"
32;0.0111458301544;"175200";"[(344, 257)]";"[0]"
33;0.0115818977356;"175200";"[(350, 259)]";"[0]"
34;0.095123052597;"1034080";"[]";"[]"
35;0.0157999992371;"175200";"[(355, 272)]";"[0]"
36;0.0177898406982;"175200";"[(621, 297)]";"[0]"
37;0.0246751308441;"175200";"[(366, 289), (628, 306)]";"[0, 0]"
38;0.0861768722534;"1032760";"[]";"[]"
39;0.0176839828491;"175200";"[(380, 302)]";"[0]"
40;0.0192680358887;"175200";"[(645, 326)]";"[0]"
41;0.0152540206909;"175200";"[(648, 329), (388, 316)]";"[0, 0]"
42;0.0220811367035;"175200";"[(644, 330), (385, 315)]";"[0, 0]"
43;0.0230739116669;"175200";"[(384, 315)]";"[0]"
44;0.0189800262451;"175200";"[(368, 294)]";"[0]"
45;0.114588975906;"1106440";"[]";"[]"
46;0.0128118991852;"175200";"[(379, 280)]";"[0]"
47;0.104043006897;"1116880";"[]";"[]"
48;0.0792169570923;"1116520";"[]";"[]"
49;0.0176570415497;"175200";"[(377, 270)]";"[0]"
50;0.0168600082397;"175200";"[(375, 267)]";"[0]"
51;0.0198740959167;"175200";"[(364, 264)]";"[0]"
52;0.0247850418091;"175200";"[(621, 281), (358, 261)]";"[0, 0]"
53;0.0140371322632;"175200";"[(615, 280), (352, 260)]";"[0, 0]"
54;0.081887960434;"1090642";"[]";"[]"
55;0.0163590908051;"175200";"[(623, 285), (364, 263)]";"[0, 0]"
56;0.0462198257446;"175200";"[(360, 263)]";"[0]"
57;0.0124928951263;"175440";"[(364, 270)]";"[0]"
58;0.00961804389954;"175440";"[(366, 267)]";"[0]"
59;0.0979468822479;"1120720";"[]";"[]"
60;0.0540289878845;"175440";"[(374, 266)]";"[0]"
61;0.100056886673;"1043960";"[]";"[]"
62;0.01229596138;"177600";"[(387, 266)]";"[0]"
63;0.0115659236908;"177600";"[(389, 267), (649, 285)]";"[0, 0]"
64;0.0133051872253;"177600";"[(389, 265)]";"[0]"
65;0.0131640434265;"177600";"[(378, 258)]";"[0]"
66;0.0115320682526;"177600";"[(377, 258), (635, 281)]";"[0, 0]"
67;0.0398631095886;"177600";"[(370, 257), (837, 430)]";"[0, 0]"
68;0.0257828235626;"291991";"[(364, 255)]";"[0]"
69;0.0197451114655;"291991";"[(360, 252)]";"[0]"
70;0.0175318717957;"291991";"[(621, 279), (361, 254)]";"[0, 0]"
71;0.129626989365;"1242036";"[]";"[]"
72;0.102490901947;"1243103";"[]";"[]"
73;0.0155649185181;"291991";"[(364, 260)]";"[0]"
74;0.0152299404144;"291991";"[(365, 263)]";"[0]"
75;0.0376291275024;"291991";"[(366, 267)]";"[0]"
76;0.0328230857849;"291991";"[(364, 272)]";"[0]"
77;0.0310640335083;"291991";"[(363, 275)]";"[0]"
78;0.0334949493408;"291991";"[(364, 275)]";"[0]"
79;0.0228939056396;"291991";"[(624, 299), (364, 275)]";"[0, 0]"
80;0.12792801857;"1239690";"[]";"[]"
81;0.0145609378815;"291991";"[(624, 297)]";"[0]"
82;0.0173017978668;"291991";"[(360, 275)]";"[0]"
83;0.0242009162903;"291991";"[(624, 298), (363, 276)]";"[0, 0]"
84;0.026486158371;"291991";"[(362, 278)]";"[0]"
85;0.0215849876404;"291991";"[(364, 278)]";"[0]"
86;0.0280060768127;"291991";"[(627, 298)]";"[0]"
87;0.0321891307831;"291991";"[(627, 299), (368, 277)]";"[0, 0]"
88;0.14365696907;"1244170";"[]";"[]"
89;0.0256588459015;"291991";"[(370, 282)]";"[0]"
90;0.0299952030182;"291991";"[(632, 307)]";"[0]"
91;0.0346360206604;"291991";"[(635, 315), (377, 295)]";"[0, 0]"
92;0.0334470272064;"291991";"[(377, 299)]";"[0]"
93;0.0334069728851;"291991";"[(382, 300)]";"[0]"
94;0.0292401313782;"291991";"[(383, 303)]";"[0]"
95;0.132427930832;"1239637";"[]";"[]"
96;0.123287916183;"1238570";"[]";"[]"
97;0.0250301361084;"291991";"[(641, 310), (384, 289)]";"[0, 0]"
98;0.128753185272;"1237556";"[]";"[]"
99;0.0250570774078;"291991";"[(635, 307), (378, 286)]";"[0, 0]"
100;0.0295372009277;"291991";"[(374, 282)]";"[0]"
101;0.0334420204163;"291991";"[(373, 279)]";"[0]"
102;0.0306458473206;"291991";"[(630, 301), (371, 281)]";"[0, 0]"
