frameno;frametime;recarea;cir_pos;color
0;0.118277072906;"2073600";"[(630, 279)]";"[0]"
1;0.00843596458435;"177600";"[(629, 281)]";"[0]"
2;0.0078010559082;"177600";"[(628, 281)]";"[0]"
3;0.00796294212341;"177600";"[(836, 425)]";"[0]"
4;0.0167908668518;"177600";"[(625, 282), (362, 267)]";"[0, 0]"
5;0.015643119812;"177600";"[(625, 282)]";"[0]"
6;0.0165758132935;"177600";"[(625, 281)]";"[0]"
7;0.0740571022034;"700465";"[(624, 280)]";"[0]"
8;0.016594171524;"177600";"[(361, 265), (623, 280)]";"[0, 0]"
9;0.0164008140564;"177600";"[(622, 281), (359, 265)]";"[0, 0]"
10;0.0163061618805;"177600";"[(621, 280), (362, 265)]";"[0, 0]"
11;0.0158059597015;"177600";"[(621, 279)]";"[0]"
12;0.0164048671722;"177600";"[(622, 277), (362, 260)]";"[0, 0]"
13;0.0162098407745;"177600";"[(621, 275)]";"[0]"
14;0.0162360668182;"177600";"[(621, 272)]";"[0]"
15;0.0149390697479;"177600";"[(623, 268)]";"[0]"
16;0.0160501003265;"177600";"[(622, 270)]";"[0]"
17;0.0160739421844;"177600";"[(622, 270), (359, 253)]";"[0, 0]"
18;0.0160779953003;"177600";"[(623, 273)]";"[0]"
19;0.0160930156708;"177600";"[(622, 271)]";"[0]"
20;0.0161199569702;"177600";"[(622, 276)]";"[0]"
21;0.0160040855408;"177600";"[(619, 277)]";"[0]"
22;0.0135838985443;"177600";"[(620, 280), (360, 264)]";"[0, 0]"
23;0.0163691043854;"177600";"[(359, 267), (620, 285)]";"[0, 0]"
24;0.0164079666138;"177600";"[(357, 267), (618, 285)]";"[0, 0]"
25;0.0162777900696;"177600";"[(358, 269)]";"[0]"
26;0.0160698890686;"177600";"[(618, 290)]";"[0]"
27;0.0163259506226;"177600";"[(613, 288), (352, 268)]";"[0, 0]"
28;0.0162808895111;"177600";"[(346, 263), (610, 283)]";"[0, 0]"
29;0.016165971756;"177600";"[(341, 259), (606, 280)]";"[0, 0]"
30;0.0148701667786;"177600";"[(605, 277), (341, 258)]";"[0, 0]"
31;0.0158669948578;"177600";"[(343, 257)]";"[0]"
32;0.0145130157471;"177600";"[(609, 277)]";"[0]"
33;0.0148899555206;"177600";"[(611, 279), (350, 259)]";"[0, 0]"
34;0.0152580738068;"177600";"[(617, 285), (354, 267)]";"[0, 0]"
35;0.016391992569;"177600";"[(619, 290), (355, 272)]";"[0, 0]"
36;0.0161318778992;"177600";"[(621, 297)]";"[0]"
37;0.0207240581512;"177600";"[(366, 289), (625, 305)]";"[0, 0]"
38;0.0150499343872;"177600";"[(630, 310)]";"[0]"
39;0.010577917099;"177600";"[(380, 302), (637, 317)]";"[0, 0]"
40;0.0152609348297;"177600";"[(386, 311), (645, 326)]";"[0, 0]"
41;0.0149228572845;"177600";"[(646, 328)]";"[0]"
42;0.013514995575;"177600";"[(644, 330), (385, 315)]";"[0, 0]"
43;0.0147747993469;"177600";"[(640, 330), (384, 315)]";"[0, 0]"
44;0.0110809803009;"177600";"[(629, 307)]";"[0]"
45;0.00801277160645;"177600";"[(633, 300)]";"[0]"
46;0.013610124588;"177600";"[(638, 297), (379, 280)]";"[0, 0]"
47;0.0168299674988;"177600";"[(643, 291)]";"[0]"
48;0.0141541957855;"177600";"[(644, 289)]";"[0]"
49;0.128070116043;"2063268";"[]";"[]"
50;0.0148279666901;"177600";"[(375, 267), (633, 287)]";"[0, 0]"
51;0.0156450271606;"177600";"[(364, 264), (626, 285)]";"[0, 0]"
52;0.0163180828094;"177600";"[(358, 261), (620, 281)]";"[0, 0]"
53;0.016322851181;"177600";"[(615, 280), (354, 258)]";"[0, 0]"
