frameno;frametime;recarea;cir_pos;color
0;0.208870887756;"2073600";"[(629, 279), (372, 262)]";"[0, 0]"
1;0.015086889267;"127729";"[(629, 281), (371, 265)]";"[0, 0]"
2;0.00928711891174;"127729";"[(628, 281), (365, 266)]";"[0, 0]"
3;0.0150630474091;"127729";"[(625, 281), (365, 266)]";"[0, 0]"
4;0.00999999046326;"127729";"[(362, 267)]";"[0]"
5;0.0117950439453;"127729";"[(623, 281), (364, 265)]";"[0, 0]"
6;0.0373818874359;"127729";"[(364, 264)]";"[0]"
7;0.0316278934479;"140160";"[(624, 280), (363, 265)]";"[0, 0]"
8;0.0177638530731;"127755";"[(361, 265)]";"[0]"
9;0.0186460018158;"127755";"[(622, 281), (359, 265)]";"[0, 0]"
10;0.018119096756;"127755";"[(362, 265)]";"[0]"
11;0.0192601680756;"127755";"[(621, 279), (360, 261)]";"[0, 0]"
12;0.0186779499054;"127755";"[(622, 277), (362, 260)]";"[0, 0]"
13;0.0120689868927;"127755";"[(621, 275), (359, 259)]";"[0, 0]"
14;0.0203459262848;"127755";"[(620, 273), (361, 255)]";"[0, 0]"
15;0.0183138847351;"127755";"[(362, 252)]";"[0]"
16;0.104646921158;"1135355";"[]";"[]"
17;0.0175111293793;"127755";"[(622, 270), (359, 253)]";"[0, 0]"
18;0.019700050354;"127755";"[(363, 257)]";"[0]"
19;0.0235679149628;"127755";"[(363, 255)]";"[0]"
20;0.0208158493042;"127755";"[(622, 276), (361, 259)]";"[0, 0]"
21;0.0161390304565;"127755";"[(619, 277), (358, 258)]";"[0, 0]"
22;0.0114431381226;"127755";"[(360, 264)]";"[0]"
23;0.0181570053101;"127755";"[(359, 267), (620, 285)]";"[0, 0]"
24;0.0184559822083;"127755";"[(357, 267)]";"[0]"
25;0.0207948684692;"127755";"[(620, 288), (358, 269)]";"[0, 0]"
26;0.0202720165253;"127755";"[(618, 290), (356, 270)]";"[0, 0]"
27;0.0192160606384;"127755";"[(613, 288), (352, 268)]";"[0, 0]"
28;0.0148758888245;"127755";"[(346, 263), (610, 283)]";"[0, 0]"
29;0.0142121315002;"127755";"[(341, 259), (605, 281)]";"[0, 0]"
30;0.018739938736;"127755";"[(341, 258)]";"[0]"
31;0.0202510356903;"127755";"[(343, 257)]";"[0]"
32;0.0165369510651;"127755";"[(347, 258)]";"[0]"
33;0.0193130970001;"127755";"[(611, 279), (350, 259)]";"[0, 0]"
34;0.0115780830383;"127755";"[(354, 267)]";"[0]"
35;0.0184779167175;"127755";"[(355, 272)]";"[0]"
36;0.0203149318695;"127755";"[(621, 297), (362, 280)]";"[0, 0]"
37;0.0230979919434;"127755";"[(366, 289)]";"[0]"
38;0.0194330215454;"127755";"[(631, 310), (367, 293)]";"[0, 0]"
39;0.0185739994049;"127755";"[(380, 302)]";"[0]"
40;0.0180871486664;"127755";"[(386, 311), (645, 326)]";"[0, 0]"
41;0.0196769237518;"127755";"[(648, 329), (390, 314)]";"[0, 0]"
42;0.0187377929688;"127755";"[(644, 330), (385, 315)]";"[0, 0]"
43;0.0192339420319;"127755";"[(640, 330), (384, 315)]";"[0, 0]"
44;0.0193049907684;"127755";"[(629, 307), (370, 292)]";"[0, 0]"
45;0.0479929447174;"127755";"[(226, 518)]";"[0]"
46;0.0376951694489;"109440";"[(379, 280)]";"[0]"
47;0.0406069755554;"177600";"[(382, 275)]";"[0]"
48;0.0208477973938;"177600";"[(386, 273)]";"[0]"
49;0.0240190029144;"177600";"[(639, 289), (377, 270)]";"[0, 0]"
50;0.0147850513458;"177600";"[(375, 267), (633, 287)]";"[0, 0]"
51;0.0198240280151;"177600";"[(364, 264)]";"[0]"
