frameno;frametime;radious;cir_pos;color
0;0.258757829666;"[7.905694]";"[(629, 279)]";"[0]"
1;0.10525894165;"[6.041523, 7.7781744]";"[(629, 281), (371, 265)]";"[0, 0]"
2;0.097550868988;"[6.6708322]";"[(628, 281)]";"[0]"
3;0.115077972412;"[5.7008772]";"[(836, 425)]";"[0]"
4;0.113940000534;"[5.7008772]";"[(362, 267)]";"[0]"
5;0.092973947525;"[7.905694, 6.6708322]";"[(623, 281), (364, 265)]";"[0, 0]"
6;0.111654043198;"[6.6708322]";"[(364, 264)]";"[0]"
7;0.118288993835;"[6.6708322]";"[(624, 280)]";"[0]"
8;0.103040933609;"[5.7008772]";"[(361, 265)]";"[0]"
9;0.121662139893;"[7.3824115, 5.7008772]";"[(622, 281), (359, 265)]";"[0, 0]"
10;0.127001047134;"[6.9641943]";"[(362, 265)]";"[0]"
11;0.102590799332;"[7.7781744]";"[(621, 279)]";"[0]"
12;0.0898420810699;"[6.6708322, 6.6708322]";"[(622, 277), (362, 260)]";"[0, 0]"
13;0.125739097595;"[6.9641943]";"[(621, 275)]";"[0]"
14;0.131918907166;"[6.5192022]";"[(620, 273)]";"[0]"
15;0.129276990891;"[]";"[]";"[]"
16;0.107728004456;"[]";"[]";"[]"
17;0.0914490222931;"[6.6708322, 5.7008772]";"[(622, 270), (359, 253)]";"[0, 0]"
18;0.115435123444;"[]";"[]";"[]"
19;0.119055986404;"[7.6485291]";"[(363, 255)]";"[0]"
20;0.117508888245;"[6.9641943]";"[(622, 276)]";"[0]"
21;0.114186048508;"[6.6708322]";"[(619, 277)]";"[0]"
22;0.092777967453;"[7.1063352]";"[(360, 264)]";"[0]"
23;0.117399930954;"[5.7008772, 6.6708322]";"[(359, 267), (620, 285)]";"[0, 0]"
24;0.124161958694;"[5.7008772]";"[(357, 267)]";"[0]"
25;0.0917661190033;"[7.7781744, 6.6708322]";"[(620, 288), (358, 269)]";"[0, 0]"
26;0.110821008682;"[6.6708322]";"[(618, 290)]";"[0]"
27;0.118667840958;"[6.5192022, 6.6708322]";"[(613, 288), (352, 268)]";"[0, 0]"
28;0.115826845169;"[6.6708322, 6.6708322]";"[(346, 263), (610, 283)]";"[0, 0]"
29;0.115421056747;"[5.7008772, 6.9641943]";"[(341, 259), (606, 280)]";"[0, 0]"
30;0.110322952271;"[5.7008772]";"[(341, 258)]";"[0]"
31;0.116019010544;"[5.7008772]";"[(343, 257)]";"[0]"
32;0.109388113022;"[]";"[]";"[]"
33;0.0917921066284;"[7.7781744, 6.6708322]";"[(611, 279), (350, 259)]";"[0, 0]"
34;0.0897262096405;"[5.7008772]";"[(354, 267)]";"[0]"
35;0.119353055954;"[6.6708322]";"[(355, 272)]";"[0]"
36;0.116083145142;"[6.5192022]";"[(621, 297)]";"[0]"
37;0.119593143463;"[6.6708322]";"[(366, 289)]";"[0]"
38;0.122707128525;"[6.041523]";"[(631, 310)]";"[0]"
39;0.111761808395;"[6.6708322]";"[(380, 302)]";"[0]"
