frameno;frametime;radious;cir_pos;color
0;0.150905847549;"[7.905694]";"[(629.5, 279.5)]";"[0]"
1;0.0951600074768;"[6.041523, 7.7781744, 6.6708322]";"[(629.5, 281.5), (371.5, 265.5), (839.5, 422.5)]";"[0, 0, 0]"
2;0.110748052597;"[6.6708322]";"[(628.5, 281.5)]";"[0]"
3;0.112171888351;"[6.6708322, 5.7008772]";"[(625.5, 281.5), (836.5, 425.5)]";"[0, 0]"
4;0.102828979492;"[6.3639612, 5.7008772]";"[(625.5, 281.5), (362.5, 267.5)]";"[0, 0]"
5;0.109965085983;"[7.905694, 6.6708322]";"[(623.5, 281.5), (364.5, 265.5)]";"[0, 0]"
6;0.11389708519;"[6.041523, 6.6708322, 7.6485291]";"[(625.5, 279.5), (364.5, 264.5), (247.5, 516.5)]";"[0, 0, 0]"
7;0.0897841453552;"[6.6708322]";"[(624.5, 280.5)]";"[0]"
8;0.10817193985;"[5.7008772, 5.7008772]";"[(623.5, 280.5), (361.5, 265.5)]";"[0, 0]"
9;0.111351013184;"[7.3824115, 5.7008772]";"[(622.5, 281.5), (359.5, 265.5)]";"[0, 0]"
10;0.108638048172;"[7.905694, 6.9641943]";"[(621.5, 280.5), (362.5, 265.5)]";"[0, 0]"
11;0.122437000275;"[7.7781744, 8.8600225]";"[(621.5, 279.5), (278.5, 528.5)]";"[0, 0]"
12;0.110893964767;"[6.6708322, 6.6708322]";"[(622.5, 277.5), (362.5, 260.5)]";"[0, 0]"
13;0.112300872803;"[6.9641943]";"[(621.5, 275.5)]";"[0]"
14;0.106558084488;"[6.5192022]";"[(620.5, 273.5)]";"[0]"
15;0.110913038254;"[5.7008772]";"[(623.5, 268.5)]";"[0]"
16;0.111840963364;"[6.041523]";"[(623.5, 268.5)]";"[0]"
17;0.114008903503;"[6.6708322, 5.7008772]";"[(622.5, 270.5), (359.5, 253.5)]";"[0, 0]"
18;0.111034154892;"[6.3639612]";"[(623.5, 273.5)]";"[0]"
19;0.0977449417114;"[6.6708322, 7.6485291]";"[(622.5, 271.5), (363.5, 255.5)]";"[0, 0]"
20;0.0904641151428;"[6.9641943]";"[(622.5, 276.5)]";"[0]"
21;0.109758853912;"[6.6708322]";"[(619.5, 277.5)]";"[0]"
22;0.101782083511;"[6.3639612, 7.1063352]";"[(620.5, 280.5), (360.5, 264.5)]";"[0, 0]"
23;0.110734939575;"[5.7008772, 6.6708322]";"[(359.5, 267.5), (620.5, 285.5)]";"[0, 0]"
24;0.0940680503845;"[5.7008772, 6.041523, 9.5131493]";"[(357.5, 267.5), (618.5, 285.5), (241.5, 516.5)]";"[0, 0, 0]"
25;0.104017019272;"[7.7781744, 6.6708322]";"[(620.5, 288.5), (358.5, 269.5)]";"[0, 0]"
26;0.115480899811;"[6.6708322]";"[(618.5, 290.5)]";"[0]"
27;0.12127494812;"[6.5192022, 6.6708322, 6.6708322]";"[(613.5, 288.5), (822.5, 434.5), (352.5, 268.5)]";"[0, 0, 0]"
28;0.108663082123;"[6.6708322, 6.6708322]";"[(346.5, 263.5), (610.5, 283.5)]";"[0, 0]"
29;0.0937948226929;"[5.7008772, 6.9641943]";"[(341.5, 259.5), (606.5, 280.5)]";"[0, 0]"
30;0.106906890869;"[5.7008772, 5.7008772]";"[(605.5, 277.5), (341.5, 258.5)]";"[0, 0]"
31;0.115721225739;"[7.905694, 5.7008772]";"[(605.5, 277.5), (343.5, 257.5)]";"[0, 0]"
32;0.119651079178;"[5.7008772]";"[(609.5, 277.5)]";"[0]"
33;0.115013122559;"[7.7781744, 6.6708322]";"[(611.5, 279.5), (350.5, 259.5)]";"[0, 0]"
34;0.109407901764;"[5.7008772, 5.7008772]";"[(617.5, 285.5), (354.5, 267.5)]";"[0, 0]"
35;0.113310098648;"[5.7008772, 6.6708322]";"[(619.5, 290.5), (355.5, 272.5)]";"[0, 0]"
36;0.117080211639;"[6.5192022]";"[(621.5, 297.5)]";"[0]"
37;0.0912928581238;"[6.6708322, 5.7008772]";"[(366.5, 289.5), (625.5, 305.5)]";"[0, 0]"
38;0.113525152206;"[6.041523]";"[(631.5, 310.5)]";"[0]"
39;0.155866861343;"[7.905694, 6.6708322]";"[(636.5, 317.5), (380.5, 302.5)]";"[0, 0]"
40;0.131727933884;"[5.7008772, 6.6708322]";"[(386.5, 311.5), (645.5, 326.5)]";"[0, 0]"
41;0.11629486084;"[6.6708322]";"[(646.5, 328.5)]";"[0]"
42;0.12589097023;"[6.6708322, 5.7008772]";"[(644.5, 330.5), (385.5, 315.5)]";"[0, 0]"
43;0.114378929138;"[6.6708322, 6.6708322]";"[(640.5, 330.5), (384.5, 315.5)]";"[0, 0]"
44;0.10489487648;"[9.1923885, 6.041523]";"[(276.5, 568.5), (629.5, 307.5)]";"[0, 0]"
45;0.116621017456;"[5.7008772]";"[(633.5, 300.5)]";"[0]"
46;0.11488699913;"[5.7008772, 5.7008772]";"[(638.5, 297.5), (379.5, 280.5)]";"[0, 0]"
47;0.106766939163;"[]";"[]";"[]"
48;0.0948359966278;"[6.6708322, 6.3639612]";"[(386.5, 273.5), (644.5, 289.5)]";"[0, 0]"
49;0.115940093994;"[6.5192022, 8.6313381, 7.6485291]";"[(639.5, 289.5), (296.5, 534.5), (377.5, 270.5)]";"[0, 0, 0]"
50;0.118317842484;"[6.6708322, 5.7008772]";"[(375.5, 267.5), (633.5, 287.5)]";"[0, 0]"
51;0.117237091064;"[6.6708322, 6.3639612]";"[(364.5, 264.5), (627.5, 283.5)]";"[0, 0]"
52;0.114063024521;"[7.1063352, 6.6708322]";"[(621.5, 281.5), (358.5, 261.5)]";"[0, 0]"
53;0.0929720401764;"[6.041523, 6.6708322]";"[(615.5, 280.5), (354.5, 258.5)]";"[0, 0]"
54;0.0970780849457;"[6.5192022]";"[(616.5, 280.5)]";"[0]"
55;0.108962059021;"[5.7008772, 6.6708322]";"[(623.5, 285.5), (364.5, 263.5)]";"[0, 0]"
56;0.115458011627;"[5.7008772, 6.6708322]";"[(624.5, 281.5), (360.5, 263.5)]";"[0, 0]"
57;0.120377063751;"[7.1063352, 6.6708322, 9.3005381]";"[(623.5, 289.5), (362.5, 270.5), (246.5, 519.5)]";"[0, 0, 0]"
58;0.12028002739;"[6.6708322]";"[(366.5, 267.5)]";"[0]"
59;0.119459867477;"[]";"[]";"[]"
60;0.130847930908;"[]";"[]";"[]"
61;0.111917972565;"[6.6708322]";"[(639.5, 285.5)]";"[0]"
62;0.114796161652;"[6.6708322, 6.6708322]";"[(644.5, 285.5), (386.5, 267.5)]";"[0, 0]"
63;0.116878986359;"[5.7008772, 5.7008772, 5.7008772]";"[(389.5, 267.5), (647.5, 287.5), (855.5, 431.5)]";"[0, 0, 0]"
64;0.0930650234222;"[5.7008772, 7.905694, 8.276473]";"[(855.5, 431.5), (649.5, 285.5), (303.5, 527.5)]";"[0, 0, 0]"
65;0.108787059784;"[6.041523]";"[(640.5, 281.5)]";"[0]"
66;0.0949199199677;"[7.7781744, 5.7008772]";"[(377.5, 258.5), (635.5, 281.5)]";"[0, 0]"
67;0.111224889755;"[5.7008772, 6.6708322]";"[(629.5, 279.5), (370.5, 257.5)]";"[0, 0]"
