frameno;frametime;radious;cir_pos;color
0;0.129004955292;"[7.905694]";"[(629.5, 279.5)]";"[0]"
1;0.0918018817902;"[6.041523, 7.7781744, 6.6708322]";"[(629.5, 281.5), (371.5, 265.5), (839.5, 422.5)]";"[0, 0, 0]"
2;0.0903549194336;"[6.6708322]";"[(628.5, 281.5)]";"[0]"
3;0.113590955734;"[6.6708322, 5.7008772]";"[(625.5, 281.5), (836.5, 425.5)]";"[0, 0]"
4;0.119488954544;"[6.3639612, 5.7008772]";"[(625.5, 281.5), (362.5, 267.5)]";"[0, 0]"
5;0.118782997131;"[7.905694, 6.6708322]";"[(623.5, 281.5), (364.5, 265.5)]";"[0, 0]"
6;0.116477966309;"[6.041523, 6.6708322, 7.6485291]";"[(625.5, 279.5), (364.5, 264.5), (247.5, 516.5)]";"[0, 0, 0]"
7;0.119256019592;"[6.6708322]";"[(624.5, 280.5)]";"[0]"
8;0.111859083176;"[5.7008772, 5.7008772]";"[(623.5, 280.5), (361.5, 265.5)]";"[0, 0]"
9;0.111179828644;"[7.3824115, 5.7008772]";"[(622.5, 281.5), (359.5, 265.5)]";"[0, 0]"
10;0.112557888031;"[7.905694, 6.9641943]";"[(621.5, 280.5), (362.5, 265.5)]";"[0, 0]"
11;0.116087913513;"[7.7781744, 8.8600225]";"[(621.5, 279.5), (278.5, 528.5)]";"[0, 0]"
12;0.100161075592;"[6.6708322, 6.6708322]";"[(622.5, 277.5), (362.5, 260.5)]";"[0, 0]"
13;0.115234136581;"[6.9641943]";"[(621.5, 275.5)]";"[0]"
14;0.09334897995;"[6.5192022]";"[(620.5, 273.5)]";"[0]"
15;0.107258081436;"[5.7008772]";"[(623.5, 268.5)]";"[0]"
16;0.11200594902;"[6.041523]";"[(623.5, 268.5)]";"[0]"
17;0.119849920273;"[6.6708322, 5.7008772]";"[(622.5, 270.5), (359.5, 253.5)]";"[0, 0]"
18;0.12433218956;"[6.3639612]";"[(623.5, 273.5)]";"[0]"
19;0.120765924454;"[6.6708322, 7.6485291]";"[(622.5, 271.5), (363.5, 255.5)]";"[0, 0]"
20;0.0912458896637;"[6.9641943]";"[(622.5, 276.5)]";"[0]"
21;0.107941150665;"[6.6708322]";"[(619.5, 277.5)]";"[0]"
22;0.10414814949;"[6.3639612, 7.1063352]";"[(620.5, 280.5), (360.5, 264.5)]";"[0, 0]"
23;0.112750053406;"[5.7008772, 6.6708322]";"[(359.5, 267.5), (620.5, 285.5)]";"[0, 0]"
24;0.122116088867;"[5.7008772, 6.041523, 9.5131493]";"[(357.5, 267.5), (618.5, 285.5), (241.5, 516.5)]";"[0, 0, 0]"
25;0.117708921432;"[7.7781744, 6.6708322]";"[(620.5, 288.5), (358.5, 269.5)]";"[0, 0]"
26;0.114807128906;"[6.6708322]";"[(618.5, 290.5)]";"[0]"
27;0.106245994568;"[6.5192022, 6.6708322, 6.6708322]";"[(613.5, 288.5), (822.5, 434.5), (352.5, 268.5)]";"[0, 0, 0]"
28;0.116447925568;"[6.6708322, 6.6708322]";"[(346.5, 263.5), (610.5, 283.5)]";"[0, 0]"
29;0.121064901352;"[5.7008772, 6.9641943]";"[(341.5, 259.5), (606.5, 280.5)]";"[0, 0]"
30;0.114987850189;"[5.7008772, 5.7008772]";"[(605.5, 277.5), (341.5, 258.5)]";"[0, 0]"
31;0.123718976974;"[7.905694, 5.7008772]";"[(605.5, 277.5), (343.5, 257.5)]";"[0, 0]"
32;0.11522603035;"[5.7008772]";"[(609.5, 277.5)]";"[0]"
33;0.112416028976;"[7.7781744, 6.6708322]";"[(611.5, 279.5), (350.5, 259.5)]";"[0, 0]"
34;0.0893859863281;"[5.7008772, 5.7008772]";"[(617.5, 285.5), (354.5, 267.5)]";"[0, 0]"
35;0.113039970398;"[5.7008772, 6.6708322]";"[(619.5, 290.5), (355.5, 272.5)]";"[0, 0]"
36;0.0968749523163;"[6.5192022]";"[(621.5, 297.5)]";"[0]"
37;0.0990471839905;"[6.6708322, 5.7008772]";"[(366.5, 289.5), (625.5, 305.5)]";"[0, 0]"
38;0.113820791245;"[6.041523]";"[(631.5, 310.5)]";"[0]"
39;0.121037960052;"[7.905694, 6.6708322]";"[(636.5, 317.5), (380.5, 302.5)]";"[0, 0]"
40;0.109904050827;"[5.7008772, 6.6708322]";"[(386.5, 311.5), (645.5, 326.5)]";"[0, 0]"
41;0.116272926331;"[6.6708322]";"[(646.5, 328.5)]";"[0]"
42;0.135225057602;"[6.6708322, 5.7008772]";"[(644.5, 330.5), (385.5, 315.5)]";"[0, 0]"
43;0.123064994812;"[6.6708322, 6.6708322]";"[(640.5, 330.5), (384.5, 315.5)]";"[0, 0]"
44;0.111795902252;"[9.1923885, 6.041523]";"[(276.5, 568.5), (629.5, 307.5)]";"[0, 0]"
45;0.117218017578;"[5.7008772]";"[(633.5, 300.5)]";"[0]"
46;0.0877130031586;"[5.7008772, 5.7008772]";"[(638.5, 297.5), (379.5, 280.5)]";"[0, 0]"
47;0.112163066864;"[]";"[]";"[]"
48;0.115900993347;"[6.6708322, 6.3639612]";"[(386.5, 273.5), (644.5, 289.5)]";"[0, 0]"
49;0.127947092056;"[6.5192022, 8.6313381, 7.6485291]";"[(639.5, 289.5), (296.5, 534.5), (377.5, 270.5)]";"[0, 0, 0]"
50;0.110341072083;"[6.6708322, 5.7008772]";"[(375.5, 267.5), (633.5, 287.5)]";"[0, 0]"
51;0.118014097214;"[6.6708322, 6.3639612]";"[(364.5, 264.5), (627.5, 283.5)]";"[0, 0]"
52;0.115191936493;"[7.1063352, 6.6708322]";"[(621.5, 281.5), (358.5, 261.5)]";"[0, 0]"
53;0.116322040558;"[6.041523, 6.6708322]";"[(615.5, 280.5), (354.5, 258.5)]";"[0, 0]"
54;0.113651990891;"[6.5192022]";"[(616.5, 280.5)]";"[0]"
55;0.109933853149;"[5.7008772, 6.6708322]";"[(623.5, 285.5), (364.5, 263.5)]";"[0, 0]"
56;0.0902531147003;"[5.7008772, 6.6708322]";"[(624.5, 281.5), (360.5, 263.5)]";"[0, 0]"
57;0.112894058228;"[7.1063352, 6.6708322, 9.3005381]";"[(623.5, 289.5), (362.5, 270.5), (246.5, 519.5)]";"[0, 0, 0]"
58;0.1229159832;"[6.6708322]";"[(366.5, 267.5)]";"[0]"
59;0.112578868866;"[]";"[]";"[]"
60;0.111613988876;"[]";"[]";"[]"
61;0.0918500423431;"[6.6708322]";"[(639.5, 285.5)]";"[0]"
62;0.0962510108948;"[6.6708322, 6.6708322]";"[(644.5, 285.5), (386.5, 267.5)]";"[0, 0]"
63;0.0952069759369;"[5.7008772, 5.7008772, 5.7008772]";"[(389.5, 267.5), (647.5, 287.5), (855.5, 431.5)]";"[0, 0, 0]"
64;0.109177112579;"[5.7008772, 7.905694, 8.276473]";"[(855.5, 431.5), (649.5, 285.5), (303.5, 527.5)]";"[0, 0, 0]"
65;0.0988349914551;"[6.041523]";"[(640.5, 281.5)]";"[0]"
66;0.105888128281;"[7.7781744, 5.7008772]";"[(377.5, 258.5), (635.5, 281.5)]";"[0, 0]"
67;0.115437984467;"[5.7008772, 6.6708322]";"[(629.5, 279.5), (370.5, 257.5)]";"[0, 0]"
68;0.115669965744;"[6.5192022, 6.6708322]";"[(624.5, 278.5), (364.5, 255.5)]";"[0, 0]"
69;0.110163927078;"[6.6708322, 5.7008772]";"[(621.5, 275.5), (360.5, 252.5)]";"[0, 0]"
70;0.115968942642;"[5.7008772, 6.6708322]";"[(621.5, 279.5), (361.5, 254.5)]";"[0, 0]"
71;0.110525131226;"[6.3639612, 5.7008772]";"[(623.5, 277.5), (829.5, 427.5)]";"[0, 0]"
72;0.110061883926;"[6.041523]";"[(624.5, 279.5)]";"[0]"
73;0.120666980743;"[6.3639612, 6.6708322]";"[(624.5, 282.5), (364.5, 260.5)]";"[0, 0]"
74;0.118678092957;"[]";"[]";"[]"
75;0.1169090271;"[6.6708322, 6.6708322]";"[(625.5, 289.5), (366.5, 267.5)]";"[0, 0]"
76;0.100944042206;"[6.9641943, 6.6708322]";"[(623.5, 294.5), (364.5, 272.5)]";"[0, 0]"
77;0.0871598720551;"[5.7008772, 7.905694]";"[(363.5, 275.5), (623.5, 296.5)]";"[0, 0]"
78;0.0899748802185;"[7.905694]";"[(622.5, 297.5)]";"[0]"
79;0.0948300361633;"[5.7008772, 6.6708322]";"[(624.5, 299.5), (364.5, 275.5)]";"[0, 0]"
80;0.11488199234;"[6.041523, 5.7008772]";"[(625.5, 296.5), (831.5, 445.5)]";"[0, 0]"
81;0.119663953781;"[6.6708322]";"[(624.5, 297.5)]";"[0]"
82;0.0896890163422;"[5.7008772, 5.7008772, 6.6708322, 6.6708322]";"[(623.5, 296.5), (830.5, 445.5), (360.5, 275.5), (273.5, 537.5)]";"[0, 0, 0, 0]"
83;0.120961904526;"[6.6708322, 6.6708322]";"[(624.5, 298.5), (363.5, 276.5)]";"[0, 0]"
84;0.118268966675;"[6.6708322, 6.6708322]";"[(623.5, 297.5), (364.5, 277.5)]";"[0, 0]"
85;0.112546920776;"[5.7008772, 8.276473]";"[(625.5, 297.5), (275.5, 539.5)]";"[0, 0]"
86;0.0903198719025;"[6.6708322, 5.7008772]";"[(627.5, 298.5), (366.5, 276.5)]";"[0, 0]"
87;0.105432033539;"[5.7008772, 6.6708322]";"[(627.5, 297.5), (368.5, 277.5)]";"[0, 0]"
88;0.0924918651581;"[6.9641943, 6.5192022]";"[(627.5, 299.5), (368.5, 278.5)]";"[0, 0]"
89;0.117686986923;"[7.905694, 6.6708322]";"[(627.5, 303.5), (370.5, 282.5)]";"[0, 0]"
