frameno;frametime;radious;cir_pos;color
0;0.0943198204041;"[7.905694]";"[(629, 279)]";"[0]"
1;0.0954899787903;"[6.041523, 7.7781744]";"[(629, 281), (371, 265)]";"[0, 0]"
2;0.102105140686;"[6.6708322]";"[(628, 281)]";"[0]"
3;0.110016107559;"[6.6708322, 5.7008772]";"[(625, 281), (836, 425)]";"[0, 0]"
4;0.0921318531036;"[5.7008772]";"[(362, 267)]";"[0]"
5;0.0957767963409;"[7.905694, 6.6708322]";"[(623, 281), (364, 265)]";"[0, 0]"
6;0.0985569953918;"[6.041523, 6.6708322]";"[(625, 279), (364, 264)]";"[0, 0]"
7;0.112665891647;"[6.6708322]";"[(624, 280)]";"[0]"
8;0.115212917328;"[5.7008772]";"[(361, 265)]";"[0]"
9;0.118574142456;"[7.3824115, 5.7008772]";"[(622, 281), (359, 265)]";"[0, 0]"
10;0.0973770618439;"[7.905694, 6.9641943]";"[(621, 280), (362, 265)]";"[0, 0]"
11;0.091411113739;"[7.7781744]";"[(621, 279)]";"[0]"
12;0.104948997498;"[6.6708322, 6.6708322]";"[(622, 277), (362, 260)]";"[0, 0]"
13;0.0940189361572;"[6.9641943]";"[(621, 275)]";"[0]"
14;0.10741186142;"[6.5192022]";"[(620, 273)]";"[0]"
15;0.110914945602;"[]";"[]";"[]"
16;0.0889358520508;"[]";"[]";"[]"
17;0.114251852036;"[6.6708322, 5.7008772]";"[(622, 270), (359, 253)]";"[0, 0]"
18;0.089704990387;"[6.3639612]";"[(623, 273)]";"[0]"
19;0.115411043167;"[6.6708322, 7.6485291]";"[(622, 271), (363, 255)]";"[0, 0]"
20;0.0910820960999;"[6.9641943]";"[(622, 276)]";"[0]"
21;0.111232995987;"[6.6708322]";"[(619, 277)]";"[0]"
22;0.0912179946899;"[6.3639612, 7.1063352]";"[(620, 280), (360, 264)]";"[0, 0]"
23;0.108069896698;"[5.7008772, 6.6708322]";"[(359, 267), (620, 285)]";"[0, 0]"
24;0.111864089966;"[5.7008772]";"[(357, 267)]";"[0]"
25;0.0917539596558;"[7.7781744, 6.6708322]";"[(620, 288), (358, 269)]";"[0, 0]"
26;0.111335039139;"[6.6708322]";"[(618, 290)]";"[0]"
27;0.119654893875;"[6.5192022, 6.6708322, 6.6708322]";"[(613, 288), (822, 434), (352, 268)]";"[0, 0, 0]"
28;0.118155002594;"[6.6708322, 6.6708322]";"[(346, 263), (610, 283)]";"[0, 0]"
29;0.120553016663;"[5.7008772, 6.9641943]";"[(341, 259), (606, 280)]";"[0, 0]"
30;0.0931010246277;"[5.7008772]";"[(341, 258)]";"[0]"
31;0.106770038605;"[7.905694, 5.7008772]";"[(605, 277), (343, 257)]";"[0, 0]"
32;0.11091709137;"[]";"[]";"[]"
33;0.119605064392;"[7.7781744, 6.6708322]";"[(611, 279), (350, 259)]";"[0, 0]"
34;0.119542121887;"[5.7008772]";"[(354, 267)]";"[0]"
35;0.124194860458;"[5.7008772, 6.6708322]";"[(619, 290), (355, 272)]";"[0, 0]"
36;0.122269868851;"[6.5192022]";"[(621, 297)]";"[0]"
37;0.1239361763;"[6.6708322]";"[(366, 289)]";"[0]"
38;0.11373591423;"[6.041523]";"[(631, 310)]";"[0]"
