ann_cir;frameno;red_tp;green_tp;red_fp;green_fp;red_fn;green_fn;Frame;rfp_con;gfp_con;color
2;0;1;0;0;0;0;0;True;0;0;0
2;20;1;0;0;0;0;0;True;0;0;0
2;40;2;0;0;0;0;0;True;0;0;0
2;60;0;0;0;0;2;0;False;0;0;0
2;80;0;0;0;0;2;0;False;0;0;0
2;100;2;0;0;0;0;0;True;0;0;0
2;120;1;0;0;0;0;0;True;0;0;0
2;140;2;0;0;0;0;0;True;0;0;0
2;160;0;0;0;0;2;0;False;0;0;0
2;180;1;0;0;0;0;0;True;0;0;0
2;200;1;0;0;0;0;0;True;0;0;0
2;220;2;0;0;0;0;0;True;0;0;0
2;240;1;0;0;0;0;0;True;0;0;0
2;260;1;0;0;0;0;0;True;0;0;0
2;280;0;0;0;0;2;0;False;0;0;0
2;300;2;0;0;0;0;0;True;0;0;0
2;320;1;0;0;0;0;0;True;0;0;0
2;340;1;0;0;0;0;0;True;0;0;0
2;360;2;0;0;0;0;0;True;0;0;0
2;380;0;0;0;0;2;0;False;0;0;0
2;400;1;0;0;0;0;0;True;0;0;0
2;420;1;0;0;0;0;0;True;0;0;0
2;440;2;0;0;0;0;0;True;0;0;0
2;460;0;0;0;0;2;0;False;0;0;0
2;480;0;1;0;0;0;0;True;0;0;1
2;500;0;2;0;0;0;0;True;0;0;1
2;520;0;1;0;0;0;0;True;0;0;1
2;540;0;2;0;0;0;0;True;0;0;1
2;560;0;1;0;0;0;0;True;0;0;1
2;580;0;2;0;0;0;0;True;0;0;1
2;600;0;2;0;0;0;0;True;0;0;1
2;620;0;1;0;0;0;0;True;0;0;1
2;640;0;2;0;0;0;0;True;0;0;1
2;660;0;0;0;0;0;2;False;0;0;1
2;680;0;2;0;0;0;0;True;0;0;1
2;700;0;0;0;0;0;2;False;0;0;1
1;720;0;0;0;1;0;0;False;0;0;1
1;740;0;1;0;1;0;0;True;0;0;1
2;760;0;2;0;0;0;0;True;0;0;1
1;780;0;0;0;1;0;0;False;0;0;1
1;800;0;0;0;0;0;1;False;0;0;1
1;820;0;0;0;0;0;1;False;0;0;1
1;840;0;1;0;0;0;0;True;0;0;1
1;860;0;0;0;0;0;1;False;0;0;1
1;880;0;0;0;0;0;1;False;0;0;1
1;900;0;0;0;0;0;1;False;0;0;1
1;920;0;0;0;0;0;1;False;0;0;1
2;1180;2;0;0;0;0;0;True;0;0;0
2;1200;1;0;0;0;0;0;True;0;0;0
2;1220;1;0;0;0;0;0;True;0;0;0
2;1240;1;0;0;0;0;0;True;0;0;0
2;1260;1;0;0;0;0;0;True;0;0;0
2;1280;1;0;0;0;0;0;True;0;0;0
2;1300;1;0;0;0;0;0;True;0;0;0
2;1320;2;0;0;0;0;0;True;0;0;0
2;1340;1;0;0;0;0;0;True;0;0;0
2;1360;1;0;0;0;0;0;True;0;0;0
2;1380;0;0;0;0;2;0;False;0;0;0
2;1400;1;0;0;0;0;0;True;0;0;0
2;1420;1;0;0;0;0;0;True;0;0;0
2;1440;2;0;0;0;0;0;True;0;0;0
2;1460;1;0;0;0;0;0;True;0;0;0
2;1480;2;0;0;0;0;0;True;0;0;0
2;1500;1;0;0;0;0;0;True;0;0;0
2;1520;1;0;0;0;0;0;True;0;0;0
2;1540;1;0;0;0;0;0;True;0;0;0
2;1560;2;0;0;0;0;0;True;0;0;0
2;1580;1;0;0;0;0;0;True;0;0;0
2;1600;1;0;0;0;0;0;True;0;0;0
2;1620;1;0;0;0;0;0;True;0;0;0
