frameno;frametime;cir_pos;color
0;0.138135910034;"[(788.5, 380.5)]";"[1]"
1;0.0868029594421;"[(773.5, 355.5), (522.5, 380.5)]";"[1, 1]"
2;0.0585260391235;"[(734.5, 351.5)]";"[1]"
3;0.0656609535217;"[(779.5, 393.5)]";"[1]"
4;0.0890250205994;"[(847.5, 385.5)]";"[1]"
5;0.0562119483948;"[(723.5, 352.5)]";"[1]"
6;0.0574371814728;"[(756.5, 352.5)]";"[1]"
7;0.0657689571381;"[(164.5, 391.5), (764.5, 372.5)]";"[0, 1]"
8;0.0860729217529;"[(748.5, 342.5), (490.5, 368.5)]";"[1, 1]"
9;0.0848429203033;"[(745.5, 340.5)]";"[1]"
10;0.0520391464233;"[(140.5, 379.5), (827.5, 370.5)]";"[1, 1]"
11;0.058296918869;"[(138.5, 394.5), (476.5, 372.5), (699.5, 343.5)]";"[0, 1, 1]"
12;0.064444065094;"[(103.5, 390.5), (471.5, 378.5), (745.5, 380.5)]";"[0, 1, 1]"
13;0.0703330039978;"[(742.5, 382.5), (466.5, 379.5), (115.5, 387.5)]";"[1, 1, 1]"
14;0.0608410835266;"[(1126.5, 300.5), (728.5, 356.5), (462.5, 378.5), (105.5, 385.5)]";"[1, 1, 1, 1]"
15;0.0624370574951;"[(726.5, 352.5), (1129.5, 296.5)]";"[1, 1]"
16;0.0702850818634;"[(687.5, 342.5)]";"[1]"
17;0.0832190513611;"[(687.5, 340.5)]";"[1]"
18;0.0946569442749;"[(726.5, 343.5)]";"[1]"
19;0.0866141319275;"[(686.5, 340.5)]";"[1]"
20;0.0583901405334;"[(46.5, 382.5), (736.5, 372.5)]";"[0, 1]"
21;0.0604231357574;"[(43.5, 380.5), (726.5, 344.5)]";"[0, 1]"
22;0.07834815979;"[(37.5, 381.5), (726.5, 341.5)]";"[0, 1]"
23;0.0856590270996;"[(686.5, 336.5), (449.5, 367.5)]";"[1, 1]"
24;0.0868921279907;"[(28.5, 388.5), (727.5, 341.5)]";"[0, 1]"
25;0.0584230422974;"[(15.5, 389.5), (716.5, 372.5)]";"[0, 1]"
26;0.0678470134735;"[(10.5, 394.5), (444.5, 373.5), (685.5, 338.5)]";"[0, 1, 1]"
27;0.076159954071;"[(726.5, 339.5)]";"[1]"
28;0.0879230499268;"[(684.5, 331.5), (440.5, 366.5)]";"[1, 1]"
29;0.0558619499207;"[(684.5, 327.5)]";"[1]"
30;0.052081823349;"[(733.5, 395.5), (728.5, 330.5), (439.5, 361.5)]";"[0, 1, 1]"
31;0.0674910545349;"[(686.5, 323.5)]";"[1]"
32;0.0508089065552;"[(686.5, 321.5)]";"[1]"
33;0.0658769607544;"[(729.5, 327.5)]";"[1]"
34;0.0680470466614;"[(686.5, 328.5), (432.5, 357.5)]";"[1, 1]"
35;0.0848031044006;"[(729.5, 335.5)]";"[1]"
36;0.0874910354614;"[(686.5, 333.5), (429.5, 363.5)]";"[1, 1]"
37;0.0868179798126;"[(832.5, 386.5), (730.5, 339.5)]";"[0, 1]"
38;0.0655539035797;"[(732.5, 335.5)]";"[1]"
39;0.0651829242706;"[(689.5, 324.5)]";"[1]"
40;0.0516428947449;"[(690.5, 318.5)]";"[1]"
41;0.0726871490479;"[(690.5, 317.5)]";"[1]"
42;0.0879428386688;"[(691.5, 317.5), (424.5, 349.5)]";"[1, 1]"
43;0.0558049678802;"[(841.5, 360.5)]";"[1]"
44;0.0718429088593;"[(692.5, 319.5)]";"[1]"
45;0.0528109073639;"[(741.5, 325.5)]";"[1]"
46;0.0693678855896;"[(742.5, 325.5)]";"[1]"
47;0.0831229686737;"[(744.5, 329.5)]";"[1]"
48;0.0879688262939;"[(852.5, 374.5), (697.5, 332.5)]";"[1, 1]"
49;0.0856409072876;"[(697.5, 335.5)]";"[1]"
50;0.0888829231262;"[(748.5, 335.5)]";"[1]"
51;0.0854980945587;"[(702.5, 321.5), (860.5, 364.5)]";"[1, 1]"
52;0.0874710083008;"[(703.5, 312.5)]";"[1]"
53;0.080286026001;"[(755.5, 312.5), (1009.5, 350.5)]";"[1, 1]"
54;0.0854668617249;"[(757.5, 307.5), (416.5, 336.5)]";"[1, 1]"
55;0.0849149227142;"[(708.5, 294.5), (871.5, 340.5)]";"[1, 1]"
56;0.0579400062561;"[(710.5, 297.5), (874.5, 343.5), (415.5, 333.5)]";"[1, 1, 1]"
57;0.0635960102081;"[(759.5, 308.5)]";"[1]"
58;0.0553119182587;"[(759.5, 320.5)]";"[1]"
59;0.0631840229034;"[(710.5, 323.5), (876.5, 372.5), (409.5, 360.5)]";"[1, 1, 1]"
60;0.0823900699615;"[(710.5, 320.5), (406.5, 358.5), (880.5, 369.5)]";"[1, 1, 1]"
61;0.0848560333252;"[(763.5, 319.5)]";"[1]"
62;0.0586709976196;"[(711.5, 310.5), (884.5, 359.5)]";"[1, 1]"
63;0.06618309021;"[(711.5, 308.5), (884.5, 358.5)]";"[1, 1]"
64;0.0717799663544;"[(765.5, 314.5)]";"[1]"
65;0.0517601966858;"[(888.5, 358.5), (712.5, 308.5)]";"[1, 1]"
66;0.0648880004883;"[(889.5, 350.5), (712.5, 298.5)]";"[1, 1]"
67;0.0602200031281;"[(767.5, 300.5), (391.5, 329.5)]";"[1, 1]"
