frameno;no_of_circles;bounding_box_position;color
0;2;"[[[566, 285], [595, 316]], [[809, 303], [835, 327]]]";0
10;2;"[[[565, 286], [598, 316]], [[809, 299], [837, 327]]]";0
20;2;"[[[580, 289], [611, 315]], [[819, 295], [848, 326]]]";0
30;2;"[[[580, 271], [608, 299]], [[823, 284], [848, 311]]]";0
40;2;"[[[585, 255], [622, 281]], [[828, 268], [860, 292]]]";0
50;2;"[[[571, 249], [603, 278]], [[814, 262], [846, 289]]]";0
60;2;"[[[577, 235], [607, 264]], [[819, 248], [848, 273]]]";0
70;2;"[[[566, 225], [601, 254]], [[812, 240], [843, 265]]]";0
80;2;"[[[545, 223], [574, 257]], [[791, 240], [820, 270]]]";0
90;2;"[[[518, 220], [552, 254]], [[769, 242], [797, 269]]]";0
100;2;"[[[513, 217], [545, 249]], [[762, 236], [789, 262]]]";0
110;2;"[[[515, 224], [546, 253]], [[761, 242], [791, 272]]]";0
120;2;"[[[509, 227], [537, 254]], [[757, 248], [786, 275]]]";0
130;2;"[[[501, 219], [531, 251]], [[748, 238], [780, 269]]]";0
140;2;"[[[518, 236], [547, 262]], [[764, 254], [794, 282]]]";0
150;2;"[[[523, 226], [555, 256]], [[772, 243], [797, 269]]]";0
160;2;"[[[512, 222], [546, 254]], [[760, 234], [790, 262]]]";0
170;2;"[[[503, 216], [534, 246]], [[753, 233], [780, 259]]]";0
180;2;"[[[501, 224], [530, 257]], [[746, 242], [777, 270]]]";0
190;2;"[[[497, 228], [530, 261]], [[746, 246], [773, 276]]]";0
200;2;"[[[512, 241], [543, 273]], [[757, 259], [792, 289]]]";0
210;2;"[[[508, 232], [538, 264]], [[755, 247], [781, 277]]]";0
220;2;"[[[502, 248], [533, 280]], [[747, 259], [780, 288]]]";0
230;2;"[[[506, 236], [539, 270]], [[755, 252], [785, 281]]]";0
240;2;"[[[518, 237], [546, 272]], [[768, 257], [797, 282]]]";0
250;2;"[[[531, 227], [559, 265]], [[777, 247], [808, 274]]]";0
260;2;"[[[527, 235], [556, 263]], [[775, 247], [802, 274]]]";0
270;2;"[[[496, 227], [530, 259]], [[744, 240], [773, 269]]]";0
280;2;"[[[484, 223], [510, 252]], [[732, 237], [758, 266]]]";0
290;2;"[[[478, 218], [507, 253]], [[729, 237], [757, 266]]]";0
300;2;"[[[455, 174], [481, 204]], [[707, 190], [731, 220]]]";0
310;2;"[[[465, 125], [497, 157]], [[717, 142], [748, 172]]]";0
320;2;"[[[473, 95], [501, 123]], [[728, 110], [755, 139]]]";0
330;2;"[[[484, 113], [513, 145]], [[738, 131], [768, 155]]]";0
340;2;"[[[503, 175], [533, 208]], [[753, 195], [782, 227]]]";0
350;2;"[[[511, 257], [537, 283]], [[760, 278], [786, 305]]]";1
360;2;"[[[502, 289], [529, 320]], [[747, 310], [781, 339]]]";1
370;2;"[[[501, 300], [529, 329]], [[745, 320], [779, 350]]]";1
380;2;"[[[494, 301], [518, 332]], [[740, 319], [766, 346]]]";1
390;2;"[[[412, 259], [443, 285]], [[666, 280], [699, 306]]]";1
400;2;"[[[326, 262], [355, 290]], [[591, 278], [623, 307]]]";1
410;2;"[[[239, 266], [266, 298]], [[515, 278], [543, 314]]]";1
420;2;"[[[339, 230], [366, 259]], [[602, 246], [637, 276]]]";1
430;2;"[[[388, 269], [418, 299]], [[649, 288], [682, 319]]]";1
440;2;"[[[355, 270], [378, 297]], [[624, 295], [650, 326]]]";1
450;2;"[[[318, 252], [345, 280]], [[593, 271], [627, 303]]]";1
460;2;"[[[293, 228], [325, 258]], [[573, 240], [607, 272]]]";1
470;2;"[[[265, 194], [293, 226]], [[558, 225], [594, 258]]]";1
480;2;"[[[257, 170], [286, 202]], [[555, 197], [585, 230]]]";1
490;2;"[[[293, 272], [323, 302]], [[587, 283], [617, 313]]]";1
500;2;"[[[301, 166], [327, 199]], [[601, 189], [631, 222]]]";1
510;2;"[[[210, 96], [240, 129]], [[527, 126], [561, 161]]]";1
520;2;"[[[431, 209], [458, 237]], [[720, 217], [752, 249]]]";1
530;2;"[[[672, 175], [701, 205]], [[954, 187], [988, 221]]]";1
540;2;"[[[853, 177], [879, 207]], [[1133, 182], [1167, 216]]]";1
550;2;"[[[998, 210], [1023, 244]], [[1286, 208], [1310, 238]]]";1
560;1;"[[[1138, 172], [1166, 204]]]";1
570;1;"[[[1146, 222], [1175, 253]]]";1
580;0;"[]";1
590;0;"[]";1
600;1;"[[[1257, 273], [1286, 302]]]";1
610;1;"[[[1017, 239], [1042, 272]]]";1
620;1;"[[[1093, 191], [1130, 228]]]";1
630;2;"[[[478, 191], [515, 224]], [[817, 217], [850, 257]]]";1
640;2;"[[[90, 215], [129, 253]], [[486, 240], [526, 281]]]";1
650;2;"[[[53, 133], [97, 171]], [[466, 153], [508, 196]]]";1
660;1;"[[[452, 268], [492, 310]]]";1
670;1;"[[[534, 489], [570, 526]]]";1
680;1;"[[[613, 579], [655, 621]]]";1
690;1;"[[[598, 682], [640, 715]]]";1
700;1;"[[[617, 634], [656, 676]]]";1
710;1;"[[[630, 345], [682, 394]]]";1
720;1;"[[[601, 189], [649, 241]]]";1
730;1;"[[[504, 133], [556, 180]]]";1
740;1;"[[[653, 142], [706, 190]]]";1
750;1;"[[[777, 240], [831, 288]]]";1
760;1;"[[[873, 265], [920, 311]]]";1
770;1;"[[[997, 288], [1046, 334]]]";1
780;1;"[[[919, 316], [973, 366]]]";1
790;1;"[[[612, 298], [664, 350]]]";1
800;1;"[[[480, 241], [534, 299]]]";1
810;1;"[[[319, 244], [375, 309]]]";1
820;0;"[]";1
830;0;"[]";1
840;0;"[]";1
850;0;"[]";1
860;0;"[]";1
870;0;"[]";1
880;0;"[]";1
890;0;"[]";1
900;0;"[]";1
910;1;"[[[30, 8], [228, 125]]]";1
920;0;"[]";1
930;0;"[]";1
940;0;"[]";1
950;0;"[]";1
960;0;"[]";1
970;0;"[]";1
980;0;"[]";1
990;0;"[]";1
1000;0;"[]";1
1010;0;"[]";1
1020;0;"[]";1
1030;0;"[]";1
1040;0;"[]";1
1050;0;"[]";1
1060;0;"[]";1
1070;0;"[]";1
1080;0;"[]";1
1090;1;"[[[148, 343], [178, 378]]]";0
1100;2;"[[[158, 332], [189, 370]], [[417, 362], [442, 393]]]";0
1110;2;"[[[425, 329], [450, 362]], [[655, 352], [677, 382]]]";0
1120;2;"[[[566, 317], [589, 346]], [[786, 336], [809, 360]]]";0
1130;2;"[[[567, 341], [595, 364]], [[787, 360], [811, 383]]]";0
1140;2;"[[[572, 356], [600, 383]], [[793, 369], [817, 398]]]";0
1150;2;"[[[573, 343], [600, 374]], [[795, 361], [817, 387]]]";0
1160;2;"[[[564, 346], [595, 373]], [[785, 366], [808, 391]]]";0
1170;2;"[[[573, 354], [598, 381]], [[792, 368], [817, 398]]]";0
1180;2;"[[[576, 358], [605, 387]], [[798, 377], [828, 400]]]";0
1190;2;"[[[561, 381], [586, 408]], [[779, 397], [804, 427]]]";0
1200;2;"[[[568, 413], [593, 444]], [[785, 431], [810, 456]]]";0
1210;2;"[[[582, 464], [605, 494]], [[802, 483], [825, 509]]]";0
1220;2;"[[[589, 500], [611, 528]], [[808, 517], [833, 546]]]";0
1230;2;"[[[586, 566], [612, 595]], [[805, 587], [829, 615]]]";0
1240;2;"[[[588, 603], [616, 630]], [[806, 619], [830, 643]]]";0
1250;0;"[]";0
1260;0;"[]";0
1270;0;"[]";0
1280;2;"[[[543, 580], [569, 614]], [[764, 606], [790, 633]]]";0
1290;2;"[[[542, 451], [567, 480]], [[766, 469], [792, 495]]]";0
1300;2;"[[[12, 38], [12, 38]], [[738, 343], [761, 363]]]";0
1310;2;"[[[510, 138], [540, 163]], [[739, 158], [762, 181]]]";0
1320;2;"[[[511, 138], [535, 157]], [[740, 154], [769, 176]]]";0
1330;2;"[[[510, 116], [539, 140]], [[741, 136], [766, 156]]]";0
1340;2;"[[[503, 75], [533, 98]], [[736, 92], [763, 113]]]";0
1350;2;"[[[529, 135], [558, 159]], [[760, 153], [785, 176]]]";0
1360;2;"[[[556, 292], [587, 316]], [[782, 315], [805, 339]]]";0
1370;2;"[[[585, 305], [614, 326]], [[807, 325], [832, 346]]]";0
1380;2;"[[[683, 328], [715, 354]], [[903, 346], [927, 370]]]";0
1390;2;"[[[804, 358], [829, 381]], [[1018, 372], [1039, 394]]]";0
1400;2;"[[[950, 369], [975, 392]], [[1165, 379], [1190, 400]]]";0
1410;2;"[[[1062, 401], [1090, 425]], [[1278, 406], [1303, 432]]]";0
1420;1;"[[[1153, 398], [1182, 421]]]";0
1430;1;"[[[1197, 394], [1225, 416]]]";0
1440;1;"[[[1135, 386], [1167, 414]]]";0
1450;2;"[[[953, 391], [986, 413]], [[1164, 404], [1189, 425]]]";0
1460;2;"[[[837, 362], [864, 390]], [[1046, 381], [1076, 404]]]";0
1470;2;"[[[741, 353], [774, 382]], [[958, 372], [984, 395]]]";0
1480;2;"[[[641, 351], [671, 379]], [[860, 373], [884, 402]]]";0
1490;2;"[[[544, 347], [574, 376]], [[767, 371], [793, 397]]]";0
1500;2;"[[[427, 355], [460, 383]], [[659, 381], [690, 406]]]";0
1510;2;"[[[261, 320], [293, 347]], [[507, 346], [534, 372]]]";0
1520;2;"[[[152, 323], [185, 351]], [[412, 354], [443, 384]]]";0
1530;2;"[[[89, 340], [126, 374]], [[353, 368], [386, 396]]]";0
1540;2;"[[[116, 333], [146, 364]], [[380, 369], [411, 396]]]";0
1550;2;"[[[191, 336], [218, 369]], [[442, 366], [471, 395]]]";0
