frameno;frametime;recarea;cir_pos;color
0;0.156827926636;"2073600";"[[820, 314], [580, 300]]";"[0, 0]"
1;0.00976014137268;"121920";"[[819, 313], [576, 299]]";"[0, 0]"
2;0.011932849884;"121920";"[[818, 313], [577, 298]]";"[0, 0]"
3;0.0107941627502;"121920";"[[817, 311], [577, 297]]";"[0, 0]"
4;0.0113050937653;"121920";"[[816, 308], [577, 295]]";"[0, 0]"
5;0.0053551197052;"121920";"[[817, 307]]";"[0]"
6;0.00911498069763;"121920";"[[819, 308]]";"[0]"
7;0.00730609893799;"121920";"[[819, 311], [576, 300]]";"[0, 0]"
8;0.00952911376953;"121920";"[[819, 313], [579, 302]]";"[0, 0]"
9;0.0129539966583;"121920";"[[820, 315], [580, 300]]";"[0, 0]"
10;0.0114388465881;"121920";"[[820, 312], [580, 299]]";"[0, 0]"
11;0.0115640163422;"121920";"[[823, 309], [583, 297]]";"[0, 0]"
12;0.0121698379517;"121920";"[[825, 307], [584, 295]]";"[0, 0]"
13;0.0076539516449;"121920";"[[823, 307]]";"[0]"
14;0.00973105430603;"121920";"[[822, 304]]";"[0]"
15;0.00546216964722;"121920";"[[821, 303], [584, 290]]";"[0, 0]"
16;0.0102908611298;"121920";"[[823, 303]]";"[0]"
17;0.00594902038574;"121920";"[[827, 305], [588, 293]]";"[0, 0]"
18;0.00889086723328;"121920";"[[591, 296], [831, 308]]";"[0, 0]"
19;0.00808095932007;"121920";"[[830, 310], [591, 298]]";"[0, 0]"
20;0.0097119808197;"121920";"[[832, 311]]";"[0]"
21;0.0116620063782;"121920";"[[831, 313], [594, 300]]";"[0, 0]"
22;0.00850605964661;"121920";"[[835, 311], [596, 300]]";"[0, 0]"
23;0.00608491897583;"121920";"[[832, 312], [594, 298]]";"[0, 0]"
24;0.0109550952911;"121920";"[[830, 309], [591, 296]]";"[0, 0]"
25;0.0110580921173;"121920";"[[828, 307], [585, 292]]";"[0, 0]"
26;0.0125739574432;"121920";"[[827, 303], [585, 290]]";"[0, 0]"
27;0.00581312179565;"121920";"[[829, 301], [588, 287]]";"[0, 0]"
28;0.0059130191803;"121920";"[[830, 300], [589, 287]]";"[0, 0]"
29;0.0061981678009;"121920";"[[833, 299], [593, 286]]";"[0, 0]"
30;0.0105199813843;"121920";"[[833, 297], [593, 284]]";"[0, 0]"
31;0.0121691226959;"121920";"[[832, 293]]";"[0]"
32;0.00843501091003;"121920";"[[831, 293], [591, 280]]";"[0, 0]"
33;0.0108370780945;"121920";"[[831, 291], [591, 279]]";"[0, 0]"
34;0.0121209621429;"121920";"[[830, 289], [590, 278]]";"[0, 0]"
35;0.0121290683746;"121920";"[[830, 293]]";"[0]"
36;0.012579202652;"121920";"[[829, 291], [590, 278]]";"[0, 0]"
37;0.0083339214325;"121920";"[[827, 287], [588, 275]]";"[0, 0]"
38;0.0111978054047;"121920";"[[829, 285], [590, 273]]";"[0, 0]"
39;0.0121829509735;"121920";"[[834, 282], [594, 271]]";"[0, 0]"
40;0.012510061264;"121920";"[[841, 281]]";"[0]"
41;0.00852584838867;"121920";"[[607, 272], [846, 282]]";"[0, 0]"
42;0.0122718811035;"121920";"[[847, 283], [608, 273]]";"[0, 0]"
43;0.0123929977417;"121920";"[[846, 286], [607, 273]]";"[0, 0]"
44;0.0132849216461;"121920";"[[599, 272]]";"[0]"
45;0.0123329162598;"121920";"[[831, 282], [592, 270]]";"[0, 0]"
46;0.0084810256958;"121920";"[[585, 270], [826, 282]]";"[0, 0]"
47;0.0124809741974;"121920";"[[824, 282], [583, 270]]";"[0, 0]"
48;0.00953412055969;"121920";"[[586, 269], [825, 282]]";"[0, 0]"
49;0.00926303863525;"121920";"[[826, 278]]";"[0]"
50;0.011314868927;"121920";"[[827, 275], [586, 262]]";"[0, 0]"
51;0.0111758708954;"121920";"[[825, 268], [584, 259]]";"[0, 0]"
52;0.0114729404449;"121920";"[[823, 269], [582, 257]]";"[0, 0]"
53;0.00957298278809;"121920";"[[821, 267], [582, 257]]";"[0, 0]"
54;0.00999593734741;"121920";"[[824, 268], [583, 256]]";"[0, 0]"
55;0.0096390247345;"121920";"[[825, 265], [583, 256]]";"[0, 0]"
56;0.012127161026;"121920";"[[827, 263]]";"[0]"
57;0.00854301452637;"121920";"[[829, 263], [586, 252]]";"[0, 0]"
58;0.00599789619446;"121920";"[[831, 263]]";"[0]"
59;0.00610399246216;"121920";"[[831, 260], [587, 250]]";"[0, 0]"
60;0.00604915618896;"121920";"[[832, 261], [589, 249]]";"[0, 0]"
61;0.0113379955292;"121920";"[[832, 259], [589, 250]]";"[0, 0]"
62;0.00862812995911;"121920";"[[591, 248]]";"[0]"
63;0.011351108551;"121920";"[[831, 256], [587, 247]]";"[0, 0]"
64;0.0117938518524;"121920";"[[829, 255]]";"[0]"
65;0.0124509334564;"121920";"[[828, 254], [582, 243]]";"[0, 0]"
66;0.00892090797424;"121920";"[[585, 242], [826, 255]]";"[0, 0]"
67;0.0106599330902;"121920";"[[584, 242], [825, 253]]";"[0, 0]"
68;0.00945687294006;"121920";"[[585, 242], [825, 253]]";"[0, 0]"
69;0.00607299804688;"121920";"[[825, 253]]";"[0]"
70;0.0067720413208;"121920";"[[823, 251], [579, 240]]";"[0, 0]"
71;0.0111448764801;"121920";"[[822, 253]]";"[0]"
72;0.0114901065826;"121920";"[[821, 250]]";"[0]"
73;0.0104398727417;"121920";"[[818, 252], [577, 240]]";"[0, 0]"
74;0.00770592689514;"121920";"[[816, 252], [575, 240]]";"[0, 0]"
75;0.00615000724792;"121920";"[[816, 252]]";"[0]"
76;0.0058000087738;"121920";"[[816, 255]]";"[0]"
77;0.00706791877747;"121920";"[[572, 242], [814, 256]]";"[0, 0]"
78;0.0108759403229;"121920";"[[810, 257], [568, 242]]";"[0, 0]"
79;0.0103650093079;"121920";"[[805, 255], [563, 241]]";"[0, 0]"
80;0.0119252204895;"121920";"[[804, 256], [561, 240]]";"[0, 0]"
81;0.0112988948822;"121920";"[[801, 256], [559, 240]]";"[0, 0]"
82;0.0110471248627;"121920";"[[799, 253], [557, 239]]";"[0, 0]"
83;0.0123951435089;"121920";"[[793, 251], [551, 236]]";"[0, 0]"
84;0.0122580528259;"121920";"[[793, 251], [549, 235]]";"[0, 0]"
85;0.00878405570984;"121920";"[[790, 250]]";"[0]"
86;0.0105369091034;"121920";"[[546, 235], [788, 250]]";"[0, 0]"
87;0.0124731063843;"121920";"[[543, 236]]";"[0]"
88;0.0120289325714;"121920";"[[784, 252], [540, 236]]";"[0, 0]"
89;0.0121150016785;"121920";"[[781, 255], [537, 239]]";"[0, 0]"
90;0.0120301246643;"121920";"[[781, 256], [535, 240]]";"[0, 0]"
91;0.00762295722961;"121920";"[[778, 253], [534, 236]]";"[0, 0]"
92;0.00661301612854;"121920";"[[777, 250], [533, 235]]";"[0, 0]"
93;0.00576210021973;"121920";"[[775, 252], [532, 235]]";"[0, 0]"
94;0.00831294059753;"121920";"[[775, 250], [530, 235]]";"[0, 0]"
95;0.0121068954468;"121920";"[[529, 234], [772, 251]]";"[0, 0]"
96;0.0118179321289;"121920";"[[527, 233], [772, 251]]";"[0, 0]"
97;0.00978803634644;"121920";"[[771, 249], [528, 233]]";"[0, 0]"
98;0.00715303421021;"121920";"[[771, 249], [528, 233]]";"[0, 0]"
99;0.00894689559937;"121920";"[[772, 248], [526, 232]]";"[0, 0]"
100;0.00728607177734;"121920";"[[776, 248]]";"[0]"
101;0.0105369091034;"121920";"[[774, 249], [530, 232]]";"[0, 0]"
102;0.0114500522614;"121920";"[[775, 249], [528, 232]]";"[0, 0]"
103;0.0116229057312;"121920";"[[777, 249], [532, 233]]";"[0, 0]"
104;0.0108909606934;"121920";"[[776, 248], [529, 232]]";"[0, 0]"
105;0.0111458301544;"121920";"[[778, 248], [535, 233]]";"[0, 0]"
106;0.0115530490875;"121920";"[[777, 250], [531, 232]]";"[0, 0]"
107;0.011412858963;"121920";"[[775, 249]]";"[0]"
108;0.0118811130524;"121920";"[[775, 249], [532, 233]]";"[0, 0]"
109;0.0113959312439;"121920";"[[531, 235], [775, 251]]";"[0, 0]"
110;0.0110650062561;"121920";"[[774, 255], [530, 238]]";"[0, 0]"
111;0.0116181373596;"121920";"[[773, 256], [528, 240]]";"[0, 0]"
112;0.0105419158936;"121920";"[[772, 258], [526, 241]]";"[0, 0]"
113;0.0116040706635;"121920";"[[524, 241], [770, 258]]";"[0, 0]"
114;0.0116579532623;"121920";"[[769, 257], [521, 241]]";"[0, 0]"
115;0.0114920139313;"121920";"[[767, 257]]";"[0]"
116;0.0114479064941;"121920";"[[769, 257], [524, 238]]";"[0, 0]"
117;0.0112700462341;"121920";"[[524, 238], [768, 257]]";"[0, 0]"
118;0.0117909908295;"121920";"[[769, 255], [524, 238]]";"[0, 0]"
119;0.0108091831207;"121920";"[[524, 239], [766, 256]]";"[0, 0]"
120;0.00824880599976;"121920";"[[769, 261], [523, 243]]";"[0, 0]"
121;0.0121088027954;"121920";"[[765, 261], [522, 244]]";"[0, 0]"
122;0.00828289985657;"121920";"[[764, 260], [520, 243]]";"[0, 0]"
123;0.00692510604858;"121920";"[[766, 260], [520, 243]]";"[0, 0]"
124;0.0117659568787;"121920";"[[518, 243], [766, 261]]";"[0, 0]"
