frameno;no_of_circles;bounding_box_position;color
0;2;"[[[371, 265], [403, 288]], [[632, 283], [665, 306]]]";0
1;2;"[[[372, 267], [402, 291]], [[630, 287], [660, 309]]]";0
2;2;"[[[373, 268], [402, 292]], [[631, 286], [661, 311]]]";0
3;2;"[[[375, 268], [404, 292]], [[633, 288], [658, 311]]]";0
4;2;"[[[372, 270], [400, 294]], [[630, 286], [659, 310]]]";0
5;2;"[[[372, 269], [400, 291]], [[631, 286], [661, 309]]]";0
6;2;"[[[371, 270], [401, 294]], [[631, 288], [659, 311]]]";0
7;2;"[[[371, 273], [402, 296]], [[629, 286], [655, 311]]]";0
8;2;"[[[371, 272], [402, 300]], [[631, 290], [657, 312]]]";0
9;2;"[[[371, 271], [396, 296]], [[631, 288], [661, 313]]]";0
10;2;"[[[371, 268], [400, 294]], [[629, 289], [660, 315]]]";0
11;2;"[[[370, 269], [399, 297]], [[628, 287], [656, 313]]]";0
12;2;"[[[368, 271], [399, 297]], [[627, 289], [657, 312]]]";0
13;2;"[[[366, 273], [397, 297]], [[628, 290], [654, 315]]]";0
14;2;"[[[366, 268], [393, 297]], [[626, 289], [654, 311]]]";0
15;2;"[[[365, 270], [396, 294]], [[626, 289], [655, 313]]]";0
16;2;"[[[365, 268], [391, 294]], [[625, 287], [650, 311]]]";0
17;2;"[[[363, 268], [395, 293]], [[625, 284], [652, 310]]]";0
18;2;"[[[366, 264], [398, 291]], [[626, 283], [652, 310]]]";0
19;2;"[[[366, 267], [396, 291]], [[627, 285], [654, 309]]]";0
20;2;"[[[366, 267], [395, 291]], [[626, 286], [653, 309]]]";0
21;2;"[[[367, 268], [401, 292]], [[627, 288], [654, 308]]]";0
22;2;"[[[368, 268], [397, 290]], [[626, 286], [655, 311]]]";0
23;2;"[[[365, 265], [398, 291]], [[629, 287], [656, 310]]]";0
24;2;"[[[368, 265], [399, 292]], [[627, 288], [657, 312]]]";0
25;2;"[[[368, 269], [396, 294]], [[626, 288], [658, 314]]]";0
26;2;"[[[368, 269], [400, 296]], [[628, 287], [656, 311]]]";0
27;2;"[[[370, 269], [401, 295]], [[630, 288], [656, 314]]]";0
28;2;"[[[369, 269], [398, 292]], [[628, 290], [657, 312]]]";0
29;2;"[[[366, 269], [398, 293]], [[629, 289], [654, 310]]]";0
30;2;"[[[366, 270], [395, 297]], [[626, 289], [653, 311]]]";0
31;2;"[[[366, 272], [397, 294]], [[626, 289], [652, 314]]]";0
32;2;"[[[366, 268], [397, 295]], [[623, 288], [656, 315]]]";0
33;2;"[[[365, 273], [399, 300]], [[625, 289], [658, 316]]]";0
34;2;"[[[366, 270], [398, 302]], [[626, 291], [655, 317]]]";0
35;2;"[[[367, 271], [396, 300]], [[625, 290], [655, 322]]]";0
36;2;"[[[365, 275], [392, 302]], [[624, 293], [657, 321]]]";0
37;2;"[[[363, 277], [391, 302]], [[624, 295], [651, 321]]]";0
38;2;"[[[366, 279], [392, 303]], [[628, 299], [650, 321]]]";0
39;2;"[[[366, 278], [395, 304]], [[626, 298], [656, 320]]]";0
40;2;"[[[365, 275], [397, 301]], [[626, 296], [652, 320]]]";0
41;2;"[[[364, 277], [395, 302]], [[622, 298], [653, 322]]]";0
42;2;"[[[361, 275], [391, 302]], [[623, 297], [651, 320]]]";0
43;2;"[[[359, 276], [388, 302]], [[619, 297], [649, 320]]]";0
44;2;"[[[359, 273], [388, 300]], [[620, 292], [648, 321]]]";0
45;2;"[[[357, 271], [386, 298]], [[619, 289], [646, 318]]]";0
46;2;"[[[359, 271], [385, 296]], [[617, 287], [647, 314]]]";0
47;2;"[[[356, 269], [383, 294]], [[618, 290], [644, 315]]]";0
48;2;"[[[354, 269], [382, 295]], [[617, 287], [644, 313]]]";0
49;2;"[[[352, 271], [383, 296]], [[615, 290], [640, 312]]]";0
