frameno;frametime;recarea;cir_pos;color
0;0.103061914444;"2073600";"[[385, 279]]";"[0]"
1;0.0115640163422;"177600";"[[644, 297], [386, 279]]";"[0, 0]"
2;0.0105950832367;"177600";"[[645, 299], [388, 280]]";"[0, 0]"
3;0.0161809921265;"177600";"[[645, 300], [388, 281]]";"[0, 0]"
4;0.018660068512;"177600";"[[385, 281], [643, 299]]";"[0, 0]"
5;0.125257015228;"1568898";"[]";"[]"
6;0.0158820152283;"177600";"[[385, 282]]";"[0]"
7;0.0222060680389;"177600";"[[642, 302], [382, 284]]";"[0, 0]"
8;0.0190389156342;"177600";"[[642, 302]]";"[0]"
9;0.0230631828308;"177600";"[[642, 303], [384, 284]]";"[0, 0]"
10;0.0221138000488;"177600";"[[642, 301], [383, 283]]";"[0, 0]"
11;0.0124847888947;"177600";"[[641, 302]]";"[0]"
12;0.017410993576;"177600";"[[380, 283]]";"[0]"
13;0.014720916748;"177600";"[[379, 284], [640, 303]]";"[0, 0]"
14;0.0104038715363;"177600";"[[638, 301]]";"[0]"
15;0.0172250270844;"177600";"[[380, 282], [637, 303]]";"[0, 0]"
16;0.0995070934296;"1577835";"[]";"[]"
17;0.0135509967804;"177600";"[[380, 280]]";"[0]"
18;0.010861158371;"177600";"[[638, 298]]";"[0]"
19;0.0175840854645;"177600";"[[639, 298], [378, 279]]";"[0, 0]"
20;0.0146980285645;"177600";"[[639, 299], [378, 278]]";"[0, 0]"
21;0.105163097382;"1581345";"[]";"[]"
22;0.0981929302216;"1582728";"[]";"[]"
23;0.108460903168;"1584111";"[]";"[]"
24;0.0143480300903;"177600";"[[639, 299]]";"[0]"
25;0.0116200447083;"177600";"[[640, 300]]";"[0]"
26;0.0263769626617;"177600";"[[640, 302], [381, 282]]";"[0, 0]"
27;0.0195817947388;"177600";"[[641, 301]]";"[0]"
28;0.0192050933838;"177600";"[[642, 301]]";"[0]"
29;0.142683029175;"1587960";"[]";"[]"
30;0.0198328495026;"177600";"[[381, 282], [639, 303]]";"[0, 0]"
31;0.0124909877777;"177600";"[[639, 303]]";"[0]"
32;0.0233750343323;"177600";"[[378, 284]]";"[0]"
33;0.129940032959;"1585248";"[]";"[]"
34;0.0112879276276;"177600";"[[381, 285]]";"[0]"
35;0.010509967804;"177600";"[[639, 307], [380, 287]]";"[0, 0]"
36;0.121606111526;"1579784";"[]";"[]"
37;0.122807025909;"1578412";"[]";"[]"
38;0.0148689746857;"177600";"[[638, 310]]";"[0]"
39;0.0195529460907;"177600";"[[637, 310]]";"[0]"
40;0.0234398841858;"177600";"[[637, 310], [379, 290]]";"[0, 0]"
41;0.138741016388;"1577706";"[]";"[]"
42;0.0181019306183;"177600";"[[376, 289], [635, 309]]";"[0, 0]"
