frameno;frametime;recarea;cir_pos;color
0;0.10262799263;"2073600";"[[385, 279], [641, 297]]";"[0, 0]"
1;0.00628805160522;"127968";"[[644, 297], [386, 279]]";"[0, 0]"
2;0.0058159828186;"127968";"[[645, 299], [388, 280]]";"[0, 0]"
3;0.00621104240417;"127968";"[[645, 300], [388, 281]]";"[0, 0]"
4;0.00934100151062;"127968";"[[385, 281], [643, 299]]";"[0, 0]"
5;0.0913329124451;"1945320";"[]";"[]"
6;0.00855112075806;"127968";"[[385, 282]]";"[0]"
7;0.00702500343323;"127968";"[[642, 302], [382, 284]]";"[0, 0]"
8;0.0103271007538;"127968";"[[642, 302]]";"[0]"
9;0.00774598121643;"127968";"[[642, 303], [384, 284]]";"[0, 0]"
10;0.00671410560608;"127968";"[[642, 301], [383, 283]]";"[0, 0]"
11;0.00991296768188;"127968";"[[641, 302]]";"[0]"
12;0.0120871067047;"127968";"[[380, 283]]";"[0]"
13;0.011626958847;"127968";"[[379, 284], [640, 303]]";"[0, 0]"
14;0.0116791725159;"127968";"[[638, 301]]";"[0]"
15;0.00841188430786;"127968";"[[380, 282], [637, 303]]";"[0, 0]"
16;0.011531829834;"127968";"[[638, 299]]";"[0]"
17;0.00816893577576;"127968";"[[380, 280]]";"[0]"
18;0.0120189189911;"127968";"[[638, 298]]";"[0]"
19;0.0123591423035;"127968";"[[639, 298], [378, 279]]";"[0, 0]"
20;0.00820112228394;"127968";"[[639, 299], [378, 278]]";"[0, 0]"
21;0.0103509426117;"127968";"[[640, 297]]";"[0]"
22;0.00678205490112;"127968";"[[640, 297]]";"[0]"
23;0.00747609138489;"127968";"[[640, 297]]";"[0]"
24;0.0110111236572;"127968";"[[639, 299]]";"[0]"
25;0.00859689712524;"127968";"[[640, 300]]";"[0]"
26;0.0102949142456;"127968";"[[640, 302], [381, 282]]";"[0, 0]"
27;0.00593996047974;"127968";"[[641, 301]]";"[0]"
28;0.00640416145325;"127968";"[[642, 301]]";"[0]"
29;0.00624489784241;"127968";"[[641, 300]]";"[0]"
30;0.00846695899963;"127968";"[[381, 282], [639, 303]]";"[0, 0]"
31;0.00581002235413;"127968";"[[639, 303]]";"[0]"
32;0.00625610351562;"127968";"[[638, 303], [378, 284]]";"[0, 0]"
33;0.0841641426086;"1961871";"[]";"[]"
34;0.00942492485046;"127968";"[[639, 305], [381, 285]]";"[0, 0]"
35;0.0139589309692;"127968";"[[639, 307], [380, 287]]";"[0, 0]"
36;0.0130121707916;"127968";"[[637, 307]]";"[0]"
37;0.0128798484802;"127968";"[[635, 309]]";"[0]"
38;0.0131230354309;"127968";"[[638, 310]]";"[0]"
39;0.0131130218506;"127968";"[[637, 310]]";"[0]"
40;0.0132801532745;"127968";"[[637, 310], [379, 290]]";"[0, 0]"
41;0.012932062149;"127968";"[[636, 309]]";"[0]"
42;0.0128259658813;"127968";"[[376, 289], [635, 309]]";"[0, 0]"
43;0.00880289077759;"127968";"[[633, 307]]";"[0]"
44;0.0131950378418;"127968";"[[631, 305], [369, 286]]";"[0, 0]"
45;0.0130400657654;"127968";"[[630, 304]]";"[0]"
46;0.0129308700562;"127968";"[[372, 283], [630, 304]]";"[0, 0]"
47;0.0156598091125;"127968";"[[630, 302], [368, 282]]";"[0, 0]"
48;0.0121150016785;"127968";"[[629, 301]]";"[0]"
49;0.01256108284;"127968";"[[627, 303], [365, 282]]";"[0, 0]"
50;0.00741696357727;"127968";"[[625, 300]]";"[0]"
51;0.00638318061829;"127968";"[[624, 302], [365, 281]]";"[0, 0]"
52;0.00880885124207;"127968";"[[365, 281]]";"[0]"
53;0.0121049880981;"127968";"[[625, 299], [364, 279]]";"[0, 0]"
54;0.0115039348602;"127968";"[[362, 280], [625, 299]]";"[0, 0]"
55;0.011687040329;"127968";"[[624, 299], [363, 281]]";"[0, 0]"
56;0.0121650695801;"127968";"[[625, 300]]";"[0]"
57;0.133381128311;"1970736";"[]";"[]"
58;0.00648379325867;"127968";"[[626, 299], [365, 281]]";"[0, 0]"
59;0.00969290733337;"127968";"[[626, 300], [365, 282]]";"[0, 0]"
60;0.01185297966;"127968";"[[626, 300]]";"[0]"
61;0.0128140449524;"127968";"[[626, 301]]";"[0]"
62;0.00894093513489;"127968";"[[365, 284], [626, 301]]";"[0, 0]"
63;0.116169214249;"1963386";"[]";"[]"
64;0.00972104072571;"127968";"[[631, 299]]";"[0]"
65;0.012149810791;"127968";"[[631, 301]]";"[0]"
66;0.0125830173492;"127968";"[[631, 301], [371, 282]]";"[0, 0]"
67;0.00771999359131;"127968";"[[372, 284], [631, 303]]";"[0, 0]"
68;0.0121231079102;"127968";"[[631, 301], [372, 284]]";"[0, 0]"
69;0.00865602493286;"127968";"[[631, 301], [371, 284]]";"[0, 0]"
70;0.0124540328979;"127968";"[[374, 284], [633, 303]]";"[0, 0]"
71;0.0127401351929;"127968";"[[633, 301], [374, 284]]";"[0, 0]"
72;0.013267993927;"127968";"[[633, 301], [374, 284]]";"[0, 0]"
73;0.0130410194397;"127968";"[[632, 302], [373, 284]]";"[0, 0]"
74;0.00891518592834;"127968";"[[635, 301]]";"[0]"
75;0.105284929276;"1938144";"[]";"[]"
76;0.00945281982422;"127968";"[[638, 302], [379, 285]]";"[0, 0]"
77;0.0119729042053;"127968";"[[382, 284], [640, 302]]";"[0, 0]"
78;0.0124709606171;"127968";"[[641, 302]]";"[0]"
79;0.00884485244751;"127968";"[[643, 304], [384, 286]]";"[0, 0]"
80;0.0131969451904;"127968";"[[643, 304], [385, 288]]";"[0, 0]"
81;0.00887203216553;"127968";"[[644, 305], [385, 288]]";"[0, 0]"
82;0.0127999782562;"127968";"[[389, 288]]";"[0]"
83;0.0118877887726;"127968";"[[648, 306], [389, 290]]";"[0, 0]"
84;0.0126650333405;"127968";"[[649, 311], [391, 294]]";"[0, 0]"
85;0.0128700733185;"127968";"[[392, 297]]";"[0]"
86;0.00885701179504;"127968";"[[388, 302]]";"[0]"
87;0.0130500793457;"127968";"[[642, 319], [382, 302]]";"[0, 0]"
88;0.00850915908813;"127968";"[[382, 300], [643, 316]]";"[0, 0]"
89;0.0130500793457;"127968";"[[643, 316]]";"[0]"
90;0.00888705253601;"127968";"[[387, 300], [645, 317]]";"[0, 0]"
91;0.0130789279938;"127968";"[[646, 321]]";"[0]"
92;0.0159978866577;"127968";"[[646, 322]]";"[0]"
93;0.0117509365082;"127968";"[[650, 321]]";"[0]"
94;0.00846791267395;"127968";"[[652, 318], [395, 303]]";"[0, 0]"
95;0.0123941898346;"127968";"[[396, 302], [653, 319]]";"[0, 0]"
96;0.00847005844116;"127968";"[[657, 318], [402, 301]]";"[0, 0]"
97;0.0117881298065;"127968";"[[660, 317], [403, 302]]";"[0, 0]"
98;0.0114450454712;"127968";"[[661, 321]]";"[0]"
99;0.0121250152588;"127968";"[[406, 308]]";"[0]"
100;0.0119590759277;"127968";"[[407, 310]]";"[0]"
101;0.00719904899597;"127968";"[[407, 311]]";"[0]"
