frameno;frametime;radious;cir_pos;color
0;0.0972700119019;"[6.6708322]";"[[385, 279]]";"[0]"
1;0.0904400348663;"[6.5192022, 6.6708322]";"[[644, 297], [386, 279]]";"[0, 0]"
2;0.0915260314941;"[6.3639612, 7.1063352]";"[[645, 299], [388, 280]]";"[0, 0]"
3;0.0963680744171;"[7.1063352, 6.6708322]";"[[645, 300], [388, 281]]";"[0, 0]"
4;0.107017993927;"[5.7008772, 6.6708322]";"[[385, 281], [643, 299]]";"[0, 0]"
5;0.095871925354;"[]";"[]";"[]"
6;0.103204011917;"[6.5192022]";"[[385, 282]]";"[0]"
7;0.101786851883;"[6.5192022, 5.7008772]";"[[642, 302], [382, 284]]";"[0, 0]"
8;0.089339017868;"[6.5192022]";"[[642, 302]]";"[0]"
9;0.0934040546417;"[6.6708322, 6.6708322, 5.7008772]";"[[642, 303], [384, 284], [850, 447]]";"[0, 0, 0]"
10;0.0988430976868;"[6.5192022, 5.7008772]";"[[642, 301], [383, 283]]";"[0, 0]"
11;0.107310056686;"[6.5192022]";"[[641, 302]]";"[0]"
12;0.08775806427;"[5.7008772]";"[[380, 283]]";"[0]"
13;0.0899329185486;"[5.7008772, 6.6708322]";"[[379, 284], [640, 303]]";"[0, 0]"
14;0.0916810035706;"[6.5192022]";"[[638, 301]]";"[0]"
15;0.0898380279541;"[7.1063352, 5.7008772]";"[[380, 282], [637, 303]]";"[0, 0]"
16;0.103682994843;"[]";"[]";"[]"
17;0.102494955063;"[7.1063352]";"[[380, 280]]";"[0]"
18;0.117249011993;"[6.5192022, 5.7008772]";"[[638, 298], [845, 444]]";"[0, 0]"
19;0.113727807999;"[7.1063352, 5.7008772]";"[[639, 298], [378, 279]]";"[0, 0]"
20;0.113754987717;"[6.041523, 6.6708322, 5.7008772]";"[[639, 299], [378, 278], [846, 443]]";"[0, 0, 0]"
21;0.105917215347;"[]";"[]";"[]"
22;0.0934679508209;"[]";"[]";"[]"
23;0.106628894806;"[]";"[]";"[]"
24;0.116657018661;"[6.6708322]";"[[639, 299]]";"[0]"
25;0.116475105286;"[6.9641943]";"[[640, 300]]";"[0]"
26;0.103229999542;"[6.6708322, 5.7008772]";"[[640, 302], [381, 282]]";"[0, 0]"
27;0.106191158295;"[7.3824115]";"[[641, 301]]";"[0]"
28;0.113034963608;"[6.6708322]";"[[642, 301]]";"[0]"
29;0.104463815689;"[]";"[]";"[]"
30;0.109843015671;"[6.6708322, 6.041523]";"[[381, 282], [639, 303]]";"[0, 0]"
31;0.109483957291;"[7.3824115]";"[[639, 303]]";"[0]"
32;0.116655111313;"[6.6708322]";"[[378, 284]]";"[0]"
33;0.0931270122528;"[]";"[]";"[]"
34;0.105451107025;"[5.7008772]";"[[381, 285]]";"[0]"
35;0.0884940624237;"[6.041523, 5.7008772]";"[[639, 307], [380, 287]]";"[0, 0]"
36;0.087718963623;"[]";"[]";"[]"
37;0.0988118648529;"[]";"[]";"[]"
38;0.0900480747223;"[6.5192022]";"[[638, 310]]";"[0]"
39;0.110440015793;"[6.9641943, 5.7008772]";"[[637, 310], [845, 456]]";"[0, 0]"
40;0.112685918808;"[7.1063352, 6.6708322]";"[[637, 310], [379, 290]]";"[0, 0]"
41;0.0898640155792;"[]";"[]";"[]"
42;0.121519088745;"[5.7008772, 6.6708322, 7.3824115]";"[[842, 455], [376, 289], [635, 309]]";"[0, 0, 0]"
43;0.088791847229;"[]";"[]";"[]"
44;0.0916028022766;"[6.6708322, 5.7008772]";"[[369, 286], [839, 453]]";"[0, 0]"
45;0.124413967133;"[]";"[]";"[]"
46;0.0998709201813;"[6.6708322, 6.6708322]";"[[372, 283], [630, 304]]";"[0, 0]"
47;0.0916128158569;"[6.5192022, 6.6708322]";"[[630, 302], [368, 282]]";"[0, 0]"
48;0.0889458656311;"[]";"[]";"[]"
49;0.0997610092163;"[6.041523, 5.7008772]";"[[627, 303], [365, 282]]";"[0, 0]"
50;0.0898320674896;"[]";"[]";"[]"
51;0.116350889206;"[6.6708322, 5.7008772]";"[[624, 302], [365, 281]]";"[0, 0]"
52;0.122011899948;"[5.7008772]";"[[365, 281]]";"[0]"
53;0.116708993912;"[7.3824115, 5.7008772]";"[[625, 299], [364, 279]]";"[0, 0]"
54;0.101843118668;"[6.6708322, 7.1063352]";"[[362, 280], [625, 299]]";"[0, 0]"
55;0.11695599556;"[6.5192022, 5.7008772, 5.7008772]";"[[624, 299], [363, 281], [833, 445]]";"[0, 0, 0]"
56;0.0901689529419;"[6.3639612]";"[[625, 300]]";"[0]"
57;0.0888397693634;"[]";"[]";"[]"
58;0.10041308403;"[6.5192022, 5.7008772]";"[[626, 299], [365, 281]]";"[0, 0]"
59;0.104436159134;"[6.6708322, 5.7008772]";"[[626, 300], [365, 282]]";"[0, 0]"
60;0.100387811661;"[]";"[]";"[]"
61;0.0918190479279;"[7.1063352]";"[[626, 301]]";"[0]"
62;0.0938148498535;"[5.7008772, 7.1063352, 5.7008772]";"[[365, 284], [626, 301], [835, 447]]";"[0, 0, 0]"
63;0.104218006134;"[]";"[]";"[]"
64;0.0897278785706;"[]";"[]";"[]"
65;0.096421957016;"[6.041523]";"[[631, 301]]";"[0]"
66;0.0926251411438;"[6.5192022, 5.7008772]";"[[631, 301], [371, 282]]";"[0, 0]"
67;0.0928058624268;"[7.1063352, 5.7008772]";"[[372, 284], [631, 303]]";"[0, 0]"
68;0.109002113342;"[6.6708322, 5.7008772]";"[[372, 284], [840, 446]]";"[0, 0]"
69;0.0924911499023;"[6.6708322, 5.7008772]";"[[631, 301], [371, 284]]";"[0, 0]"
70;0.113165855408;"[6.6708322, 6.041523]";"[[374, 284], [633, 303]]";"[0, 0]"
71;0.118392944336;"[6.6708322]";"[[374, 284]]";"[0]"
72;0.0913259983063;"[6.6708322]";"[[374, 284]]";"[0]"
73;0.0953588485718;"[6.5192022, 5.7008772]";"[[632, 302], [373, 284]]";"[0, 0]"
74;0.0954179763794;"[]";"[]";"[]"
75;0.0892949104309;"[]";"[]";"[]"
76;0.117659807205;"[6.5192022, 5.7008772]";"[[638, 302], [379, 285]]";"[0, 0]"
77;0.119551897049;"[6.6708322, 6.5192022]";"[[382, 284], [640, 302]]";"[0, 0]"
78;0.0980460643768;"[6.5192022]";"[[641, 302]]";"[0]"
79;0.115228891373;"[6.041523, 5.7008772]";"[[643, 304], [384, 286]]";"[0, 0]"
80;0.116831064224;"[6.6708322]";"[[385, 288]]";"[0]"
81;0.0982620716095;"[6.5192022, 5.7008772]";"[[644, 305], [385, 288]]";"[0, 0]"
82;0.0943801403046;"[6.5192022, 5.7008772]";"[[389, 288], [855, 447]]";"[0, 0]"
83;0.0961050987244;"[6.5192022, 5.7008772]";"[[648, 306], [389, 290]]";"[0, 0]"
84;0.114775180817;"[6.041523, 5.7008772]";"[[649, 311], [391, 294]]";"[0, 0]"
85;0.0981800556183;"[6.6708322]";"[[392, 297]]";"[0]"
86;0.0999341011047;"[6.9641943]";"[[388, 302]]";"[0]"
87;0.10077881813;"[6.6708322]";"[[382, 302]]";"[0]"
88;0.108388900757;"[6.6708322]";"[[382, 300]]";"[0]"
89;0.115715026855;"[]";"[]";"[]"
90;0.0951960086823;"[6.6708322, 6.6708322, 5.7008772]";"[[387, 300], [645, 317], [853, 462]]";"[0, 0, 0]"
91;0.120121955872;"[6.5192022]";"[[646, 321]]";"[0]"
92;0.106662034988;"[]";"[]";"[]"
93;0.0894241333008;"[7.3824115]";"[[650, 321]]";"[0]"
94;0.0926060676575;"[5.7008772, 5.7008772]";"[[395, 303], [860, 462]]";"[0, 0]"
95;0.115822076797;"[6.6708322]";"[[396, 302]]";"[0]"
96;0.113690853119;"[6.5192022, 6.6708322]";"[[657, 318], [402, 301]]";"[0, 0]"
97;0.119189023972;"[6.5192022, 5.7008772]";"[[660, 317], [403, 302]]";"[0, 0]"
98;0.102065086365;"[6.041523]";"[[661, 321]]";"[0]"
99;0.108361005783;"[6.5192022]";"[[406, 308]]";"[0]"
100;0.0904920101166;"[5.7008772]";"[[407, 310]]";"[0]"
101;0.0919208526611;"[5.7008772, 6.6708322]";"[[407, 311], [870, 467]]";"[0, 0]"
102;0.0904829502106;"[6.5192022]";"[[664, 326]]";"[0]"
103;0.121463060379;"[6.6708322, 5.7008772]";"[[664, 328], [407, 313]]";"[0, 0]"
104;0.119189977646;"[6.6708322, 6.6708322]";"[[662, 328], [408, 313]]";"[0, 0]"
105;0.112075090408;"[6.041523, 6.6708322]";"[[663, 329], [408, 313]]";"[0, 0]"
106;0.122071027756;"[6.3639612, 5.7008772]";"[[663, 328], [407, 312]]";"[0, 0]"
107;0.120199918747;"[6.041523]";"[[663, 327]]";"[0]"
108;0.126194000244;"[5.7008772]";"[[405, 311]]";"[0]"
109;0.128742933273;"[6.5192022, 5.7008772]";"[[660, 326], [403, 310]]";"[0, 0]"
110;0.0928471088409;"[6.041523]";"[[659, 327]]";"[0]"
111;0.0988099575043;"[7.1063352]";"[[404, 310]]";"[0]"
112;0.0960168838501;"[6.5192022]";"[[660, 327]]";"[0]"
113;0.0959429740906;"[6.5192022]";"[[660, 325]]";"[0]"
114;0.0943291187286;"[6.6708322, 5.7008772]";"[[658, 322], [402, 306]]";"[0, 0]"
115;0.103767156601;"[7.1063352, 5.7008772]";"[[657, 318], [399, 302]]";"[0, 0]"
116;0.0961029529572;"[6.6708322]";"[[400, 300]]";"[0]"
117;0.0893421173096;"[]";"[]";"[]"
118;0.0967440605164;"[6.041523]";"[[655, 315]]";"[0]"
119;0.113266944885;"[6.6708322]";"[[656, 312]]";"[0]"
120;0.115138053894;"[6.5192022, 5.7008772]";"[[654, 310], [397, 294]]";"[0, 0]"
121;0.116937875748;"[5.7008772]";"[[655, 309]]";"[0]"
122;0.0894529819489;"[6.6708322]";"[[656, 303]]";"[0]"
123;0.0919759273529;"[6.6708322]";"[[658, 296]]";"[0]"
124;0.100831031799;"[6.6708322]";"[[657, 287]]";"[0]"
125;0.114683866501;"[6.6708322, 6.6708322]";"[[657, 283], [400, 267]]";"[0, 0]"
126;0.0915400981903;"[5.7008772, 6.5192022]";"[[399, 265], [657, 282]]";"[0, 0]"
127;0.113306999207;"[]";"[]";"[]"
128;0.124932050705;"[6.041523]";"[[659, 281]]";"[0]"
129;0.120647907257;"[]";"[]";"[]"
130;0.108699798584;"[6.6708322]";"[[406, 263]]";"[0]"
131;0.108809947968;"[6.041523]";"[[663, 277]]";"[0]"
132;0.0960299968719;"[6.6708322]";"[[663, 276]]";"[0]"
133;0.0986762046814;"[6.5192022, 6.6708322]";"[[662, 272], [406, 257]]";"[0, 0]"
134;0.0958960056305;"[6.6708322, 6.041523]";"[[408, 247], [665, 263]]";"[0, 0]"
135;0.105904817581;"[]";"[]";"[]"
136;0.0917439460754;"[6.6708322, 7.1063352]";"[[408, 238], [665, 252]]";"[0, 0]"
