frameno;frametime;radious;cir_pos;color
0;0.13973402977;"[6.6708322, 5.7008772]";"[[385.5, 279.5], [641.5, 297.5]]";"[0, 0]"
1;0.0900979042053;"[6.5192022, 6.6708322]";"[[644.5, 297.5], [386.5, 279.5]]";"[0, 0]"
2;0.0909550189972;"[6.3639612, 7.1063352]";"[[645.5, 299.5], [388.5, 280.5]]";"[0, 0]"
3;0.110034942627;"[7.1063352, 6.6708322, 6.5192022]";"[[645.5, 300.5], [388.5, 281.5], [852.5, 443.5]]";"[0, 0, 0]"
4;0.0981409549713;"[5.7008772, 6.6708322]";"[[385.5, 281.5], [643.5, 299.5]]";"[0, 0]"
5;0.0891311168671;"[]";"[]";"[]"
6;0.0894031524658;"[6.5192022]";"[[385.5, 282.5]]";"[0]"
7;0.0895490646362;"[6.5192022, 5.7008772]";"[[642.5, 302.5], [382.5, 284.5]]";"[0, 0]"
8;0.110018014908;"[6.5192022]";"[[642.5, 302.5]]";"[0]"
9;0.103600025177;"[6.6708322, 6.6708322, 5.7008772]";"[[642.5, 303.5], [384.5, 284.5], [850.5, 447.5]]";"[0, 0, 0]"
10;0.11296916008;"[6.5192022, 5.7008772]";"[[642.5, 301.5], [383.5, 283.5]]";"[0, 0]"
11;0.101042985916;"[6.5192022]";"[[641.5, 302.5]]";"[0]"
12;0.113435029984;"[5.7008772]";"[[380.5, 283.5]]";"[0]"
13;0.112195968628;"[5.7008772, 6.6708322]";"[[379.5, 284.5], [640.5, 303.5]]";"[0, 0]"
14;0.0868940353394;"[6.5192022]";"[[638.5, 301.5]]";"[0]"
15;0.108605861664;"[7.1063352, 5.7008772]";"[[380.5, 282.5], [637.5, 303.5]]";"[0, 0]"
16;0.111424207687;"[6.041523]";"[[638.5, 299.5]]";"[0]"
17;0.0953550338745;"[7.1063352]";"[[380.5, 280.5]]";"[0]"
18;0.11341714859;"[6.5192022, 5.7008772]";"[[638.5, 298.5], [845.5, 444.5]]";"[0, 0]"
19;0.102607965469;"[7.1063352, 5.7008772]";"[[639.5, 298.5], [378.5, 279.5]]";"[0, 0]"
20;0.109026193619;"[6.041523, 6.6708322, 5.7008772]";"[[639.5, 299.5], [378.5, 278.5], [846.5, 443.5]]";"[0, 0, 0]"
21;0.116326093674;"[6.041523]";"[[640.5, 297.5]]";"[0]"
22;0.0913901329041;"[6.041523, 6.041523]";"[[640.5, 297.5], [849.5, 443.5]]";"[0, 0]"
23;0.0904490947723;"[6.041523]";"[[640.5, 297.5]]";"[0]"
24;0.0917661190033;"[6.6708322]";"[[639.5, 299.5]]";"[0]"
25;0.112747907639;"[6.9641943]";"[[640.5, 300.5]]";"[0]"
26;0.112906932831;"[6.6708322, 5.7008772]";"[[640.5, 302.5], [381.5, 282.5]]";"[0, 0]"
27;0.111756801605;"[7.3824115]";"[[641.5, 301.5]]";"[0]"
28;0.110245943069;"[6.6708322]";"[[642.5, 301.5]]";"[0]"
29;0.120744943619;"[5.7008772]";"[[641.5, 300.5]]";"[0]"
30;0.11878991127;"[6.6708322, 6.041523]";"[[381.5, 282.5], [639.5, 303.5]]";"[0, 0]"
31;0.108768939972;"[7.3824115]";"[[639.5, 303.5]]";"[0]"
