frameno;no_of_circles;bounding_box_position;color
0;2;"[[[356, 247], [385, 280]], [[613, 259], [652, 294]]]";0
20;2;"[[[342, 237], [377, 271]], [[603, 255], [638, 291]]]";0
40;2;"[[[372, 293], [401, 327]], [[629, 304], [662, 342]]]";0
60;2;"[[[357, 243], [395, 281]], [[617, 265], [650, 298]]]";0
80;2;"[[[348, 254], [383, 291]], [[611, 276], [642, 313]]]";0
100;2;"[[[356, 261], [393, 298]], [[618, 282], [652, 319]]]";0
120;2;"[[[325, 257], [361, 300]], [[592, 279], [624, 317]]]";0
140;2;"[[[341, 267], [377, 306]], [[603, 285], [637, 325]]]";0
160;2;"[[[342, 248], [382, 292]], [[609, 274], [638, 310]]]";0
180;2;"[[[356, 253], [395, 297]], [[617, 274], [651, 312]]]";0
200;2;"[[[360, 262], [393, 297]], [[620, 279], [655, 318]]]";0
220;2;"[[[370, 267], [403, 302]], [[626, 280], [666, 318]]]";0
240;2;"[[[353, 260], [390, 294]], [[613, 277], [649, 313]]]";0
260;2;"[[[367, 265], [401, 300]], [[624, 279], [655, 321]]]";0
280;2;"[[[361, 263], [397, 305]], [[618, 282], [653, 316]]]";0
300;2;"[[[362, 259], [397, 297]], [[627, 278], [657, 311]]]";0
320;2;"[[[360, 251], [394, 284]], [[621, 271], [651, 307]]]";0
340;2;"[[[351, 256], [389, 294]], [[610, 279], [647, 313]]]";0
360;2;"[[[352, 272], [389, 307]], [[612, 286], [646, 326]]]";0
380;2;"[[[343, 269], [379, 306]], [[608, 287], [643, 324]]]";0
400;2;"[[[345, 253], [378, 292]], [[606, 271], [644, 308]]]";0
420;2;"[[[338, 285], [376, 317]], [[604, 303], [638, 340]]]";0
440;2;"[[[340, 287], [373, 318]], [[599, 306], [633, 343]]]";0
460;2;"[[[341, 266], [382, 303]], [[607, 289], [639, 324]]]";0
480;2;"[[[373, 297], [401, 331]], [[629, 317], [661, 354]]]";1
500;2;"[[[361, 289], [393, 328]], [[624, 317], [651, 350]]]";1
520;2;"[[[371, 259], [408, 291]], [[636, 277], [675, 317]]]";1
540;2;"[[[491, 253], [526, 288]], [[747, 266], [783, 306]]]";1
560;2;"[[[309, 222], [344, 258]], [[586, 241], [627, 280]]]";1
580;2;"[[[367, 224], [402, 259]], [[641, 244], [681, 281]]]";1
600;2;"[[[261, 234], [297, 278]], [[557, 264], [593, 303]]]";1
620;2;"[[[196, 141], [237, 183]], [[510, 176], [553, 220]]]";1
640;2;"[[[297, 143], [332, 178]], [[607, 166], [646, 208]]]";1
660;2;"[[[251, 187], [291, 226]], [[574, 213], [614, 252]]]";1
680;2;"[[[132, 170], [183, 214]], [[488, 204], [531, 248]]]";1
700;2;"[[[278, 149], [322, 192]], [[618, 170], [662, 218]]]";1
720;1;"[[[428, 191], [484, 233]]]";1
740;1;"[[[396, 173], [469, 230]]]";1
760;2;"[[[137, 133], [182, 177]], [[522, 157], [576, 205]]]";1
780;1;"[[[439, 175], [493, 221]]]";1
800;1;"[[[407, 146], [459, 200]]]";1
820;1;"[[[423, 162], [474, 218]]]";1
840;1;"[[[304, 143], [362, 201]]]";1
860;1;"[[[285, 122], [355, 186]]]";1
880;1;"[[[292, 104], [362, 184]]]";1
900;1;"[[[240, 102], [305, 176]]]";1
920;1;"[[[190, 52], [268, 125]]]";1
940;0;"[]";1
960;0;"[]";1
980;0;"[]";1
1000;0;"[]";1
1020;0;"[]";1
1040;0;"[]";1
1060;0;"[]";1
1080;0;"[]";1
1100;0;"[]";1
1120;0;"[]";1
1140;0;"[]";1
1160;0;"[]";1
1180;2;"[[[176, 251], [208, 287]], [[431, 290], [464, 325]]]";0
1200;2;"[[[444, 258], [476, 296]], [[672, 282], [706, 316]]]";0
1220;2;"[[[500, 243], [529, 279]], [[725, 270], [754, 305]]]";0
1240;2;"[[[472, 242], [509, 274]], [[710, 271], [735, 303]]]";0
1260;2;"[[[472, 246], [504, 279]], [[701, 270], [732, 304]]]";0
1280;2;"[[[484, 224], [517, 259]], [[711, 250], [746, 284]]]";0
1300;2;"[[[498, 200], [530, 232]], [[725, 222], [758, 256]]]";0
1320;2;"[[[498, 210], [534, 242]], [[728, 237], [758, 270]]]";0
1340;2;"[[[469, 242], [510, 280]], [[702, 275], [738, 305]]]";0
1360;2;"[[[479, 258], [512, 291]], [[712, 289], [740, 318]]]";0
1380;2;"[[[472, 261], [507, 295]], [[703, 287], [733, 323]]]";0
1400;2;"[[[484, 269], [515, 304]], [[713, 298], [740, 332]]]";0
1420;2;"[[[489, 258], [525, 292]], [[719, 289], [751, 323]]]";0
1440;2;"[[[535, 255], [566, 291]], [[760, 286], [787, 321]]]";0
1460;2;"[[[550, 215], [582, 249]], [[774, 239], [808, 281]]]";0
1480;2;"[[[577, 217], [611, 256]], [[802, 248], [834, 284]]]";0
1500;2;"[[[569, 203], [603, 243]], [[796, 237], [822, 273]]]";0
1520;2;"[[[554, 200], [581, 235]], [[779, 228], [808, 266]]]";0
1540;2;"[[[524, 188], [557, 228]], [[755, 224], [793, 257]]]";0
1560;2;"[[[518, 194], [556, 237]], [[748, 228], [778, 260]]]";0
1580;2;"[[[528, 200], [563, 238]], [[749, 224], [785, 261]]]";0
1600;2;"[[[515, 183], [547, 217]], [[746, 211], [780, 244]]]";0
1620;2;"[[[507, 175], [544, 204]], [[733, 204], [763, 238]]]";0
1640;2;"[[[475, 185], [511, 217]], [[708, 215], [736, 247]]]";0
1660;2;"[[[478, 173], [506, 211]], [[705, 205], [736, 239]]]";0
1680;2;"[[[473, 171], [504, 208]], [[707, 197], [735, 237]]]";0
1700;2;"[[[486, 180], [526, 218]], [[723, 213], [750, 244]]]";0
1720;2;"[[[501, 191], [536, 231]], [[728, 215], [761, 251]]]";0
1740;2;"[[[483, 181], [519, 216]], [[708, 202], [745, 244]]]";0
1760;2;"[[[490, 175], [528, 217]], [[715, 204], [745, 243]]]";0
1780;2;"[[[514, 204], [546, 238]], [[743, 227], [771, 264]]]";0
