frameno;frametime;recarea;cir_pos;color
0;0.177824020386;"2073600";"[[629, 279], [372, 262]]";"[0, 0]"
1;0.0146839618683;"127729";"[[629, 281], [371, 265]]";"[0, 0]"
2;0.0104999542236;"127729";"[[628, 281], [365, 266]]";"[0, 0]"
3;0.0161528587341;"127729";"[[625, 281], [365, 266]]";"[0, 0]"
4;0.0170300006866;"127729";"[[362, 267]]";"[0]"
5;0.0213601589203;"127729";"[[623, 281], [364, 265]]";"[0, 0]"
6;0.0364091396332;"127729";"[[364, 264]]";"[0]"
7;0.0343430042267;"140160";"[[624, 280], [363, 265]]";"[0, 0]"
8;0.0108189582825;"127755";"[[361, 265]]";"[0]"
9;0.0165231227875;"127755";"[[622, 281], [359, 265]]";"[0, 0]"
10;0.0193469524384;"127755";"[[362, 265]]";"[0]"
11;0.0198030471802;"127755";"[[621, 279], [360, 261]]";"[0, 0]"
12;0.013701915741;"127755";"[[622, 277], [362, 260]]";"[0, 0]"
13;0.0106751918793;"127755";"[[621, 275], [359, 259]]";"[0, 0]"
14;0.0151660442352;"127755";"[[620, 273], [361, 255]]";"[0, 0]"
15;0.0195138454437;"127755";"[[362, 252]]";"[0]"
16;0.140985012054;"1580355";"[]";"[]"
17;0.0185301303864;"127755";"[[622, 270], [359, 253]]";"[0, 0]"
18;0.0200459957123;"127755";"[[363, 257]]";"[0]"
19;0.024374961853;"127755";"[[363, 255]]";"[0]"
20;0.0213060379028;"127755";"[[622, 276], [361, 259]]";"[0, 0]"
21;0.0187690258026;"127755";"[[619, 277], [358, 258]]";"[0, 0]"
22;0.0194849967957;"127755";"[[360, 264]]";"[0]"
23;0.0194180011749;"127755";"[[359, 267], [620, 285]]";"[0, 0]"
24;0.0174989700317;"127755";"[[357, 267]]";"[0]"
25;0.0213079452515;"127755";"[[620, 288], [358, 269]]";"[0, 0]"
26;0.0201621055603;"127755";"[[618, 290], [356, 270]]";"[0, 0]"
27;0.0200669765472;"127755";"[[613, 288], [352, 268]]";"[0, 0]"
28;0.0203280448914;"127755";"[[346, 263], [610, 283]]";"[0, 0]"
29;0.0123670101166;"127755";"[[341, 259], [605, 281]]";"[0, 0]"
30;0.0187690258026;"127755";"[[341, 258]]";"[0]"
31;0.0190880298615;"127755";"[[343, 257]]";"[0]"
32;0.0182619094849;"127755";"[[347, 258]]";"[0]"
33;0.0206451416016;"127755";"[[611, 279], [350, 259]]";"[0, 0]"
34;0.0122931003571;"127755";"[[354, 267]]";"[0]"
35;0.0171558856964;"127755";"[[355, 272]]";"[0]"
36;0.0129370689392;"127755";"[[621, 297], [362, 280]]";"[0, 0]"
37;0.0118200778961;"127755";"[[366, 289]]";"[0]"
38;0.0190858840942;"127755";"[[631, 310], [367, 293]]";"[0, 0]"
39;0.0192120075226;"127755";"[[380, 302]]";"[0]"
40;0.0194249153137;"127755";"[[386, 311], [645, 326]]";"[0, 0]"
41;0.0203461647034;"127755";"[[648, 329], [390, 314]]";"[0, 0]"
42;0.018406867981;"127755";"[[644, 330], [385, 315]]";"[0, 0]"
43;0.0192749500275;"127755";"[[640, 330], [384, 315]]";"[0, 0]"
44;0.0193769931793;"127755";"[[629, 307], [370, 292]]";"[0, 0]"
45;0.0476939678192;"127755";"[[226, 518]]";"[0]"
46;0.0358469486237;"109440";"[[379, 280]]";"[0]"
47;0.041925907135;"177600";"[[382, 275]]";"[0]"
48;0.022805929184;"177600";"[[386, 273]]";"[0]"
49;0.0238502025604;"177600";"[[639, 289], [377, 270]]";"[0, 0]"
50;0.0223228931427;"177600";"[[375, 267], [633, 287]]";"[0, 0]"
51;0.0222909450531;"177600";"[[364, 264]]";"[0]"
