frameno;frametime;recarea;cir_pos;color
0;0.146990060806;"2073600";"[[629, 279], [372, 262], [202, 530]]";"[0, 0, 0]"
1;0.0489070415497;"338836";"[[629, 281], [371, 265], [253, 515]]";"[0, 0, 0]"
2;0.0192189216614;"338836";"[[628, 281], [365, 266], [252, 517]]";"[0, 0, 0]"
3;0.0219039916992;"338836";"[[625, 281], [365, 266]]";"[0, 0]"
4;0.0260679721832;"338836";"[[625, 281], [362, 267]]";"[0, 0]"
5;0.0258948802948;"338836";"[[623, 281], [364, 265], [279, 539]]";"[0, 0, 0]"
6;0.025829076767;"338836";"[[625, 279], [247, 516]]";"[0, 0]"
7;0.0230031013489;"338836";"[[624, 280], [217, 498]]";"[0, 0]"
8;0.0177938938141;"338836";"[[623, 280], [279, 529]]";"[0, 0]"
9;0.0281479358673;"338836";"[[622, 281], [359, 265]]";"[0, 0]"
10;0.0188269615173;"338836";"[[620, 281], [268, 541]]";"[0, 0]"
11;0.0243299007416;"338836";"[[621, 279], [278, 528]]";"[0, 0]"
12;0.0278010368347;"338836";"[[622, 277], [247, 513]]";"[0, 0]"
13;0.0266489982605;"338836";"[[621, 276], [246, 510]]";"[0, 0]"
14;0.0246348381042;"338836";"[[620, 273]]";"[0]"
15;0.0269429683685;"338836";"[[623, 268]]";"[0]"
16;0.0187718868256;"338836";"[[623, 268], [247, 502]]";"[0, 0]"
17;0.0159621238708;"338836";"[[622, 270], [245, 503]]";"[0, 0]"
18;0.0217669010162;"338836";"[[621, 274], [278, 519]]";"[0, 0]"
19;0.0268301963806;"338836";"[[622, 271], [240, 495], [549, 378]]";"[0, 0, 0]"
20;0.0252420902252;"338836";"[[622, 276]]";"[0]"
21;0.0255780220032;"338836";"[[619, 277]]";"[0]"
22;0.0293228626251;"338836";"[[620, 280], [360, 264]]";"[0, 0]"
23;0.0278100967407;"338836";"[[620, 285], [359, 267], [275, 531]]";"[0, 0, 0]"
24;0.0188939571381;"338836";"[[618, 285], [241, 516]]";"[0, 0]"
25;0.0256459712982;"338836";"[[618, 289], [182, 535], [268, 542]]";"[0, 0, 0]"
26;0.0148420333862;"338836";"[[617, 291], [266, 543]]";"[0, 0]"
27;0.0244901180267;"338836";"[[613, 288], [268, 531]]";"[0, 0]"
28;0.0290529727936;"338836";"[[608, 285], [262, 526], [187, 542]]";"[0, 0, 0]"
29;0.0292959213257;"338836";"[[255, 523]]";"[0]"
30;0.0650188922882;"973140";"[[605, 277], [341, 258]]";"[0, 0]"
31;0.0307831764221;"397352";"[[605, 277], [343, 257]]";"[0, 0]"
32;0.00796318054199;"130520";"[[347, 258]]";"[0]"
33;0.0110709667206;"130520";"[[350, 259]]";"[0]"
34;0.0113990306854;"130520";"[[354, 267]]";"[0]"
35;0.0128500461578;"130520";"[[355, 272]]";"[0]"
36;0.013286113739;"130520";"[[362, 280]]";"[0]"
37;0.0126059055328;"130520";"[[366, 289]]";"[0]"
38;0.0128190517426;"130520";"[[367, 293]]";"[0]"
39;0.0127279758453;"130520";"[[380, 302]]";"[0]"
40;0.0120241641998;"130520";"[[386, 311]]";"[0]"
41;0.00852203369141;"130520";"[[390, 314]]";"[0]"
42;0.00755095481873;"130520";"[[385, 315]]";"[0]"
