Longitude,Latitude,Speed,Distance,Time,Time in epoch, Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z,pitch_deg,roll_deg,azimuth_deg
-87.64716512,41.8697197,0,9815988,14-53-52-681,1500580432682,0.23092061,-0.24163854,0.03609757,302,0.0050404766,0.050617807,0.006507878,-0.501256911,0.5226272389,168.0764208315
-87.6471702,41.86972187,0,0,14-53-52-790,1500580432790,0.17129847,-0.18744592,0.1742715,297,0.038596306,-0.01329806,-0.02651532,-0.6986876378,0.8783407695,168.7031043482
-87.6471702,41.86972187,0,0,14-53-52-880,1500580432887,0.11213059,-0.12917425,-0.048524227,297,0.037531044,0.006941964,0.001181556,-0.7450887947,0.9496140069,168.55008079
-87.6471702,41.86972187,0,0,14-53-52-979,1500580432980,0.21985567,-0.27741542,0.17301804,297,-0.026384825,-0.03194019,0.007573142,-0.7447677224,0.9535813863,168.603192341
-87.6471702,41.86972187,0,0,14-53-53-080,1500580433080,0.1450422,-0.20774344,-0.025218675,300,0.016758386,0.009605125,-0.0030795017,-0.8064363265,0.9214483345,168.580516113
-87.6471702,41.86972187,0,0,14-53-53-180,1500580433181,0.20753823,-0.21755466,0.045640323,302,-0.029047985,-0.014363325,0.024617374,-0.8402321559,0.8836953176,168.5633723381
-87.64717221,41.86972059,0,0.21922095,14-53-53-280,1500580433281,0.18895558,-0.19078869,0.095941156,308,0.019954178,-0.012232796,-0.0046773986,-0.9216542007,0.7861445282,168.6544460805
-87.64717221,41.86972059,0,0.21922095,14-53-53-398,1500580433399,0.20475829,-0.20608379,0.115809806,312,0.006105741,-0.017559119,0.008638408,-1.0137486294,0.7659690565,168.6359635886
-87.64717221,41.86972059,0,0.21922095,14-53-53-481,1500580433482,0.16372141,-0.23283188,0.04748307,314,-0.021591134,-0.001580152,0.012366833,-1.0582409086,0.7405821505,168.6230272104
-87.64717221,41.86972059,0,0.21922095,14-53-53-582,1500580433582,0.1683135,-0.2517469,0.04286421,318,-0.013601652,-0.021820176,0.007573142,-1.1773342214,0.6876424215,168.6865479696
-87.64717221,41.86972059,0,0.21922095,14-53-53-684,1500580433685,0.16208288,-0.22758117,-0.1023248,321,0.0013120507,0.026116723,0.013964729,-1.2381774398,0.6429988643,168.7158904623
-87.64717221,41.86972059,0,0.21922095,14-53-53-782,1500580433783,0.16943985,-0.2663409,0.04481878,323,-0.03011325,-0.01968965,0.008638408,-1.226402834,0.5823145545,168.8037676762
-87.64717221,41.86972059,0,0.21922095,14-53-53-883,1500580433884,0.1841005,-0.21298024,0.06700582,326,-0.0008184781,0.020790402,0.011301569,-1.2118137634,0.516109104,168.9069854949
-87.64717221,41.86972059,0,0.21922095,14-53-53-985,1500580433986,0.25888976,-0.14437485,0.0651955,326,0.0077036372,0.0016156414,-0.0041447664,-1.1154027617,0.4715894507,168.8959479092
-87.64717221,41.86972059,0,0.21922095,14-53-54-084,1500580434085,0.14641593,-0.22086641,0.036662754,324,-0.0045469035,0.011735654,0.010236304,-1.1136300075,0.5144105213,168.8253237532
-87.64717221,41.86972059,0,0.21922095,14-53-54-185,1500580434187,0.19677387,-0.23129444,0.13015912,327,0.0071710055,-0.014895958,0.0001162916,-1.1586873781,0.4545237962,168.8203377151
-87.64717036,41.86971599,0,0.6532311,14-53-54-299,1500580434299,0.1735812,-0.19362554,0.11501079,327,-0.014666916,0.000550377,0.0038447173,-1.2011084023,0.491143055,168.7467765777
-87.64717036,41.86971599,0,0.6532311,14-53-54-391,1500580434392,0.2317269,-0.21583754,0.19377927,328,0.003975212,-0.022885442,-0.0004163406,-1.2437863058,0.4650097908,168.8731487378
-87.64717036,41.86971599,0,0.6532311,14-53-54-491,1500580434492,0.18446293,-0.15608485,0.02479071,330,-0.010938491,-0.021287546,0.0054426137,-1.3660853252,0.4736445906,168.8678348506
-87.64717036,41.86971599,0,0.6532311,14-53-54-593,1500580434598,0.14151706,-0.25474393,0.03478426,332,0.0071710055,-0.029277027,-0.0004163406,-1.5142892244,0.4535459586,168.9112338726
-87.64717036,41.86971599,0,0.6532311,14-53-54-690,1500580434690,0.12051647,-0.26739812,0.012231631,335,-0.012536387,-0.0042433133,0.006507878,-1.5861519925,0.4069944575,168.9409178747
-87.64717036,41.86971599,0,0.6532311,14-53-54-791,1500580434792,0.19151995,-0.26689777,-0.013841189,336,-0.031711146,0.01812724,0.0070405104,-1.5319856042,0.3631926678,169.0935726027
-87.64717036,41.86971599,0,0.6532311,14-53-54-892,1500580434892,0.24063468,-0.22149971,0.117790416,332,-0.0066774325,0.026649356,-0.024917422,-1.3368302376,0.410884597,169.1636503435
-87.64717036,41.86971599,0,0.6532311,14-53-54-992,1500580434993,0.17096472,-0.239281,-0.040883955,327,-0.035439573,0.0074745957,-0.0020142372,-1.254139912,0.5134834832,169.2742037854
-87.64717036,41.86971599,0,0.6532311,14-53-55-093,1500580435094,0.20960209,-0.19039802,0.0048553883,323,-0.008807962,0.019192504,-0.016927939,-1.1840805273,0.5934775916,169.3086552596
-87.64717036,41.86971599,0,0.6532311,14-53-55-192,1500580435193,0.21769808,-0.18597703,0.031106392,320,0.01569312,0.018659871,-0.0137321465,-1.1483204316,0.6560680044,169.3700176791
-87.64716944,41.86970999,0,1.3210282,14-53-55-292,1500580435293,0.19613391,-0.19048375,0.07921047,315,0.009301534,-0.005308577,-0.005210031,-1.1181182956,0.7602680363,169.2885608431
-87.64716944,41.86970999,0,1.3210282,14-53-55-393,1500580435393,0.13391744,-0.22913814,-0.04426298,317,-0.007742697,-0.014895958,0.0049099815,-1.1973442211,0.7615413864,169.2725372193
