frameno;frametime;radious;cir_pos;color
0;0.373184919357;"[7.905694]";"[(629, 279)]";"[0]"
1;0.590559005737;"[6.041523, 7.7781744, 6.6708322]";"[(629, 281), (371, 265), (839, 422)]";"[0, 0, 0]"
2;0.253217935562;"[6.6708322]";"[(628, 281)]";"[0]"
3;0.406552791595;"[6.6708322, 5.7008772]";"[(625, 281), (836, 425)]";"[0, 0]"
4;0.401354074478;"[6.3639612, 5.7008772]";"[(625, 281), (362, 267)]";"[0, 0]"
5;0.477122068405;"[7.905694, 6.6708322]";"[(623, 281), (364, 265)]";"[0, 0]"
6;0.597470998764;"[6.041523, 6.6708322, 7.6485291]";"[(625, 279), (364, 264), (247, 516)]";"[0, 0, 0]"
7;0.281275033951;"[6.6708322]";"[(624, 280)]";"[0]"
8;0.357987165451;"[5.7008772, 5.7008772]";"[(623, 280), (361, 265)]";"[0, 0]"
9;0.409278869629;"[7.3824115, 5.7008772]";"[(622, 281), (359, 265)]";"[0, 0]"
10;0.480787992477;"[7.905694, 6.9641943]";"[(621, 280), (362, 265)]";"[0, 0]"
11;0.56490111351;"[7.7781744, 8.8600225]";"[(621, 279), (278, 528)]";"[0, 0]"
12;0.448513031006;"[6.6708322, 6.6708322]";"[(622, 277), (362, 260)]";"[0, 0]"
13;0.268645048141;"[6.9641943]";"[(621, 275)]";"[0]"
14;0.273803949356;"[6.5192022]";"[(620, 273)]";"[0]"
15;0.236179828644;"[5.7008772]";"[(623, 268)]";"[0]"
16;0.213748931885;"[6.041523]";"[(623, 268)]";"[0]"
17;0.413487911224;"[6.6708322, 5.7008772]";"[(622, 270), (359, 253)]";"[0, 0]"
18;0.229629039764;"[6.3639612]";"[(623, 273)]";"[0]"
19;0.457489967346;"[6.6708322, 7.6485291]";"[(622, 271), (363, 255)]";"[0, 0]"
20;0.284012079239;"[6.9641943]";"[(622, 276)]";"[0]"
21;0.258424043655;"[6.6708322]";"[(619, 277)]";"[0]"
22;0.382651090622;"[6.3639612, 7.1063352]";"[(620, 280), (360, 264)]";"[0, 0]"
23;0.38344502449;"[5.7008772, 6.6708322]";"[(359, 267), (620, 285)]";"[0, 0]"
24;0.642986059189;"[5.7008772, 6.041523, 9.5131493]";"[(357, 267), (618, 285), (241, 516)]";"[0, 0, 0]"
25;0.467087984085;"[7.7781744, 6.6708322]";"[(620, 288), (358, 269)]";"[0, 0]"
26;0.270088911057;"[6.6708322]";"[(618, 290)]";"[0]"
27;0.589862823486;"[6.5192022, 6.6708322, 6.6708322]";"[(613, 288), (822, 434), (352, 268)]";"[0, 0, 0]"
28;0.42102599144;"[6.6708322, 6.6708322]";"[(346, 263), (610, 283)]";"[0, 0]"
29;0.382529020309;"[5.7008772, 6.9641943]";"[(341, 259), (606, 280)]";"[0, 0]"
30;0.379002094269;"[5.7008772, 5.7008772]";"[(605, 277), (341, 258)]";"[0, 0]"
31;0.424239873886;"[7.905694, 5.7008772]";"[(605, 277), (343, 257)]";"[0, 0]"
32;0.237066030502;"[5.7008772]";"[(609, 277)]";"[0]"
33;0.488131999969;"[7.7781744, 6.6708322]";"[(611, 279), (350, 259)]";"[0, 0]"
34;0.349913835526;"[5.7008772, 5.7008772]";"[(617, 285), (354, 267)]";"[0, 0]"
35;0.445242881775;"[5.7008772, 6.6708322]";"[(619, 290), (355, 272)]";"[0, 0]"
36;0.262531042099;"[6.5192022]";"[(621, 297)]";"[0]"
