frameno;frametime;cir_pos;color
0;0.184143066406;"[(629, 279)]";"[0]"
1;0.00832986831665;"[(629, 281), (371, 265)]";"[0, 0]"
2;0.00738501548767;"[(629, 281)]";"[0]"
3;0.0111930370331;"[(625, 281)]";"[0]"
4;0.0134029388428;"[(623, 282)]";"[0]"
5;0.0140120983124;"[(625, 280)]";"[0]"
6;0.0144779682159;"[(625, 281)]";"[0]"
7;0.0398330688477;"[(624, 280)]";"[0]"
8;0.0411660671234;"[(623, 280), (361, 264)]";"[0, 0]"
9;0.0254027843475;"[(622, 283), (359, 265)]";"[0, 0]"
10;0.0128691196442;"[(620, 281), (362, 265)]";"[0, 0]"
11;0.0128149986267;"[(622, 279)]";"[0]"
12;0.0128412246704;"[(622, 277)]";"[0]"
13;0.0159180164337;"[(621, 275)]";"[0]"
14;0.00614595413208;"[(620, 273), (361, 255)]";"[0, 0]"
15;0.00942015647888;"[(623, 268)]";"[0]"
16;0.0108201503754;"[(623, 268)]";"[0]"
17;0.0079779624939;"[(622, 270), (359, 253)]";"[0, 0]"
18;0.011824131012;"[(621, 273)]";"[0]"
19;0.00992298126221;"[(622, 271), (362, 255)]";"[0, 0]"
20;0.00710606575012;"[(622, 276)]";"[0]"
21;0.00621509552002;"[(619, 277)]";"[0]"
22;0.0101690292358;"[(620, 280), (360, 264)]";"[0, 0]"
23;0.00768780708313;"[(360, 267), (620, 285)]";"[0, 0]"
24;0.0115261077881;"[(357, 267)]";"[0]"
25;0.0061240196228;"[(620, 288), (358, 269)]";"[0, 0]"
26;0.00686001777649;"[(617, 291)]";"[0]"
27;0.0101180076599;"[(614, 287), (352, 268)]";"[0, 0]"
28;0.0126218795776;"[(346, 263), (610, 283)]";"[0, 0]"
29;0.0125699043274;"[(605, 281), (341, 259)]";"[0, 0]"
30;0.00822281837463;"[(341, 258), (605, 277)]";"[0, 0]"
31;0.00664019584656;"[(605, 277)]";"[0]"
32;0.00961017608643;"[(609, 280)]";"[0]"
33;0.0122640132904;"[(611, 279), (350, 259)]";"[0, 0]"
34;0.0125329494476;"[(617, 285), (355, 267)]";"[0, 0]"
35;0.0123519897461;"[(619, 290), (355, 272)]";"[0, 0]"
36;0.0120358467102;"[(621, 297)]";"[0]"
37;0.0124640464783;"[(625, 305), (366, 289)]";"[0, 0]"
38;0.0123178958893;"[(631, 310)]";"[0]"
39;0.00837016105652;"[(636, 317), (380, 302)]";"[0, 0]"
40;0.0068039894104;"[(386, 311), (645, 327)]";"[0, 0]"
41;0.00981903076172;"[(646, 328)]";"[0]"
42;0.00798988342285;"[(644, 329)]";"[0]"
43;0.0124580860138;"[(640, 330), (384, 315)]";"[0, 0]"
44;0.0121660232544;"[(629, 307)]";"[0]"
45;0.0123400688171;"[(633, 300), (374, 286)]";"[0, 0]"
46;0.0116040706635;"[(638, 297), (379, 280)]";"[0, 0]"
47;0.00835299491882;"[(641, 291)]";"[0]"
48;0.0131659507751;"[(643, 291)]";"[0]"
49;0.00873112678528;"[(639, 289), (377, 270)]";"[0, 0]"
50;0.00708198547363;"[(633, 287), (375, 267)]";"[0, 0]"
51;0.0105419158936;"[(364, 264), (627, 283)]";"[0, 0]"
52;0.0128679275513;"[(621, 281), (358, 261)]";"[0, 0]"
53;0.0126729011536;"[(617, 279), (354, 258)]";"[0, 0]"
54;0.0128102302551;"[(616, 280)]";"[0]"
55;0.0127379894257;"[(623, 285), (364, 263)]";"[0, 0]"
56;0.0118680000305;"[(622, 283)]";"[0]"
57;0.00850605964661;"[(246, 519)]";"[0]"
58;0.0396678447723;"[(626, 285), (366, 267)]";"[0, 0]"
60;0.00963807106018;"[(376, 266)]";"[0]"
61;0.0383849143982;"[(639, 287)]";"[0]"
62;0.0390219688416;"[(643, 285), (386, 267)]";"[0, 0]"
63;0.0289449691772;"[(647, 287), (389, 267)]";"[0, 0]"
64;0.0119740962982;"[(388, 265)]";"[0]"
65;0.0118989944458;"[(640, 281)]";"[0]"
66;0.0123062133789;"[(377, 258), (635, 281)]";"[0, 0]"
67;0.0122919082642;"[(629, 279), (370, 257)]";"[0, 0]"
68;0.0127921104431;"[(624, 278), (364, 255)]";"[0, 0]"
69;0.012885093689;"[(359, 253), (621, 275)]";"[0, 0]"
70;0.0106899738312;"[(621, 279)]";"[0]"
71;0.0127701759338;"[(623, 277)]";"[0]"
72;0.0152280330658;"[(624, 279)]";"[0]"
73;0.0120830535889;"[(624, 282), (364, 260)]";"[0, 0]"
75;0.00961184501648;"[(625, 289), (366, 267)]";"[0, 0]"
76;0.012247800827;"[(623, 294), (364, 272)]";"[0, 0]"
77;0.0120959281921;"[(363, 275), (623, 296)]";"[0, 0]"
78;0.00811982154846;"[(624, 297)]";"[0]"
79;0.00656008720398;"[(624, 299)]";"[0]"
80;0.00982809066772;"[(625, 296)]";"[0]"
81;0.00727605819702;"[(624, 297)]";"[0]"
82;0.0122880935669;"[(623, 296), (360, 275)]";"[0, 0]"
83;0.008220911026;"[(624, 298), (363, 276)]";"[0, 0]"
84;0.0120389461517;"[(623, 299), (364, 277)]";"[0, 0]"
85;0.0118188858032;"[(625, 297)]";"[0]"
86;0.0122220516205;"[(627, 297), (366, 277)]";"[0, 0]"
87;0.00814700126648;"[(627, 297), (368, 277)]";"[0, 0]"
88;0.0115959644318;"[(627, 299)]";"[0]"
89;0.0119619369507;"[(630, 302)]";"[0]"
90;0.0119230747223;"[(631, 309)]";"[0]"
91;0.0117681026459;"[(636, 313), (377, 295)]";"[0, 0]"
92;0.0372819900513;"[(637, 319)]";"[0]"
93;0.00749111175537;"[(382, 300)]";"[0]"
94;0.010507106781;"[(384, 303)]";"[0]"
95;0.0374429225922;"[(643, 320)]";"[0]"
96;0.0377008914948;"[(642, 313)]";"[0]"
97;0.00780010223389;"[(384, 289)]";"[0]"
98;0.0107011795044;"[(640, 308)]";"[0]"
99;0.0118329524994;"[(378, 286)]";"[0]"
100;0.0118219852448;"[(374, 282)]";"[0]"
101;0.0120239257812;"[(631, 299), (370, 278)]";"[0, 0]"
102;0.0120060443878;"[(630, 300), (371, 281)]";"[0, 0]"
103;0.00802707672119;"[(626, 304)]";"[0]"
104;0.00638890266418;"[(623, 304)]";"[0]"
105;0.00951504707336;"[(621, 306), (362, 286)]";"[0, 0]"
106;0.00746011734009;"[(620, 306), (358, 286)]";"[0, 0]"
107;0.00626802444458;"[(617, 307), (358, 286)]";"[0, 0]"
108;0.00856184959412;"[(617, 310), (358, 288)]";"[0, 0]"
109;0.0122489929199;"[(618, 309)]";"[0]"
110;0.00813388824463;"[(618, 312)]";"[0]"
111;0.0121190547943;"[(619, 312)]";"[0]"
112;0.0128378868103;"[(619, 316), (358, 296)]";"[0, 0]"
114;0.00882816314697;"[(617, 318), (358, 297)]";"[0, 0]"
115;0.0158259868622;"[(616, 317), (355, 297)]";"[0, 0]"
116;0.0122261047363;"[(615, 316), (355, 296)]";"[0, 0]"
117;0.0123190879822;"[(616, 313)]";"[0]"
118;0.0122458934784;"[(614, 310), (354, 290)]";"[0, 0]"
119;0.0120658874512;"[(611, 306)]";"[0]"
120;0.00840497016907;"[(608, 303)]";"[0]"
121;0.0120239257812;"[(605, 301)]";"[0]"
122;0.0119459629059;"[(606, 300), (343, 277)]";"[0, 0]"
123;0.0120899677277;"[(610, 300)]";"[0]"
124;0.0122289657593;"[(626, 304), (366, 284)]";"[0, 0]"
125;0.0119190216064;"[(380, 292)]";"[0]"
126;0.0373959541321;"[(641, 313)]";"[0]"
