frameno;frametime;radious;cir_pos;color
0;0.0947580337524;"[7.905694]";"[(629.5, 279.5)]";"[0]"
1;0.0913591384888;"[6.041523, 7.7781744, 6.6708322]";"[(629.5, 281.5), (371.5, 265.5), (839.5, 422.5)]";"[0, 0, 0]"
2;0.116352081299;"[6.6708322]";"[(628.5, 281.5)]";"[0]"
3;0.116610050201;"[6.6708322, 5.7008772]";"[(625.5, 281.5), (836.5, 425.5)]";"[0, 0]"
4;0.0974080562592;"[6.3639612, 5.7008772]";"[(625.5, 281.5), (362.5, 267.5)]";"[0, 0]"
5;0.0880839824677;"[7.905694, 6.6708322]";"[(623.5, 281.5), (364.5, 265.5)]";"[0, 0]"
6;0.111657857895;"[6.041523, 6.6708322, 7.6485291]";"[(625.5, 279.5), (364.5, 264.5), (247.5, 516.5)]";"[0, 0, 0]"
7;0.112316131592;"[6.6708322]";"[(624.5, 280.5)]";"[0]"
8;0.103981971741;"[5.7008772, 5.7008772]";"[(623.5, 280.5), (361.5, 265.5)]";"[0, 0]"
9;0.112592935562;"[7.3824115, 5.7008772]";"[(622.5, 281.5), (359.5, 265.5)]";"[0, 0]"
10;0.105309009552;"[7.905694, 6.9641943]";"[(621.5, 280.5), (362.5, 265.5)]";"[0, 0]"
11;0.118623971939;"[7.7781744, 8.8600225]";"[(621.5, 279.5), (278.5, 528.5)]";"[0, 0]"
12;0.116307020187;"[6.6708322, 6.6708322]";"[(622.5, 277.5), (362.5, 260.5)]";"[0, 0]"
13;0.120476961136;"[6.9641943]";"[(621.5, 275.5)]";"[0]"
14;0.110530138016;"[6.5192022]";"[(620.5, 273.5)]";"[0]"
15;0.0899901390076;"[5.7008772]";"[(623.5, 268.5)]";"[0]"
16;0.103466033936;"[6.041523]";"[(623.5, 268.5)]";"[0]"
17;0.10563993454;"[6.6708322, 5.7008772]";"[(622.5, 270.5), (359.5, 253.5)]";"[0, 0]"
18;0.108478069305;"[6.3639612]";"[(623.5, 273.5)]";"[0]"
19;0.115201950073;"[6.6708322, 7.6485291]";"[(622.5, 271.5), (363.5, 255.5)]";"[0, 0]"
20;0.0934419631958;"[6.9641943]";"[(622.5, 276.5)]";"[0]"
21;0.11350607872;"[6.6708322]";"[(619.5, 277.5)]";"[0]"
22;0.112267971039;"[6.3639612, 7.1063352]";"[(620.5, 280.5), (360.5, 264.5)]";"[0, 0]"
23;0.110641002655;"[5.7008772, 6.6708322]";"[(359.5, 267.5), (620.5, 285.5)]";"[0, 0]"
