Longitude,Latitude,Speed,Distance,Time,Time in epoch, Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z,pitch_deg,roll_deg,azimuth_deg
-87.64718622,41.86967742,0,5.113095,14-55-48-481,1500580548483,0.27119505,0.05632591,0.3170847,337,0.028476294,0.045824114,-0.01000372,-1.5902175559,0.2946103381,167.3131745125
-87.64718622,41.86967742,0,5.113095,14-55-48-491,1500580548492,0.27119505,0.05632591,0.3170847,337,0.028476294,0.045824114,-0.01000372,-1.5902175559,0.2946103381,167.3131745125
-87.64718622,41.86967742,0,5.113095,14-55-48-581,1500580548582,0.30548722,0.0869846,0.410722,331,0.006105741,-0.019157017,-0.005210031,-2.0509837181,0.6213017012,167.5019609411
-87.64718622,41.86967742,0,5.113095,14-55-48-593,1500580548594,0.29459506,0.044587493,0.4623973,330,0.0066383732,-0.017026488,-0.014264778,-2.1237563955,0.685679916,167.4723315805
-87.64718467,41.86967706,0,0,14-55-48-681,1500580548684,0.22237445,0.036961664,0.31281942,329,0.01569312,0.014398815,-0.005742663,-2.2322264163,0.7581268254,167.4344103702
-87.64718467,41.86967706,0,0,14-55-48-699,1500580548700,0.22237445,0.036961664,0.31281942,329,0.01569312,0.014398815,-0.005742663,-2.2322264163,0.7581268254,167.4344103702
-87.64718467,41.86967706,0,0,14-55-48-780,1500580548783,0.30658492,0.09046318,0.50550103,327,0.005573109,0.0042788023,-0.0046773986,-2.1835696427,0.8040589938,167.3464238733
-87.64718467,41.86967706,0,0,14-55-48-792,1500580548792,0.30658492,0.09046318,0.50550103,327,0.005573109,0.0042788023,-0.0046773986,-2.1835696427,0.8040589938,167.3464238733
-87.64718467,41.86967706,0,0,14-55-48-882,1500580548883,0.26604927,0.06479016,0.3931123,328,0.0013120507,0.003213538,0.014497362,-2.212342455,0.7966677686,167.3452490808
-87.64718467,41.86967706,0,0,14-55-48-891,1500580548894,0.32230642,0.095171265,0.40753478,328,0.003975212,0.006941964,0.013432098,-2.2127868441,0.7820801387,167.3453856846
-87.64718467,41.86967706,0,0,14-55-48-983,1500580548984,0.30879053,0.08718451,0.44429085,328,0.014627856,-0.012765429,0.0001162916,-2.1713109473,0.773013116,167.2833812273
-87.64718467,41.86967706,0,0,14-55-49-000,1500580549001,0.2951399,0.083254844,0.40916175,328,0.009301534,-0.0063738422,0.005975246,-2.1824179021,0.7713611173,167.2669204714
-87.64718467,41.86967706,0,0,14-55-49-083,1500580549084,0.29057774,0.06398776,0.5252502,328,0.027943663,-0.0031780486,0.0017141883,-2.164315126,0.7404871148,167.192526051
-87.64718467,41.86967706,0,0,14-55-49-093,1500580549094,0.29057774,0.06398776,0.5252502,328,0.027943663,-0.0031780486,0.0017141883,-2.164315126,0.7404871148,167.192526051
-87.64718467,41.86967706,0,0,14-55-49-184,1500580549185,0.3772579,0.03174815,0.46422616,328,-0.023721663,-0.03460335,-0.003612134,-2.1384515475,0.7215880881,167.0963023459
-87.64718467,41.86967706,0,0,14-55-49-195,1500580549195,0.3772579,0.03174815,0.46422616,328,-0.023721663,-0.03460335,-0.003612134,-2.1384515475,0.7215880881,167.0963023459
-87.64718345,41.86967653,0,0.117148675,14-55-49-292,1500580549293,0.25360513,0.04128562,0.45990407,330,-0.03703747,-0.028744396,0.019823683,-2.2631364374,0.7018529502,167.2314034877
-87.64718345,41.86967653,0,0.117148675,14-55-49-302,1500580549302,0.2720863,0.06642616,0.3905477,333,-0.0008184781,0.000550377,0.036335282,-2.3235398556,0.6047787265,167.3489237226
-87.64718345,41.86967653,0,0.117148675,14-55-49-385,1500580549386,0.3307444,0.12547171,0.44248578,335,-0.012003755,-0.010102267,0.0043773493,-2.2803380554,0.4884353653,167.35966078
-87.64718345,41.86967653,0,0.117148675,14-55-49-399,1500580549400,0.3307444,0.12547171,0.44248578,335,-0.028515354,-0.017026488,0.0017141883,-2.2803380554,0.4884353653,167.35966078
-87.64718345,41.86967653,0,0.117148675,14-55-49-486,1500580549487,0.24886975,0.056016408,0.4551514,336,0.005573109,-0.006906474,0.012366833,-2.3409984595,0.469585057,167.4794076565
-87.64718345,41.86967653,0,0.117148675,14-55-49-499,1500580549500,0.24886975,0.056016408,0.4551514,336,0.0071710055,0.026116723,0.020356316,-2.3409984595,0.469585057,167.4794076565
-87.64718345,41.86967653,0,0.117148675,14-55-49-585,1500580549586,0.22631939,0.06062146,0.3244789,338,-0.012003755,0.030377781,0.012899466,-2.201211381,0.3745204565,167.4852816192
-87.64718345,41.86967653,0,0.117148675,14-55-49-594,1500580549595,0.22631939,0.06062146,0.3244789,338,-0.012003755,0.030377781,0.012899466,-2.201211381,0.3745204565,167.4852816192
-87.64718345,41.86967653,0,0.117148675,14-55-49-687,1500580549688,0.3642125,0.03109789,0.4789463,339,-0.010938491,-0.005308577,0.015562626,-1.9767312376,0.2967618477,167.4675777688
-87.64718345,41.86967653,0,0.117148675,14-55-49-703,1500580549704,0.36010796,0.059507117,0.48453578,340,-0.010405858,-0.021287546,0.010236304,-1.9482873416,0.2784922923,167.4587941456
-87.64718345,41.86967653,0,0.117148675,14-55-49-786,1500580549787,0.2538494,0.10703792,0.3469499,339,-0.0093405945,0.029312517,0.017160524,-2.1014372583,0.3054787699,167.4701049388
-87.64718345,41.86967653,0,0.117148675,14-55-49-799,1500580549799,0.2538494,0.10703792,0.3469499,339,-0.041298527,-0.07028971,-0.0004163406,-2.1014372583,0.3054787699,167.4701049388
-87.64718345,41.86967653,0,0.117148675,14-55-49-886,1500580549887,0.4586614,-0.062296744,0.80583334,342,-0.010938491,-0.09638869,0.018225787,-2.3222820336,0.2174286268,167.6172545343
-87.64718345,41.86967653,0,0.117148675,14-55-49-898,1500580549899,0.4586614,-0.062296744,0.80583334,342,-0.010938491,-0.09638869,0.018225787,-2.3222820336,0.2174286268,167.6172545343
-87.64718345,41.86967653,0,0.117148675,14-55-49-988,1500580549989,0.57240766,0.27939346,0.45467612,346,-0.027982721,-0.08733394,0.046987925,-2.6624677161,0.0830884709,167.6938209549
-87.64718345,41.86967653,0,0.117148675,14-55-49-997,1500580549999,0.57240766,0.27939346,0.45467612,346,-0.027982721,-0.08733394,0.046987925,-2.6624677161,0.0830884709,167.6938209549
-87.64718345,41.86967653,0,0.117148675,14-55-50-089,1500580550089,0.16278802,0.08957619,0.32277563,350,-0.106279664,0.064466245,0.06190163,-2.7257921074,-0.084494576,167.9880655044
-87.64718345,41.86967653,0,0.117148675,14-55-50-098,1500580550101,0.22371244,0.05810244,0.4460536,351,-0.08018068,0.063400984,0.060836364,-2.6496199168,-0.1484456906,168.1066922299
-87.64718345,41.86967653,0,0.117148675,14-55-50-189,1500580550190,0.2184175,0.040840756,0.56623644,354,0.041792102,0.023986194,-0.017460572,-2.4906991306,-0.2686077546,168.2607539768
-87.64718345,41.86967653,0,0.117148675,14-55-50-199,1500580550199,0.2184175,0.040840756,0.56623644,354,0.041792102,0.023986194,-0.017460572,-2.4906991306,-0.2686077546,168.2607539768
-87.64718345,41.86967653,0,0.117148675,14-55-50-289,1500580550289,0.25412232,0.12369093,0.4815434,351,0.101446904,-0.14379296,-0.05794062,-2.5704031694,-0.1467817658,167.9236294997
-87.64718345,41.86967653,0,0.117148675,14-55-50-300,1500580550301,0.25412232,0.12369093,0.4815434,351,0.04711842,-0.14752138,-0.055277463,-2.5704031694,-0.1467817658,167.9236294997
-87.64718208,41.86967617,0,0.23665552,14-55-50-418,1500580550419,0.2624824,0.072012015,0.3891805,347,0.055640537,-0.16190244,-0.061136417,-2.9503232639,0.027507483,167.7347064673
-87.64718208,41.86967617,0,0.23665552,14-55-50-419,1500580550419,0.2624824,0.072012015,0.3891805,347,0.055640537,-0.16190244,-0.061136417,-2.9503232639,0.027507483,167.7347064673
-87.64718208,41.86967617,0,0.23665552,14-55-50-506,1500580550507,0.30031684,0.05570201,0.48299628,339,0.090794265,-0.1065087,-0.06699537,-3.9730429199,0.5190135352,166.8954947843
-87.64718208,41.86967617,0,0.23665552,14-55-50-586,1500580550587,0.3076838,-0.0720013,0.6341393,338,-0.013601652,-0.0063738422,-0.04515745,-4.1342802074,0.5968541063,166.7457360566
-87.64718208,41.86967617,0,0.23665552,14-55-50-593,1500580550593,0.33667812,0.0064600147,0.97407126,336,-0.02318903,-0.009569635,-0.03557007,-4.2029551982,0.7859211063,166.8494183282
-87.64718208,41.86967617,0,0.23665552,14-55-50-598,1500580550607,0.33667812,0.0064600147,0.97407126,336,-0.06739751,0.047954645,-0.017460572,-4.2029551982,0.7859211063,166.8494183282
-87.64718208,41.86967617,0,0.23665552,14-55-50-699,1500580550699,0.25211,0.0925247,0.5071501,336,-0.011471123,0.14063266,0.0283458,-3.7844289535,0.7616322066,167.3150596447
-87.64718208,41.86967617,0,0.23665552,14-55-50-698,1500580550701,0.40822595,0.20438291,0.59559894,336,-0.011471123,0.14063266,0.0283458,-3.6298523811,0.7245062864,167.3662177616
-87.64718208,41.86967617,0,0.23665552,14-55-50-799,1500580550800,0.24047825,-0.065721236,0.5942424,335,0.12967642,0.09482628,0.024084741,-3.0771679876,0.6612817866,167.0896770624
-87.64718208,41.86967617,0,0.23665552,14-55-50-799,1500580550801,0.24047825,-0.065721236,0.5942424,335,0.12967642,0.09482628,0.024084741,-3.0771679876,0.6612817866,167.0896770624
-87.64718208,41.86967617,0,0.23665552,14-55-50-917,1500580550918,0.3053161,0.046310134,0.25673342,343,-0.12545443,0.04209569,0.08001113,-2.8215336438,0.1732890496,166.9514340336
-87.64718208,41.86967617,0,0.23665552,14-55-50-917,1500580550920,0.3053161,0.046310134,0.25673342,343,-0.13291128,0.023453562,0.07894586,-2.8215336438,0.1732890496,166.9514340336
-87.64718208,41.86967617,0,0.23665552,14-55-50-994,1500580550995,0.5508688,0.08041856,0.3673557,351,-0.14303128,0.036769368,0.052314248,-2.7049809479,-0.1391922784,167.6070502317
-87.64718208,41.86967617,0,0.23665552,14-55-50-999,1500580551003,0.5508688,0.08041856,0.3673557,351,-0.14303128,0.036769368,0.052314248,-2.7049809479,-0.1391922784,167.6070502317
-87.64718208,41.86967617,0,0.23665552,14-55-51-094,1500580551098,0.48143002,0.0948726,0.3385873,353,0.0881311,-0.06070233,-0.024384791,-2.7003756929,-0.2373930697,167.8652996842
-87.64718208,41.86967617,0,0.23665552,14-55-51-101,1500580551102,0.48143002,0.0948726,0.3385873,353,0.08600057,-0.0271465,-0.022254262,-2.7003756929,-0.2373930697,167.8652996842
-87.64718208,41.86967617,0,0.23665552,14-55-51-198,1500580551199,0.2584269,0.009929287,0.2121914,349,0.02954156,-0.06443076,-0.08989856,-2.86686689,-0.0578677839,167.5963951366
-87.64718208,41.86967617,0,0.23665552,14-55-51-202,1500580551203,0.2584269,0.009929287,0.2121914,349,0.02954156,-0.06443076,-0.08989856,-2.86686689,-0.0578677839,167.5963951366
-87.64718017,41.86967532,0,0.42061713,14-55-51-297,1500580551298,0.33084404,0.066970974,0.6116874,347,0.08706584,-0.0026454164,0.0006489238,-2.7595855355,0.0332913859,167.3141853805
-87.64718017,41.86967532,0,0.42061713,14-55-51-300,1500580551303,0.33084404,0.066970974,0.6116874,347,0.08706584,-0.0026454164,0.0006489238,-2.7595855355,0.0332913859,167.3141853805
-87.64718017,41.86967532,0,0.42061713,14-55-51-394,1500580551400,0.17458062,0.030452272,0.40177575,348,0.051912114,-0.036201246,0.072554275,-2.7952948317,-0.0417172113,166.7723054925
-87.64718017,41.86967532,0,0.42061713,14-55-51-400,1500580551401,0.17458062,0.030452272,0.40177575,348,0.026878398,-0.052712847,0.087467976,-2.7952948317,-0.0417172113,166.7723054925
-87.64718017,41.86967532,0,0.42061713,14-55-51-494,1500580551495,0.46819296,0.11558604,0.5173866,0,-0.14462918,-0.027679132,0.08054376,-2.7320692647,-0.6401696719,167.1181316305
-87.64718017,41.86967532,0,0.42061713,14-55-51-500,1500580551501,0.46819296,0.11558604,0.5173866,0,-0.14462918,-0.027679132,0.08054376,-2.7320692647,-0.6401696719,167.1181316305
-87.64718017,41.86967532,0,0.42061713,14-55-51-600,1500580551600,0.38339755,-0.048242662,0.78034675,6,-0.049820643,0.024518827,0.03313949,-2.7290503211,-0.8842052873,167.7614398277
-87.64718017,41.86967532,0,0.42061713,14-55-51-601,1500580551603,0.40133524,-0.002801525,0.8454224,7,-0.013601652,-0.036201246,0.02568264,-2.7006664028,-0.9183861686,167.8166687373
-87.64718017,41.86967532,0,0.42061713,14-55-51-698,1500580551700,0.34070674,0.017407814,0.52574545,6,0.017823651,-0.050049685,-0.012134249,-2.7986010702,-0.9073871094,167.747151072
-87.64718017,41.86967532,0,0.42061713,14-55-51-701,1500580551702,0.34070674,0.017407814,0.52574545,6,0.017823651,-0.050049685,-0.012134249,-2.7986010702,-0.9073871094,167.747151072
-87.64718017,41.86967532,0,0.42061713,14-55-51-795,1500580551796,0.30468586,0.0001209821,0.45397395,2,0.0050404766,-0.08520341,-0.029711112,-3.1121929842,-0.8131841265,167.6667187643
-87.64718017,41.86967532,0,0.42061713,14-55-51-802,1500580551802,0.30468586,0.0001209821,0.45397395,2,0.0050404766,-0.08520341,-0.029711112,-3.1121929842,-0.8131841265,167.6667187643
-87.64718017,41.86967532,0,0.42061713,14-55-51-895,1500580551895,0.2935646,0.020755824,0.3554782,359,-0.005612168,0.006941964,-0.005210031,-3.5179610759,-0.7134613369,167.716210315
-87.64718017,41.86967532,0,0.42061713,14-55-51-901,1500580551902,0.2935646,0.020755824,0.3554782,359,-0.005612168,0.006941964,-0.005210031,-3.5179610759,-0.7134613369,167.716210315
-87.64718017,41.86967532,0,0.42061713,14-55-51-993,1500580552001,0.2850186,0.06492023,0.47201484,357,-0.025852192,0.0016156414,-0.021188997,-3.4813890414,-0.5941006329,167.6822779352
